origin,h,target,as_of_utc,model,mm_forecast,contribution_core,contribution_food,contribution_alcohol_tobacco,contribution_administered,contribution_fuel,contribution_wedge,yy_exante,status,value_core,value_food,value_fuel,value_administered,value_alcohol_tobacco,value_wedge,weight_food,weight_fuel,weight_alc,weight_administered,weight_core
2026-07,0,2026-07,2026-08-04T21:59:00+00:00,STATE_FAST_R15,0.44767252748945857,0.4172707359470312,-0.09207647901712651,0.016390202777001293,0.0,0.11110135346637179,-0.0050132856838191915,1.541593368596006,estimated,,,,,,,,,,,
2026-07,1,2026-08,2026-08-04T21:59:00+00:00,STATE_FAST_R15,0.25375226122886696,0.09559271001897944,-0.08696197671311283,0.018522421906986303,0.008948809780134336,0.20994129776670903,0.007708998469170667,1.7340850779220287,estimated,0.17737232154630114,-0.515837262957525,6.853947466606769,0.05,0.22350959028201067,0.007708998469170667,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,2,2026-09,2026-08-04T21:59:00+00:00,STATE_FAST_R15,-0.4152252670965616,-0.31195151921357694,-0.13824320382945238,0.036596633233260144,0.02684642934040301,0.0,-0.028473606627195412,1.898784329125595,estimated,-0.5788262008873053,-0.8200250107138043,0.0,0.15000000000000002,0.441610634977587,-0.028473606627195412,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,3,2026-10,2026-08-04T21:59:00+00:00,STATE_FAST_R15,0.33284461095158174,0.2639548369439384,0.09376477512424121,0.011494558542197678,-0.008948809780134336,0.0,-0.0274207498786612,1.713987639960988,estimated,0.48976833278213583,0.5561898060514439,0.0,-0.05,0.1387045432363333,-0.0274207498786612,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,4,2026-11,2026-08-04T21:59:00+00:00,STATE_FAST_R15,0.020372507098337694,0.016510981689931904,-0.003973430206682568,-0.005139468970304256,0.008948809780134336,0.0,0.004025614805258276,2.061620349008671,estimated,0.030636134834656697,-0.023569420105635966,0.0,0.05,-0.062017840301247865,0.004025614805258276,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,5,2026-12,2026-08-04T21:59:00+00:00,STATE_FAST_R15,-0.07584587517666147,0.04955448870535456,-0.06468839733025711,-0.059562173762270416,0.0,0.0,-0.0011497927894885101,2.24705672401032,estimated,0.09194837873059115,-0.38371581563781415,0.0,0.0,-0.7187352237608671,-0.0011497927894885101,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,6,2027-01,2026-08-04T21:59:00+00:00,STATE_FAST_R15,1.0665779072114574,0.2795389205299431,0.4076709313600121,0.2795888306661416,0.11633452714174637,0.0,-0.016555302486385832,2.479205832126269,estimated,0.5186846077185033,2.4182046610307117,0.0,0.65,3.3737912516745685,-0.016555302486385832,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,7,2027-02,2026-08-04T21:59:00+00:00,STATE_FAST_R15,0.19933661517671422,0.21405152090397017,-0.011784535635507363,-0.03259694268202019,0.008948809780134336,0.0,0.02071776281013727,2.7491388140901423,estimated,0.3971727047566251,-0.06990299481691645,0.0,0.05,-0.39334647163805725,0.02071776281013727,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,8,2027-03,2026-08-04T21:59:00+00:00,STATE_FAST_R15,0.03149054302616673,-0.029532056753177972,0.013549092549794296,0.05068234157316755,0.017897619560268672,0.0,-0.02110645390388581,2.1934254918251708,estimated,-0.05479674616723688,0.08036991660736025,0.0,0.1,0.6115825163921406,-0.02110645390388581,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,9,2027-04,2026-08-04T21:59:00+00:00,STATE_FAST_R15,0.24546541125646235,0.1528918412686752,0.06379604134108574,0.011196495739878465,0.017897619560268672,0.0,-0.00031658665344573767,1.9904079628288576,estimated,0.2836908884153321,0.37842257727736983,0.0,0.1,0.13510782704234856,-0.00031658665344573767,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
