origin,stage,family,band,signal,config,predicted_change,status,as_of,current_z,projected_z
2006-01,signal,services,0,services,l1,,insufficient_history,2006-02-09 00:00:00,2.1761491781512694,
2006-02,signal,services,0,services,l1,,insufficient_history,2006-03-09 00:00:00,2.566774674857779,
2006-03,signal,services,0,services,l1,,insufficient_history,2006-04-09 00:00:00,2.46926125903715,
2006-04,signal,services,0,services,l1,,insufficient_history,2006-05-09 00:00:00,2.3716526617316043,
2006-05,signal,services,0,services,l1,,insufficient_history,2006-06-09 00:00:00,2.3716526617316043,
2006-06,signal,services,0,services,l1,,insufficient_history,2006-07-09 00:00:00,2.46926125903715,
2006-07,signal,services,0,services,l1,,insufficient_history,2006-08-09 00:00:00,2.1761491781512694,
2006-08,signal,services,0,services,l1,,insufficient_history,2006-09-09 00:00:00,2.3716526617316043,
2006-09,signal,services,0,services,l1,,insufficient_history,2006-10-09 00:00:00,2.566774674857779,
2006-10,signal,services,0,services,l1,,insufficient_history,2006-11-09 00:00:00,2.46926125903715,
2006-11,signal,services,0,services,l1,,insufficient_history,2006-12-09 00:00:00,2.3716526617316043,
2006-12,signal,services,0,services,l1,,insufficient_history,2007-01-09 00:00:00,2.3716526617316043,
2007-01,signal,services,0,services,l1,,insufficient_history,2007-02-09 00:00:00,2.46926125903715,
2007-02,signal,services,0,services,l1,,insufficient_history,2007-03-09 00:00:00,2.46926125903715,
2007-03,signal,services,0,services,l1,,insufficient_history,2007-04-09 00:00:00,2.7615167032973362,
2007-04,signal,services,0,services,l1,,insufficient_history,2007-05-09 00:00:00,2.858745685191255,
2007-05,signal,services,0,services,l1,,insufficient_history,2007-06-09 00:00:00,3.149866705937099,
2007-06,signal,services,0,services,l1,,insufficient_history,2007-07-09 00:00:00,2.566774674857779,
2007-07,signal,services,0,services,l1,,insufficient_history,2007-08-09 00:00:00,2.7615167032973362,
2007-08,signal,services,0,services,l1,,insufficient_history,2007-09-09 00:00:00,2.3716526617316043,
2007-09,signal,services,0,services,l1,,insufficient_history,2007-10-09 00:00:00,1.8821754240587758,
2007-10,signal,services,0,services,l1,,insufficient_history,2007-11-09 00:00:00,2.2739486969489424,
2007-11,signal,services,0,services,l1,,insufficient_history,2007-12-09 00:00:00,2.3716526617316043,
2007-12,signal,services,0,services,l1,,insufficient_history,2008-01-09 00:00:00,2.46926125903715,
2008-01,signal,services,0,services,l1,,insufficient_history,2008-02-09 00:00:00,2.566774674857779,
2008-02,signal,services,0,services,l1,,insufficient_history,2008-03-09 00:00:00,4.018178963283183,
2008-03,signal,services,0,services,l1,,insufficient_history,2008-04-09 00:00:00,4.497336564273115,
2008-04,signal,services,0,services,l1,,insufficient_history,2008-05-09 00:00:00,4.783732941416012,
2008-05,signal,services,0,services,l1,,insufficient_history,2008-06-09 00:00:00,4.8790164169432,
2008-06,signal,services,0,services,l1,,insufficient_history,2008-07-09 00:00:00,4.9742091894814076,
2008-07,signal,services,0,services,l1,,insufficient_history,2008-08-09 00:00:00,5.069311431551812,
2008-08,signal,services,0,services,l1,,insufficient_history,2008-09-09 00:00:00,5.164323315183845,
2008-09,signal,services,0,services,l1,,insufficient_history,2008-10-09 00:00:00,5.259245011917059,
2008-10,signal,services,0,services,l1,,insufficient_history,2008-11-09 00:00:00,5.543470688810059,
2008-11,signal,services,0,services,l1,,insufficient_history,2008-12-09 00:00:00,5.354076692802982,
2008-12,signal,services,0,services,l1,,insufficient_history,2009-01-09 00:00:00,5.164323315183845,
2009-01,signal,services,0,services,l1,,insufficient_history,2009-02-09 00:00:00,4.8790164169432,
2009-02,signal,services,0,services,l1,,insufficient_history,2009-03-09 00:00:00,3.44014267173324,
2009-03,signal,services,0,services,l1,,insufficient_history,2009-04-09 00:00:00,2.858745685191255,
2009-04,signal,services,0,services,l1,,insufficient_history,2009-05-09 00:00:00,2.6641930946421177,
2009-05,signal,services,0,services,l1,,insufficient_history,2009-06-09 00:00:00,2.46926125903715,
2009-06,signal,services,0,services,l1,,insufficient_history,2009-07-09 00:00:00,2.3716526617316043,
2009-07,signal,services,0,services,l1,,insufficient_history,2009-08-09 00:00:00,1.9802627296179713,
2009-08,signal,services,0,services,l1,,insufficient_history,2009-09-09 00:00:00,1.6857117066422904,
2009-09,signal,services,0,services,l1,,insufficient_history,2009-10-09 00:00:00,1.390290516899142,
2009-10,signal,services,0,services,l1,,insufficient_history,2009-11-09 00:00:00,1.1928570865273802,
2009-11,signal,services,0,services,l1,,insufficient_history,2009-12-09 00:00:00,1.1928570865273802,
2009-12,signal,services,0,services,l1,,insufficient_history,2010-01-09 00:00:00,1.1928570865273802,
2010-01,signal,services,0,services,l1,,insufficient_history,2010-02-08 23:59:00,1.1928570865273802,
2010-02,signal,services,0,services,l1,,insufficient_history,2010-03-08 23:59:00,1.5873349156290149,
2010-03,signal,services,0,services,l1,,insufficient_history,2010-04-08 23:59:00,1.4888612493750655,
2010-04,signal,services,0,services,l1,0.13812216299745034,estimated,2010-05-09 23:59:00,1.390290516899142,1.5284126798965922
2010-05,signal,services,0,services,l1,0.23207222400388222,estimated,2010-06-08 23:59:00,1.2916225266546328,1.523694750658515
2010-06,signal,services,0,services,l1,0.2303522787613268,estimated,2010-07-11 23:59:00,1.2916225266546328,1.5219748054159596
2010-07,signal,services,0,services,l1,0.21288064804890838,estimated,2010-08-08 23:59:00,1.4888612493750655,1.701741897423974
2010-08,signal,services,0,services,l1,0.09390059675995883,estimated,2010-09-08 23:59:00,1.5873349156290149,1.6812355123889737
2010-09,signal,services,0,services,l1,0.15126856381879364,estimated,2010-10-10 23:59:00,1.4888612493750655,1.640129813193859
2010-10,signal,services,0,services,l1,0.20282931567160062,estimated,2010-11-08 23:59:00,1.4888612493750655,1.691690565046666
2010-11,signal,services,0,services,l1,0.16265379134281505,estimated,2010-12-08 23:59:00,1.4888612493750655,1.6515150407178805
2010-12,signal,services,0,services,l1,0.19212373530313526,estimated,2011-01-09 23:59:00,1.2916225266546328,1.4837462619577682
2011-01,signal,services,0,services,l1,0.09972635961445754,estimated,2011-02-08 23:59:00,1.390290516899142,1.4900168765135995
2011-02,signal,services,0,services,l1,0.026645063786684322,estimated,2011-03-08 23:59:00,0.6975613736425241,0.7242064374292084
2011-03,signal,services,0,services,l1,-0.0428211990776224,estimated,2011-04-10 23:59:00,0.5982071677547464,0.555385968677124
2011-04,signal,services,0,services,l1,-0.02443829565883547,estimated,2011-05-09 23:59:00,0.5982071677547464,0.5737688720959109
2011-05,signal,services,0,services,l1,0.013911907740418714,estimated,2011-06-08 23:59:00,0.49875415110390736,0.512666058844326
2011-06,signal,services,0,services,l1,0.10193312858117036,estimated,2011-07-11 23:59:00,0.49875415110390736,0.6006872796850777
2011-07,signal,services,0,services,l1,0.061622961988068596,estimated,2011-08-08 23:59:00,0.49875415110390736,0.5603771130919759
2011-08,signal,services,0,services,l1,0.14191231036077598,estimated,2011-09-08 23:59:00,0.49875415110390736,0.6406664614646833
2011-09,signal,services,0,services,l1,0.08425019689045003,estimated,2011-10-09 23:59:00,0.49875415110390736,0.5830043479943574
