origin,stage,family,band,signal,config,predicted_change,status,as_of,current_z,projected_z
2011-10,signal,services,0,services,l1,0.013699186337217487,estimated,2011-11-08 23:59:00,0.39920212695374535,0.41290131329096286
2011-11,signal,services,0,services,l1,0.04420594939192517,estimated,2011-12-08 23:59:00,0.5982071677547464,0.6424131171466715
2011-12,signal,services,0,services,l1,0.0077666837273032635,estimated,2012-01-08 23:59:00,0.5982071677547464,0.6059738514820496
2012-01,signal,services,0,services,l1,0.12140591220797126,estimated,2012-02-15 23:59:00,0.6975613736425241,0.8189672858504954
2012-02,signal,services,0,services,l1,0.08470997861767648,estimated,2012-03-08 23:59:00,1.6857117066422904,1.7704216852599668
2012-03,signal,services,0,services,l1,-0.03785364769130524,estimated,2012-04-09 23:59:00,1.7839918128331003,1.746138165141795
2012-04,signal,services,0,services,l1,-0.02686711611728906,estimated,2012-05-09 23:59:00,1.6857117066422904,1.6588445905250013
2012-05,signal,services,0,services,l1,-0.1242783377441023,estimated,2012-06-10 23:59:00,1.7839918128331003,1.659713475088998
2012-06,signal,services,0,services,l1,0.022962646735666174,estimated,2012-07-10 23:59:00,1.8821754240587758,1.905138070794442
2012-07,signal,services,0,services,l10,-0.003087832253933458,estimated,2012-08-08 23:59:00,1.8821754240587758,1.8790875918048424
2012-08,signal,services,0,services,l10,-0.010162957140395874,estimated,2012-09-09 23:59:00,1.7839918128331003,1.7738288556927044
2012-09,signal,services,0,services,l10,-0.02090723382902372,estimated,2012-10-08 23:59:00,1.6857117066422904,1.6648044728132667
2012-10,signal,services,0,services,l10,-0.032663024529244626,estimated,2012-11-08 23:59:00,1.8821754240587758,1.8495123995295313
2012-11,signal,services,0,services,l10,-0.031039274242897968,estimated,2012-12-09 23:59:00,1.7839918128331003,1.7529525385902023
2012-12,signal,services,0,services,l10,-0.04920209793007834,estimated,2013-01-08 23:59:00,1.4888612493750655,1.4396591514449872
2013-01,signal,services,0,services,l10,-0.024460716407983592,estimated,2013-02-10 23:59:00,1.2916225266546328,1.2671618102466493
2013-02,signal,services,0,services,l10,0.0013021289023160904,estimated,2013-03-10 23:59:00,1.390290516899142,1.391592645801458
2013-03,signal,services,0,services,l10,-0.0007443517229687955,estimated,2013-04-08 23:59:00,1.4888612493750655,1.4881168976520966
2013-04,signal,services,0,services,l10,-0.012913978556839564,estimated,2013-05-09 23:59:00,1.390290516899142,1.3773765383423024
2013-05,signal,services,0,services,l10,-0.017555598910484197,estimated,2013-06-09 23:59:00,1.0939940038334364,1.076438404922952
2013-06,signal,services,0,services,l10,0.01613800078411627,estimated,2013-07-08 23:59:00,0.6975613736425241,0.7136993744266404
2013-07,signal,services,0,services,l10,0.03186073068365574,estimated,2013-08-08 23:59:00,0.39920212695374535,0.4310628576374011
2013-08,signal,services,0,services,l10,0.031127322132093023,estimated,2013-09-08 23:59:00,0.39920212695374535,0.43032944908583837
2013-09,signal,services,0,services,l10,0.0365140544868882,estimated,2013-10-08 23:59:00,0.49875415110390736,0.5352682055907956
2013-10,signal,services,0,services,l10,0.01602424042766328,estimated,2013-11-10 23:59:00,0.2995508979798479,0.31557513840751117
2013-11,signal,services,0,services,l10,0.02930369616161277,estimated,2013-12-08 23:59:00,0.49875415110390736,0.5280578472655202
2013-12,signal,services,0,services,l10,0.026764085982949947,estimated,2014-01-08 23:59:00,0.7968169649176874,0.8235810509006374
2014-01,signal,services,0,services,l10,0.05106136033888385,estimated,2014-02-11 23:59:00,0.9950330853168083,1.0460944456556922
2014-02,signal,services,0,services,l10,0.031811444279850117,estimated,2014-03-09 23:59:00,-0.10005003335835334,-0.06823858907850322
2014-03,signal,services,0,services,l10,0.026035609561407113,estimated,2014-04-08 23:59:00,-0.10005003335835334,-0.07401442379694623
2014-04,signal,services,0,services,l10,0.008175336578440178,estimated,2014-05-11 23:59:00,0.09995003330835331,0.10812536988679348
2014-05,signal,services,0,services,l10,0.03615400948138573,estimated,2014-06-08 23:59:00,0.39920212695374535,0.4353561364351311
2014-06,signal,services,0,services,l10,0.05124534191238428,estimated,2014-07-08 23:59:00,0.6975613736425241,0.7488067155549084
2014-07,signal,services,0,services,l10,0.03731592452402245,estimated,2014-08-10 23:59:00,0.9950330853168083,1.0323490098408308
2014-08,signal,services,0,services,l10,0.02731157038694316,estimated,2014-09-08 23:59:00,1.0939940038334364,1.1213055742203795
2014-09,signal,services,0,services,l10,0.005248660614793462,estimated,2014-10-08 23:59:00,1.2916225266546328,1.2968711872694263
2014-10,signal,services,0,services,l10,0.026922783559628134,estimated,2014-11-09 23:59:00,1.390290516899142,1.4172133004587701
2014-11,signal,services,0,services,l10,0.025322405380977544,estimated,2014-12-08 23:59:00,1.390290516899142,1.4156129222801195
2014-12,signal,services,0,services,l10,0.016023720232945037,estimated,2015-01-08 23:59:00,1.390290516899142,1.406314237132087
2015-01,signal,services,0,services,l10,0.009460597101699502,estimated,2015-02-08 23:59:00,1.4888612493750655,1.498321846476765
2015-02,signal,services,0,services,l10,0.011021653561183635,estimated,2015-03-08 23:59:00,1.5873349156290149,1.5983565691901984
2015-03,signal,services,0,services,l10,0.008722329176752752,estimated,2015-04-08 23:59:00,1.4888612493750655,1.4975835785518181
2015-04,signal,services,0,services,l10,0.004081330206848372,estimated,2015-05-11 23:59:00,1.390290516899142,1.3943718471059903
2015-05,signal,services,0,services,l10,0.006695372519263218,estimated,2015-06-08 23:59:00,1.2916225266546328,1.298317899173896
2015-06,signal,services,0,services,l10,0.06359514303587456,estimated,2015-07-08 23:59:00,1.4888612493750655,1.55245639241094
2015-07,signal,services,0,services,l10,0.04114912770707716,estimated,2015-08-09 23:59:00,1.5873349156290149,1.628484043336092
2015-08,signal,services,0,services,l10,0.02008675044755709,estimated,2015-09-08 23:59:00,1.4888612493750655,1.5089479998226225
2015-09,signal,services,0,services,l10,0.025202693461646136,estimated,2015-10-08 23:59:00,1.390290516899142,1.415493210360788
2015-10,signal,services,0,services,l10,0.015264026972914048,estimated,2015-11-08 23:59:00,1.390290516899142,1.405554543872056
2015-11,signal,services,0,services,l10,0.019613643340962234,estimated,2015-12-08 23:59:00,1.4888612493750655,1.5084748927160276
2015-12,signal,services,0,services,l10,-0.007274444394508265,estimated,2016-01-11 23:59:00,1.4888612493750655,1.4815868049805572
2016-01,signal,services,0,services,l10,0.0038782946290057017,estimated,2016-02-11 23:59:00,1.5873349156290149,1.5912132102580205
2016-02,signal,services,0,services,l10,0.012806028276719813,estimated,2016-03-08 23:59:00,1.5873349156290149,1.6001409439057346
2016-03,signal,services,0,services,l10,0.03728355291492288,estimated,2016-04-10 23:59:00,1.5873349156290149,1.6246184685439378
2016-04,signal,services,0,services,l10,0.04156684173854284,estimated,2016-05-09 23:59:00,1.5873349156290149,1.6289017573675577
2016-05,signal,services,0,services,l10,0.030385290003994647,estimated,2016-06-08 23:59:00,1.4888612493750655,1.5192465393790602
2016-06,signal,services,0,services,l10,-0.019076250017827083,estimated,2016-07-11 23:59:00,1.4888612493750655,1.4697849993572385
2016-07,signal,services,0,services,l10,-0.03581625487041473,estimated,2016-08-08 23:59:00,1.2916225266546328,1.255806271784218
2016-08,signal,services,0,services,l10,-0.011302569010006855,estimated,2016-09-08 23:59:00,1.390290516899142,1.3789879478891351
2016-09,signal,services,0,services,l10,0.010464700936085373,estimated,2016-10-09 23:59:00,1.2916225266546328,1.3020872275907183
2016-10,signal,services,0,services,l10,0.024550884114441594,estimated,2016-11-08 23:59:00,1.4888612493750655,1.513412133489507
2016-11,signal,services,0,services,l10,0.0028350416540188017,estimated,2016-12-08 23:59:00,1.5873349156290149,1.5901699572830337
2016-12,signal,services,0,services,l10,0.005749549320936467,estimated,2017-01-09 23:59:00,1.6857117066422904,1.691461255963227
2017-01,signal,services,0,services,l10,0.005949547414853661,estimated,2017-02-09 23:59:00,1.9802627296179713,1.986212277032825
2017-02,signal,services,0,services,l10,0.00958261445602138,estimated,2017-03-08 23:59:00,2.46926125903715,2.4788438734931715
2017-03,signal,services,0,services,l10,0.011951797847916779,estimated,2017-04-09 23:59:00,2.858745685191255,2.870697483039172
2017-04,signal,services,0,services,l1,0.11463330357032585,estimated,2017-05-09 23:59:00,2.95588022415444,3.0705135277247657
2017-05,signal,services,0,services,l0.1,0.06525951363168715,estimated,2017-06-08 23:59:00,3.0529205034822873,3.1181800171139744
2017-06,signal,services,0,services,l0.1,-0.02728333171609258,estimated,2017-07-11 23:59:00,3.0529205034822873,3.0256371717661947
2017-07,signal,services,0,services,l0.1,0.03942909850866482,estimated,2017-08-08 23:59:00,3.44014267173324,3.479571770241905
2017-08,signal,services,0,services,l0.1,0.026158417780452473,estimated,2017-09-10 23:59:00,3.44014267173324,3.4663010895136925
2017-09,signal,services,0,services,l0.1,-0.0017670559311593653,estimated,2017-10-08 23:59:00,3.5367143837291315,3.534947327797972
2017-10,signal,services,0,services,l0.1,-0.12520643314777524,estimated,2017-11-08 23:59:00,3.5367143837291315,3.411507950581356
2017-11,signal,services,0,services,l0.1,-0.02177666079460032,estimated,2017-12-10 23:59:00,3.5367143837291315,3.514937722934531
2017-12,signal,services,0,services,l0.1,-0.040641941407138005,estimated,2018-01-09 23:59:00,3.5367143837291315,3.4960724423219935
2018-01,signal,services,0,services,l0.1,0.0054224205294902735,estimated,2018-02-13 23:59:00,3.0529205034822873,3.0583429240117774
2018-02,signal,services,0,services,l0.1,-0.15232018283920434,estimated,2018-03-08 23:59:00,2.858745685191255,2.706425502352051
2018-03,signal,services,0,services,l0.1,-0.2380638455201784,estimated,2018-04-09 23:59:00,2.6641930946421177,2.4261292491219395
2018-04,signal,services,0,services,l0.1,-0.1526348362064602,estimated,2018-05-09 23:59:00,2.7615167032973362,2.608881867090876
2018-05,signal,services,0,services,l0.1,-0.07264302826913041,estimated,2018-06-10 23:59:00,2.95588022415444,2.8832371958853096
2018-06,signal,services,0,services,l0.1,0.09445367968098446,estimated,2018-07-10 23:59:00,3.149866705937099,3.2443203856180833
2018-07,signal,services,0,services,l0.1,0.03730651675851455,estimated,2018-08-08 23:59:00,3.2467190137501496,3.2840255305086643
2018-08,signal,services,0,services,l0.1,0.11936886770351185,estimated,2018-09-09 23:59:00,4.018178963283183,4.137547830986694
2018-09,signal,services,0,services,l0.1,0.012260295027929767,estimated,2018-10-08 23:59:00,4.114194333117518,4.1264546281454475
2018-10,signal,services,0,services,l0.1,0.09989317409418857,estimated,2018-11-08 23:59:00,3.5367143837291315,3.63660755782332
2018-11,signal,services,0,services,l0.1,-0.09241227599410647,estimated,2018-12-09 23:59:00,3.9220713153281297,3.829659039334023
2018-12,signal,services,0,services,l0.1,-0.07942110269515365,estimated,2019-01-09 23:59:00,4.21011760186354,4.130696499168386
2019-01,signal,services,0,services,l0.1,-0.1913328411137778,estimated,2019-02-12 23:59:00,4.114194333117518,3.92286149200374
2019-02,signal,services,0,services,l0.1,-0.1813398101300888,estimated,2019-03-10 23:59:00,4.497336564273115,4.315996754143026
2019-03,signal,services,0,services,l0.1,-0.15575644811742104,estimated,2019-04-09 23:59:00,4.59289318883998,4.4371367407225595
2019-04,signal,services,0,services,l0.1,-0.08826078865265845,estimated,2019-05-12 23:59:00,4.21011760186354,4.121856813210881
2019-05,signal,services,0,services,l0.1,-0.20062938127321756,estimated,2019-06-10 23:59:00,4.114194333117518,3.9135649518443003
2019-06,signal,services,0,services,l0.1,-0.4057116985771484,estimated,2019-07-10 23:59:00,4.018178963283183,3.6124672647060345
2019-07,signal,services,0,services,l0.1,0.010355679151210665,estimated,2019-08-11 23:59:00,4.305948946044698,4.316304625195908
2019-08,signal,services,0,services,l0.1,-0.05896967012992955,estimated,2019-09-09 23:59:00,4.401688541677433,4.342718871547503
2019-09,signal,services,0,services,l0.1,0.00022180385846080281,estimated,2019-10-09 23:59:00,4.305948946044698,4.306170749903158
2019-10,signal,services,0,services,l0.1,-0.19183836168498064,estimated,2019-11-10 23:59:00,4.114194333117518,3.922355971432537
2019-11,signal,services,0,services,l0.1,-0.07898992555992136,estimated,2019-12-09 23:59:00,3.9220713153281297,3.843081389768208
2019-12,signal,services,0,services,l0.1,-0.09352984213148262,estimated,2020-01-12 23:59:00,3.7295784743696894,3.636048632238207
2020-01,signal,services,0,services,l0.1,-0.02578234638875375,estimated,2020-02-13 23:59:00,3.6331929247390287,3.607410578350275
2020-02,signal,services,0,services,l0.1,0.024189192192966447,estimated,2020-03-09 23:59:00,3.9220713153281297,3.946260507521096
2020-03,signal,services,0,services,l0.1,0.13249118847939015,estimated,2020-04-13 23:59:00,4.018178963283183,4.150670151762573
2020-04,signal,services,0,services,l0.1,0.08312618535672267,estimated,2020-05-12 23:59:00,3.7295784743696894,3.8127046597264123
2020-05,signal,services,0,services,l0.1,0.023419760607042275,estimated,2020-06-09 23:59:00,3.343477608623739,3.3668973692307813
2020-06,signal,services,0,services,l10,-0.016963173235226735,estimated,2020-07-09 23:59:00,3.2467190137501496,3.229755840514923
2020-07,signal,services,0,services,l10,-0.0031146977880497366,estimated,2020-08-12 23:59:00,3.0529205034822873,3.0498058056942376
2020-08,signal,services,0,services,l10,-0.003156878731255548,estimated,2020-09-09 23:59:00,2.858745685191255,2.8555888064599997
2020-09,signal,services,0,services,l10,0.050933476874115605,estimated,2020-10-11 23:59:00,2.566774674857779,2.6177081517318945
2020-10,signal,services,0,services,l10,0.008636313678982748,estimated,2020-11-09 23:59:00,2.6641930946421177,2.6728294083211006
2020-11,signal,services,0,services,l10,0.007165647637472882,estimated,2020-12-09 23:59:00,2.46926125903715,2.476426906674623
2020-12,signal,services,0,services,l10,-0.0023970837460701444,estimated,2021-01-12 23:59:00,2.6641930946421177,2.6617960108960474
2021-01,signal,services,0,services,l10,-0.004032183369519639,estimated,2021-02-11 23:59:00,2.6641930946421177,2.660160911272598
2021-02,signal,services,0,services,l10,-0.00081059015103787,estimated,2021-03-09 23:59:00,2.3716526617316043,2.3708420715805665
2021-03,signal,services,0,services,l10,-0.015399386416254964,estimated,2021-04-12 23:59:00,2.0782539182528503,2.0628545318365954
2021-04,signal,services,0,services,l10,-0.020797245863663053,estimated,2021-05-10 23:59:00,2.3716526617316043,2.350855415867941
2021-05,signal,services,0,services,l10,-0.011454498385807331,estimated,2021-06-09 23:59:00,2.6641930946421177,2.6527385962563104
2021-06,signal,services,0,services,l10,0.010032071657616475,estimated,2021-07-12 23:59:00,2.858745685191255,2.8687777568488717
2021-07,signal,services,0,services,l10,0.01384509819082937,estimated,2021-08-09 23:59:00,3.343477608623739,3.3573227068145686
2021-08,signal,services,0,services,l10,0.003299356164844092,estimated,2021-09-09 23:59:00,3.9220713153281297,3.9253706714929737
2021-09,signal,services,0,services,l10,-0.012468726131690307,estimated,2021-10-10 23:59:00,4.9742091894814076,4.9617404633497175
2021-10,signal,services,0,services,l10,-0.013769177215569882,estimated,2021-11-09 23:59:00,5.921185963184609,5.907416785969039
2021-11,signal,services,0,services,l10,-0.0029342510232543088,estimated,2021-12-09 23:59:00,6.859279146561172,6.856344895537918
2021-12,signal,services,0,services,l0.1,0.5179245941675121,estimated,2022-01-11 23:59:00,7.881118042428977,8.399042636596489
2022-01,signal,services,0,services,l10,0.08141578787290303,estimated,2022-02-13 23:59:00,8.157998699242288,8.23941448711519
2022-02,signal,services,0,services,l10,0.15103968270027457,estimated,2022-03-09 23:59:00,9.16671885258238,9.317758535282653
2022-03,signal,services,0,services,l1,0.5305527783587192,estimated,2022-04-10 23:59:00,9.712671073072274,10.243223851430994
2022-04,signal,services,0,services,l0.1,0.7958983339943796,estimated,2022-05-09 23:59:00,10.436001532424278,11.231899866418658
2022-05,signal,services,0,services,l0.1,1.3409559008928242,estimated,2022-06-09 23:59:00,11.867152971749864,13.208108872642688
2022-06,signal,services,0,services,l0.1,2.063426537399109,estimated,2022-07-12 23:59:00,12.839321476839896,14.902748014239005
2022-07,signal,services,0,services,l1,2.0115157967985593,estimated,2022-08-09 23:59:00,13.627761829254784,15.639277626053342
2022-08,signal,services,0,services,l1,1.7805033589363348,estimated,2022-09-11 23:59:00,13.540463700620295,15.32096705955663
2022-09,signal,services,0,services,l1,1.1968606303215412,estimated,2022-10-10 23:59:00,13.190507087993858,14.3873677183154
2022-10,signal,services,0,services,l1,0.7416474572203692,estimated,2022-11-09 23:59:00,13.102826240640407,13.844473697860776
2022-11,signal,services,0,services,l1,0.45516941929446647,estimated,2022-12-11 23:59:00,12.839321476839896,13.294490896134363
2022-12,signal,services,0,services,l10,0.039450666968449725,estimated,2023-01-10 23:59:00,12.044615307586716,12.084065974555164
2023-01,signal,services,0,services,l10,0.026114479816451475,estimated,2023-02-09 23:59:00,11.867152971749864,11.893267451566315
2023-02,signal,services,0,services,l10,-0.06778953556624362,estimated,2023-03-09 23:59:00,10.88544049120821,10.817650955641966
2023-03,signal,services,0,services,l10,-0.03925424094300038,estimated,2023-04-12 23:59:00,10.526051065749295,10.486796824806294
2023-04,signal,services,0,services,l10,-0.09448402927884295,estimated,2023-05-10 23:59:00,10.255658832509209,10.161174803230365
2023-05,signal,services,0,services,l10,-0.13693631235481807,estimated,2023-06-11 23:59:00,8.892620919440153,8.755684607085335
2023-06,signal,services,0,services,l10,-0.19702661848731912,estimated,2023-07-12 23:59:00,7.603468627599762,7.4064420091124425
2023-07,signal,services,0,services,l10,-0.2629376216819876,estimated,2023-08-09 23:59:00,6.672363204290818,6.40942558260883
2023-08,signal,services,0,services,l0.1,-1.8795692882460826,estimated,2023-09-10 23:59:00,6.485097231961633,4.6055279437155505
2023-09,signal,services,0,services,l0.1,-1.4180651042445478,estimated,2023-10-09 23:59:00,5.921185963184609,4.503120858940061
2023-10,signal,services,0,services,l0.1,-0.8593951464816523,estimated,2023-11-09 23:59:00,5.543470688810059,4.684075542328406
2023-11,signal,services,0,services,l0.1,-0.9386070234539865,estimated,2023-12-10 23:59:00,4.8790164169432,3.9404093934892135
2023-12,signal,services,0,services,l0.1,-0.6147240188026479,estimated,2024-01-10 23:59:00,4.783732941416012,4.169008922613364
2024-01,signal,services,0,services,l0.1,-0.49792064079199233,estimated,2024-02-14 23:59:00,4.59289318883998,4.094972548047988
2024-02,signal,services,0,services,l0.1,-0.21842161257829132,estimated,2024-03-10 23:59:00,4.401688541677433,4.183266929099141
2024-03,signal,services,0,services,l0.1,0.05042880078194609,estimated,2024-04-09 23:59:00,4.688358589885041,4.738787390666987
2024-04,signal,services,0,services,l0.1,0.16591048958624255,estimated,2024-05-12 23:59:00,4.59289318883998,4.758803678426223
2024-05,signal,services,0,services,l0.1,0.2662913738385279,estimated,2024-06-10 23:59:00,4.497336564273115,4.763627938111643
2024-06,signal,services,0,services,l0.1,0.05979194317495103,estimated,2024-07-09 23:59:00,4.59289318883998,4.652685132014931
2024-07,signal,services,0,services,l0.1,-0.18295308567944144,estimated,2024-08-11 23:59:00,4.114194333117518,3.9312412474380767
2024-08,signal,services,0,services,l0.1,-0.13588909437042151,estimated,2024-09-09 23:59:00,4.114194333117518,3.9783052387470965
2024-09,signal,services,0,services,l0.1,-0.1396537674285821,estimated,2024-10-09 23:59:00,4.305948946044698,4.1662951786161155
2024-10,signal,services,0,services,l0.1,0.053046717439824496,estimated,2024-11-10 23:59:00,4.114194333117518,4.167241050557342
2024-11,signal,services,0,services,l0.1,0.22500284989093575,estimated,2024-12-09 23:59:00,4.401688541677433,4.626691391568368
2024-12,signal,services,0,services,l0.1,0.059845648824367076,estimated,2025-01-12 23:59:00,4.401688541677433,4.4615341905018
2025-01,signal,services,0,services,l0.1,0.1131288702799596,estimated,2025-02-05 23:59:00,4.21011760186354,4.3232464721434996
2025-02,signal,services,0,services,l0.1,-0.15022284393069876,estimated,2025-03-04 23:59:00,4.114194333117518,3.963971489186819
2025-03,signal,services,0,services,l0.1,-0.143672444350422,estimated,2025-04-03 23:59:00,4.114194333117518,3.970521888767096
2025-04,signal,services,0,services,l0.1,-0.021621993518857092,estimated,2025-05-05 23:59:00,4.114194333117518,4.092572339598661
2025-05,signal,services,0,services,l0.1,0.20515991167959802,estimated,2025-06-03 23:59:00,4.401688541677433,4.60684845335703
2025-06,signal,services,0,services,l0.1,0.27767280821588214,estimated,2025-07-03 23:59:00,4.497336564273115,4.775009372488997
2025-07,signal,services,0,services,l0.1,0.26265812896496515,estimated,2025-08-04 23:59:00,4.497336564273115,4.75999469323808
2025-08,signal,services,0,services,l0.1,-0.0361476174387583,estimated,2025-09-03 23:59:00,4.305948946044698,4.269801328605939
2025-09,signal,services,0,services,l0.1,-0.09851444806848324,estimated,2025-10-05 23:59:00,4.305948946044698,4.207434497976214
2025-10,signal,services,0,services,l0.1,-0.10179384450987011,estimated,2025-11-04 23:59:00,4.305948946044698,4.204155101534828
