origin,level,change3,change12,cost_26_mean3,cost_45_mean3,cost_47_mean3,fx3,cost_62_mean3
2006-01,-2.326862693935431,0.1024065629690254,0.5130847582343665,,-0.0012554942651590295,-0.002383800385875231,,0.06906563310870162
2006-02,-2.1223636451626673,0.20449904877276381,1.336780831799239,,0.00041485174406830083,-0.0031746271704185722,,0.06684504574053059
2006-03,-2.1223636451626673,0.20449904877276381,1.5440347919964768,,0.0016625138370131391,-0.0015873045867481987,,0.044870250291037785
2006-04,-2.1223636451626673,0.20449904877276381,1.751719186480389,,0.004166720921410534,0.0007964957991270319,,0.07785406244860571
2006-05,-2.1223636451626673,0.0,1.6478230732384826,,0.0016542631140431159,0.002383800385875231,,0.11693020959317628
2006-06,-2.1223636451626673,0.0,1.336780831799239,,0.0020665492931752163,0.002772842291697053,,0.07253240690974512
2006-07,-2.942881069081214,-0.8205174239185467,0.20618564005586792,,0.002475258898949839,0.00356086472332399,,0.042731286888602504
2006-08,-2.7371196796131994,-0.6147560344505321,-0.10272214565300386,,0.003284098814337,0.004717059848747596,,-0.004770558202332076
2006-09,-2.6343975339601955,-0.5120338887975282,0.0,,0.0036878065147517938,0.004700430413535332,,0.031745562400280036
2006-10,-2.4292692569044565,0.5136118121767574,0.0,,0.002864760829111468,0.003133591428235327,,0.021603090286865207
2006-11,-2.4292692569044565,0.30785042270874285,-0.1024065629690254,,0.00040824663196540695,0.0,,0.021499612970635813
2006-12,-2.326862693935431,0.3075348400247644,0.0,,-0.0008159938795468946,-0.0011689082697365905,,0.02239309361840025
2007-01,-2.1223636451626673,0.3069056117417892,0.20449904877276381,,-0.0008159938795468946,-0.0003900917160635231,,-0.019435988201408943
2007-02,-2.4292692569044565,0.0,-0.3069056117417892,,0.003248097158225901,0.0,,-0.018620970499768557
2007-03,-2.6343975339601955,-0.3075348400247644,-0.5120338887975282,,0.005670448608845764,0.0015576352331307202,,-0.0037379607598827156
2007-04,-2.020270731751945,0.10209291341072246,0.10209291341072246,,0.007273015798213341,0.0038805250051619686,0.9958529068915416,0.0574919049837345
2007-05,-1.612938192988363,0.8163310639160934,0.5094254521743042,,0.005211571382467343,0.005803977158940654,0.6051834910659553,0.05604321284060809
2007-06,-1.71461588349705,0.9197816504631455,0.4077477616656173,,0.005575597935104426,0.006539928956550867,6.439293542825908e-15,0.01642148978474515
2007-07,-1.612938192988363,0.4073325387635818,1.329942876092851,,0.005941927984200272,0.006873095734245105,1.7314920213287366,-0.019608123000445232
2007-08,-2.224560894731972,-0.6116227017436089,0.5125587848812274,,0.005131342697097215,0.006081506580845719,1.1359724570408023,-0.05290366596106644
2007-09,-2.326862693935431,-0.6122468104383811,0.3075348400247644,,0.0023612849628017094,0.0034110587600097255,-1.3300486680704766,-0.033844012826321546
2007-10,-1.511363781004817,0.101574411983546,0.9179054758996394,,0.0007843140873422527,0.0011318630003793,-3.464475637214039,-0.02081429749670427
2007-11,-1.2072581234269237,1.0173027713050482,1.2220111334775328,,0.0011730217383985793,0.0011280326614135916,-3.5716799029434476,-0.013035609955705851
2007-12,-1.106094735942494,1.2207679579929371,1.2207679579929371,,0.003898679921063556,0.004494450112428734,-4.129623766626929,-0.030670610159116762
2008-01,-1.0050335853501442,0.5063301956546729,1.117330059812523,,0.003118931136960453,0.0033727100551950904,-4.726809386036328,-0.029960667515054773
2008-02,-1.308523954865547,-0.10126583143862322,1.1207453020389095,,0.008097564189681586,0.002989556660920082,-4.814835963447344,0.02274652560640818
2008-03,-1.308523954865547,-0.202429218923053,1.3258735790946485,,0.006144567229612837,0.0003718163612885424,-5.202009514713285,0.06353578425271363
