month,tobacco
2015-01,94.400000000000006
2015-02,98.099999999999994
2015-03,100.3
2015-04,100.5
2015-05,101
2015-06,100.8
2015-07,100.8
2015-08,101
2015-09,101
2015-10,100.90000000000001
2015-11,100.5
2015-12,100.5
2016-01,100.5
2016-02,100.90000000000001
2016-03,102.7
2016-04,104.5
2016-05,105.3
2016-06,106
2016-07,106.2
2016-08,106.8
2016-09,107
2016-10,107.09999999999999
2016-11,107.09999999999999
2016-12,107
2017-01,107
2017-02,107.2
2017-03,107.7
2017-04,108.09999999999999
2017-05,108.59999999999999
2017-06,108.8
2017-07,109
2017-08,109.2
2017-09,109.2
2017-10,109.3
2017-11,109.3
2017-12,109.40000000000001
2018-01,109.5
2018-02,109.5
2018-03,110.8
2018-04,111.90000000000001
2018-05,112.5
2018-06,112.8
2018-07,112.90000000000001
2018-08,112.90000000000001
2018-09,113
2018-10,113.2
2018-11,113.59999999999999
2018-12,113.7
2019-01,114
2019-02,114.2
2019-03,114.2
2019-04,114.3
2019-05,114.3
2019-06,114.3
2019-07,114.3
2019-08,114.3
2019-09,114.3
2019-10,114.40000000000001
2019-11,114.5
2019-12,114.59999999999999
2020-01,116.3
2020-02,117.3
2020-03,117.8
2020-04,118
2020-05,122.40000000000001
2020-06,128.19999999999999
2020-07,130.09999999999999
2020-08,130.30000000000001
2020-09,130.5
2020-10,130.5
2020-11,131.40000000000001
2020-12,133.40000000000001
2021-01,134
2021-02,135
2021-03,138.40000000000001
2021-04,141
2021-05,141.19999999999999
2021-06,141.09999999999999
2021-07,141
2021-08,143.19999999999999
2021-09,146.5
2021-10,147.40000000000001
2021-11,147.5
2021-12,147.40000000000001
2022-01,147.40000000000001
2022-02,149.5
2022-03,152.90000000000001
2022-04,153
2022-05,153.09999999999999
2022-06,153.09999999999999
2022-07,153.19999999999999
2022-08,154.09999999999999
2022-09,156.19999999999999
2022-10,156.90000000000001
2022-11,157
2022-12,157
2023-01,157.09999999999999
2023-02,159.40000000000001
2023-03,162.09999999999999
2023-04,162.19999999999999
2023-05,162.30000000000001
2023-06,162.30000000000001
2023-07,163.40000000000001
2023-08,165.59999999999999
2023-09,167.69999999999999
2023-10,167.59999999999999
2023-11,167.80000000000001
2023-12,168
2024-01,168
2024-02,168.09999999999999
2024-03,171.69999999999999
2024-04,173.69999999999999
2024-05,174.19999999999999
2024-06,174.19999999999999
2024-07,174.19999999999999
2024-08,176.40000000000001
2024-09,178.69999999999999
2024-10,179.40000000000001
2024-11,179.59999999999999
2024-12,179.80000000000001
2025-01,180.5
2025-02,184
2025-03,185.69999999999999
2025-04,186.59999999999999
2025-05,186.69999999999999
2025-06,186.80000000000001
2025-07,186.80000000000001
2025-08,186.90000000000001
2025-09,188.5
2025-10,190.19999999999999
2025-11,190.90000000000001
2025-12,191.69999999999999
2026-01,191.90000000000001
2026-02,194.30000000000001
2026-03,195.90000000000001
2026-04,197
2026-05,197.19999999999999
2026-06,197.69999999999999
2026-07,197.80000000000001
