origin,as_of,status,czech_phase,cz_status,cz_last_month,cz_momentum,cz_threshold,mu_own
2019-02,2019-03-10T22:59:00+00:00,estimated,fading,estimated,2019-01,-0.3237995273774885,1.0,0.06622087519231434
2019-03,2019-04-09T21:59:00+00:00,estimated,fading,estimated,2019-02,-0.10758473334631091,1.0,0.06629976850347905
2019-04,2019-05-12T21:59:00+00:00,estimated,fading,estimated,2019-03,0.0,1.0,0.06633320260720117
2019-05,2019-06-10T21:59:00+00:00,estimated,fading,estimated,2019-04,0.10643960557867871,1.0,0.06636663671092331
2019-06,2019-07-10T21:59:00+00:00,estimated,fading,estimated,2019-05,0.6369448285480139,1.0,0.07052291303227924
2019-07,2019-08-11T21:59:00+00:00,estimated,building,estimated,2019-06,1.2875714360045087,1.0,0.07467918935363517
2019-08,2019-09-09T21:59:00+00:00,estimated,building,estimated,2019-07,1.1821738965166695,1.0,0.074695839436819
2019-09,2019-10-09T21:59:00+00:00,estimated,fading,estimated,2019-08,0.857454342458297,1.0,0.07471248952000284
2019-10,2019-11-10T22:59:00+00:00,estimated,fading,estimated,2019-09,0.6417134320632734,1.0,0.07885209914135867
2019-11,2019-12-09T22:59:00+00:00,estimated,fading,estimated,2019-10,-0.5333345975362391,1.0,0.08299170876271451
2019-12,2020-01-12T22:59:00+00:00,estimated,fading,estimated,2019-11,-1.385211280815124,1.0,0.08299170876271451
2020-01,2020-02-13T22:59:00+00:00,estimated,fading,estimated,2019-12,-0.5344748158880641,1.0,0.08299170876271451
2020-02,2020-03-09T22:59:00+00:00,estimated,fading,estimated,2020-01,0.0,1.0,0.08303345086444769
2020-03,2020-04-13T21:59:00+00:00,estimated,fading,estimated,2020-02,-0.9651549452221353,1.0,0.08307519296618086
2020-04,2020-05-12T21:59:00+00:00,estimated,fading,estimated,2020-03,-1.8289912750917736,1.0,0.08307519296618086
2020-05,2020-06-09T21:59:00+00:00,estimated,fading,estimated,2020-04,-2.053016461455659,1.0,0.08307519296618086
2020-06,2020-07-09T21:59:00+00:00,estimated,fading,estimated,2020-05,-1.1872778430285003,1.0,0.0830876431467832
2020-07,2020-08-12T21:59:00+00:00,estimated,fading,estimated,2020-06,-1.2945164592037095,1.0,0.08310009332738552
2020-08,2020-09-09T21:59:00+00:00,estimated,fading,estimated,2020-07,-1.6155440222285655,1.0,0.087222826847552
2020-09,2020-10-11T21:59:00+00:00,estimated,fading,estimated,2020-08,-1.0834342165709998,1.0,0.09134556036771847
2020-10,2020-11-09T22:59:00+00:00,estimated,fading,estimated,2020-09,0.0,1.0,0.09134569435497335
2020-11,2020-12-09T22:59:00+00:00,estimated,fading,estimated,2020-10,0.9777372838295051,1.0,0.09134582834222821
2020-12,2021-01-12T22:59:00+00:00,estimated,fading,estimated,2020-11,-0.10863662122204687,1.0,0.09135417002558659
2021-01,2021-02-11T22:59:00+00:00,estimated,fading,estimated,2020-12,0.10851873012871494,1.0,0.09136251170894498
2021-02,2021-03-09T22:59:00+00:00,estimated,building,estimated,2021-01,1.2945164592037095,1.0,0.0913834370587443
2021-03,2021-04-12T21:59:00+00:00,estimated,building,estimated,2021-02,2.5807883955872413,1.0,0.09140436240854365
2021-04,2021-05-10T21:59:00+00:00,estimated,building,estimated,2021-03,4.043103862813169,1.0,0.09537345970682332
2021-05,2021-06-09T21:59:00+00:00,estimated,building,estimated,2021-04,4.44047579408684,1.0,0.09934255700510301
2021-06,2021-07-12T21:59:00+00:00,estimated,building,estimated,2021-05,6.215797248742394,1.0,0.09950046899502156
2021-07,2021-08-09T21:59:00+00:00,estimated,building,estimated,2021-06,7.0149108066118515,1.0,0.09965838098494008
2021-08,2021-09-09T21:59:00+00:00,estimated,building,estimated,2021-07,7.830981950626548,1.0,0.09965838098494008
2021-09,2021-10-10T21:59:00+00:00,estimated,building,estimated,2021-08,8.248949137526385,1.0,0.09965838098494008
2021-10,2021-11-09T22:59:00+00:00,estimated,building,estimated,2021-09,7.239340913352166,1.0,0.09965838098494008
2021-11,2021-12-09T22:59:00+00:00,estimated,building,estimated,2021-10,8.139411294300292,1.0,0.09965838098494008
2021-12,2022-01-11T22:59:00+00:00,estimated,building,estimated,2021-11,8.043549608347256,1.0,0.09966672266829846
2022-01,2022-02-13T22:59:00+00:00,estimated,building,estimated,2021-12,6.744128079553224,1.0,0.09967506435165684
2022-02,2022-03-09T22:59:00+00:00,estimated,building,estimated,2022-01,6.614773111533356,1.0,0.09967506435165684
2022-03,2022-04-10T21:59:00+00:00,estimated,building,estimated,2022-02,7.1661188451995095,1.0,0.09967506435165684
2022-04,2022-05-09T21:59:00+00:00,estimated,building,estimated,2022-03,11.183803625209876,1.0,0.09967526420575466
2022-05,2022-06-09T21:59:00+00:00,estimated,building,estimated,2022-04,12.021625558208981,1.0,0.09967546405985249
2022-06,2022-07-12T21:59:00+00:00,estimated,building,estimated,2022-05,13.963899911331978,1.0,0.09971278978809006
2022-07,2022-08-09T21:59:00+00:00,estimated,building,estimated,2022-06,16.195166088087998,1.0,0.09975011551632766
2022-08,2022-09-11T21:59:00+00:00,estimated,building,estimated,2022-07,13.838970177559862,1.0,0.09975011551632766
2022-09,2022-10-10T21:59:00+00:00,estimated,building,estimated,2022-08,11.017149030728923,1.0,0.09975011551632768
2022-10,2022-11-09T22:59:00+00:00,estimated,building,estimated,2022-09,6.138959622709805,1.0,0.10388154117802147
2022-11,2022-12-11T22:59:00+00:00,estimated,building,estimated,2022-10,4.8669398515037265,1.0,0.10801296683971527
2022-12,2023-01-10T22:59:00+00:00,estimated,fading,estimated,2022-11,0.6535970979784977,1.0,0.10801702563541667
2023-01,2023-02-09T22:59:00+00:00,estimated,fading,estimated,2022-12,-3.185242737436944,1.0,0.10802108443111809
2023-02,2023-03-09T22:59:00+00:00,estimated,fading,estimated,2023-01,-1.1372990172270114,1.0,0.10802108443111809
2023-03,2023-04-12T21:59:00+00:00,estimated,fading,estimated,2023-02,-0.0815328214754274,1.0,0.10802108443111812
2023-04,2023-05-10T21:59:00+00:00,estimated,fading,estimated,2023-03,-0.40866423854524214,1.0,0.10802523448305186
2023-05,2023-06-11T21:59:00+00:00,estimated,fading,estimated,2023-04,-2.527651894033145,1.0,0.1080293845349856
2023-06,2023-07-12T21:59:00+00:00,estimated,fading,estimated,2023-05,-2.1399993611934676,1.0,0.1121314836919728
2023-07,2023-08-09T21:59:00+00:00,estimated,fading,estimated,2023-06,-0.49916908972411633,1.0,0.11623358284896002
2023-08,2023-09-10T21:59:00+00:00,estimated,fading,estimated,2023-07,-2.3977998706659953,1.0,0.11628776001332874
2023-09,2023-10-09T21:59:00+00:00,estimated,fading,estimated,2023-08,-2.1435280720065286,1.0,0.11634193717769747
2023-10,2023-11-09T22:59:00+00:00,estimated,fading,estimated,2023-09,-1.3190628185949294,1.0,0.11634193717769747
2023-11,2023-12-10T22:59:00+00:00,estimated,fading,estimated,2023-10,-0.49668976283374633,1.0,0.11634193717769747
2023-12,2024-01-10T22:59:00+00:00,estimated,fading,estimated,2023-11,-0.3333336419758304,1.0,0.11635443720894756
2024-01,2024-02-14T22:59:00+00:00,estimated,fading,estimated,2023-12,-0.8375258336731584,1.0,0.11636693724019764
2024-02,2024-03-10T22:59:00+00:00,estimated,fading,estimated,2024-01,0.0,1.0,0.12034850960705279
2024-03,2024-04-09T21:59:00+00:00,estimated,fading,estimated,2024-02,0.4158010148663571,1.0,0.12433008197390794
2024-04,2024-05-12T21:59:00+00:00,estimated,fading,estimated,2024-03,0.4140792666031956,1.0,0.1244716599536474
2024-05,2024-06-10T21:59:00+00:00,estimated,fading,estimated,2024-04,0.7441125694688466,1.0,0.12461323793338687
