a6_number,component,source_id,source_file,period,value,value_kind,availability_rule,available_from_assumed,vintage,frequency,seasonal_adjustment
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2004-06,14761.0,level,t_plus_41d,2004-08-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2004-07,13012.0,level,t_plus_41d,2004-09-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2004-08,14632.0,level,t_plus_41d,2004-10-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2004-09,14958.0,level,t_plus_41d,2004-11-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2004-10,13714.0,level,t_plus_41d,2004-12-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2004-11,13501.0,level,t_plus_41d,2005-01-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2004-12,12730.0,level,t_plus_41d,2005-02-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2005-01,8713.0,level,t_plus_41d,2005-03-13,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2005-02,8056.0,level,t_plus_41d,2005-04-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2005-03,10505.0,level,t_plus_41d,2005-05-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2005-04,10879.0,level,t_plus_41d,2005-06-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2005-05,13038.0,level,t_plus_41d,2005-07-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2005-06,13673.0,level,t_plus_41d,2005-08-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2005-07,12393.0,level,t_plus_41d,2005-09-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2005-08,14397.0,level,t_plus_41d,2005-10-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2005-09,14296.0,level,t_plus_41d,2005-11-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2005-10,13301.0,level,t_plus_41d,2005-12-11,"current, downloaded 2026-09-12",M,
