H,sample,name,n_own,rmse_own,bias_own,n_theirs,rmse_theirs,bias_theirs,ratio_to_baseline,rmse_diff,n_diff
3,full,STATE_FAST_R15,84,2.218792223024734,-0.17189875651481065,84,2.218792223024734,-0.1718987565148106,1.0190329519619876,0.0,0
3,full,FOOD_NORM_SHIFT_R24,84,2.1773508096600787,-0.4509565851602152,84,2.1773508096600787,-0.4509565851602152,1.0,0.0,0
3,full,FOOD_ECM_R27,84,2.0906137015809896,-0.5882043095560611,84,2.0906137015809896,-0.5882043095560611,0.960163925953379,0.0,0
3,full,FOOD_ECM_PPI_R27,84,2.0303379335867686,-0.5793561304569688,84,2.0303379335867686,-0.5793561304569688,0.9324808499296164,0.0,0
3,full,FOOD_ECM_A002_R27,84,2.159098558171393,-0.4691990964804211,84,2.1590985581713933,-0.4691990964804211,0.9916172206115308,4.440892098500626e-16,0
3,full,FOOD_ECM_A005_R27,84,2.1376046336368284,-0.4938451389213329,84,2.1376046336368284,-0.4938451389213329,0.9817456259933348,0.0,0
3,full,FOOD_ECM_A010_R27,84,2.113924967875802,-0.5281595429522654,84,2.113924967875802,-0.5281595429522654,0.9708701778772256,0.0,0
3,full,FOOD_ECM_A015_R27,84,2.100703507948957,-0.5547781826891462,84,2.100703507948957,-0.5547781826891462,0.9647979088298188,0.0,0
3,origins_2019_2021,STATE_FAST_R15,32,1.8044260829719247,-0.360226735188477,32,1.8044260829719243,-0.360226735188477,1.0206286959913458,4.440892098500626e-16,0
3,origins_2019_2021,FOOD_NORM_SHIFT_R24,32,1.7679554671145803,-0.3047920329177584,32,1.7679554671145803,-0.3047920329177584,1.0,0.0,0
3,origins_2019_2021,FOOD_ECM_R27,32,1.7000162222893263,-0.47926434330818307,32,1.7000162222893265,-0.4792643433081832,0.9615718573861278,2.220446049250313e-16,0
3,origins_2019_2021,FOOD_ECM_PPI_R27,32,1.6259073796011314,-0.2767169919198596,32,1.6259073796011314,-0.2767169919198596,0.9196540353217828,0.0,0
3,origins_2019_2021,FOOD_ECM_A002_R27,32,1.751114697500745,-0.32798231247518117,32,1.751114697500745,-0.3279823124751812,0.9904744378876688,0.0,0
3,origins_2019_2021,FOOD_ECM_A005_R27,32,1.7320344431080452,-0.3593129009098883,32,1.7320344431080452,-0.3593129009098884,0.9796821669579944,0.0,0
3,origins_2019_2021,FOOD_ECM_A010_R27,32,1.712733981207578,-0.40293412215272684,32,1.712733981207578,-0.4029341221527268,0.9687653411332088,0.0,0
3,origins_2019_2021,FOOD_ECM_A015_R27,32,1.7037496063740798,-0.4367723194327724,32,1.7037496063740798,-0.4367723194327724,0.963683553157994,0.0,0
3,origins_2022_2023,STATE_FAST_R15,24,3.2994915921886765,-0.6113487268268453,24,3.299491592188676,-0.6113487268268453,1.0147391877276009,4.440892098500626e-16,0
3,origins_2022_2023,FOOD_NORM_SHIFT_R24,24,3.2515661483198777,-1.070421669516555,24,3.2515661483198777,-1.070421669516555,1.0,0.0,0
3,origins_2022_2023,FOOD_ECM_R27,24,3.151980247164478,-1.446926107285596,24,3.151980247164478,-1.446926107285596,0.9693729431871296,0.0,0
3,origins_2022_2023,FOOD_ECM_PPI_R27,24,3.040532024918179,-1.494009140551199,24,3.0405320249181798,-1.4940091405511993,0.9350976994545408,8.881784197001252e-16,0
3,origins_2022_2023,FOOD_ECM_A002_R27,24,3.23233371720524,-1.1204653878976327,24,3.2323337172052407,-1.1204653878976327,0.9940851791913952,4.440892098500626e-16,0
3,origins_2022_2023,FOOD_ECM_A005_R27,24,3.2091983118873055,-1.1880755751943213,24,3.209198311887305,-1.1880755751943213,0.9869700216757192,4.440892098500626e-16,0
3,origins_2022_2023,FOOD_ECM_A010_R27,24,3.182559655919864,-1.2822084685003252,24,3.182559655919864,-1.2822084685003252,0.9787774600754564,0.0,0
3,origins_2022_2023,FOOD_ECM_A015_R27,24,3.1664560827271817,-1.3552299778362882,24,3.1664560827271817,-1.3552299778362882,0.9738249010752332,0.0,0
3,origins_2024plus,STATE_FAST_R15,28,1.3101974221597303,0.42000462223683765,28,1.3101974221597303,0.4200046222368376,1.039682030648476,0.0,0
3,origins_2024plus,FOOD_NORM_SHIFT_R24,28,1.2601905039587218,-0.08703171541758856,28,1.260190503958722,-0.0870317154175885,1.0,2.220446049250313e-16,0
3,origins_2024plus,FOOD_ECM_R27,28,1.137268690110293,0.02334012707167996,28,1.137268690110293,0.0233401270716799,0.9024577526474876,0.0,0
3,origins_2024plus,FOOD_ECM_PPI_R27,28,1.192243155457068,-0.14124113727575338,28,1.192243155457068,-0.1412411372757533,0.9460816850403124,0.0,0
3,origins_2024plus,FOOD_ECM_A002_R27,28,1.2350089204499954,-0.0723614569859422,28,1.2350089204499954,-0.0723614569859421,0.9800176374686034,0.0,0
3,origins_2024plus,FOOD_ECM_A005_R27,28,1.2049395739227327,-0.052541608414707855,28,1.2049395739227329,-0.0525416084147077,0.9561566843565112,2.220446049250313e-16,0
3,origins_2024plus,FOOD_ECM_A010_R27,28,1.1712311509070295,-0.024946659110544073,28,1.1712311509070297,-0.024946659110544,0.9294080119059472,2.220446049250313e-16,0
3,origins_2024plus,FOOD_ECM_A015_R27,28,1.1520970495883744,-0.0035404877131659717,28,1.1520970495883742,-0.0035404877131659,0.9142245128567574,2.220446049250313e-16,0
6,full,STATE_FAST_R15,81,4.2630877292889755,-0.3874413652860323,81,4.263087729288976,-0.3874413652860322,1.040438125275928,8.881784197001252e-16,0
6,full,FOOD_NORM_SHIFT_R24,81,4.097396688686691,-0.9338281576079297,81,4.097396688686691,-0.9338281576079296,1.0,0.0,0
6,full,FOOD_ECM_R27,81,3.821386366064745,-1.136891214289302,81,3.821386366064745,-1.136891214289302,0.9326376371162604,0.0,0
6,full,FOOD_ECM_PPI_R27,81,3.7577552703648722,-1.1054363685666249,81,3.757755270364872,-1.1054363685666249,0.9171079970705298,4.440892098500626e-16,0
6,full,FOOD_ECM_A002_R27,81,4.038809636654603,-0.9706764583970383,81,4.038809636654603,-0.9706764583970384,0.985701396158724,0.0,0
6,full,FOOD_ECM_A005_R27,81,3.9706748950688096,-1.0167187695595254,81,3.9706748950688096,-1.0167187695595257,0.96907260798844,0.0,0
6,full,FOOD_ECM_A010_R27,81,3.8957851767558824,-1.0727252904699633,81,3.8957851767558815,-1.0727252904699631,0.9507952177324014,8.881784197001252e-16,0
6,full,FOOD_ECM_A015_R27,81,3.8530985973523943,-1.108205164817988,81,3.8530985973523935,-1.108205164817988,0.9403772419671186,8.881784197001252e-16,0
6,origins_2019_2021,STATE_FAST_R15,32,4.121690729621782,-1.4295467104674329,32,4.121690729621782,-1.4295467104674326,1.022815050405299,0.0,0
6,origins_2019_2021,FOOD_NORM_SHIFT_R24,32,4.029751740540508,-1.318677305925996,32,4.029751740540508,-1.318677305925996,1.0,0.0,0
6,origins_2019_2021,FOOD_ECM_R27,32,3.773006308786053,-1.566755122262381,32,3.773006308786053,-1.566755122262381,0.9362875312710908,0.0,0
6,origins_2019_2021,FOOD_ECM_PPI_R27,32,3.7242101396481386,-1.2787581070071083,32,3.724210139648138,-1.2787581070071083,0.924178554768392,4.440892098500626e-16,0
6,origins_2019_2021,FOOD_ECM_A002_R27,32,3.9752424241217335,-1.3636940910806286,32,3.9752424241217335,-1.3636940910806286,0.986473281748254,0.0,0
6,origins_2019_2021,FOOD_ECM_A005_R27,32,3.9118676168514157,-1.4199430031128781,32,3.911867616851416,-1.419943003112878,0.9707465543092536,4.440892098500626e-16,0
6,origins_2019_2021,FOOD_ECM_A010_R27,32,3.8422185352170466,-1.488364978213256,32,3.842218535217047,-1.488364978213256,0.9534628390536268,4.440892098500626e-16,0
6,origins_2019_2021,FOOD_ECM_A015_R27,32,3.8025131907830647,-1.5317099858970427,32,3.8025131907830647,-1.5317099858970429,0.9436097892901552,0.0,0
6,origins_2022_2023,STATE_FAST_R15,24,5.695128224909845,-0.5492746311940557,24,5.695128224909846,-0.5492746311940558,1.0407929075589546,8.881784197001252e-16,0
6,origins_2022_2023,FOOD_NORM_SHIFT_R24,24,5.471912984367883,-1.467420516573475,24,5.471912984367883,-1.4674205165734753,1.0,0.0,0
6,origins_2022_2023,FOOD_ECM_R27,24,5.175787990603757,-2.00276276402633,24,5.175787990603757,-2.0027627640263304,0.9458827297491584,0.0,0
6,origins_2022_2023,FOOD_ECM_PPI_R27,24,5.011840340151304,-2.06970895195086,24,5.011840340151304,-2.06970895195086,0.9159210598686582,0.0,0
