origin,loss_difference
2019-05,-4.90959674482924
2019-06,-1.1632848292204958
2019-07,-1.0114360560719864
2019-08,-0.00693123366498849
2019-09,1.3643793316335802
2019-10,-0.22729062022584412
2019-11,-0.3849624976345126
2019-12,-3.5541456119000134
2020-01,-3.1857921470672337
2020-02,-3.7576495671938104
2020-03,-4.6254258922593365
2020-04,-4.516506128814147
2020-05,-7.982097786563809
2020-06,-6.738334845852407
2020-07,-2.1691433089352197
2020-08,-0.5232645223446097
2020-09,-0.0868701541936697
2020-10,-1.2923375700486688
2020-11,-0.09393296856159127
2020-12,1.8473273112053568
2021-01,-1.1162705309251857
2021-02,4.022173869463465
2021-03,3.409790667708375
2021-04,-0.7733465177614463
2021-05,4.858496156712917
2021-06,-17.46311926265372
2021-07,-27.49175500396285
2021-08,-12.005101390921226
2021-09,1.9533491820277504
2021-10,-10.12451969691233
2021-11,-33.245491745921186
2021-12,-28.622196045746705
2022-01,-30.501631950210708
2022-02,-0.2065803970179445
2022-03,-4.072307735788343
2022-04,-14.313807811541778
2022-05,-4.601887766630934
2022-06,-1.9123546410927093
2022-07,-0.22473429854262328
2022-08,2.8806833008525548
2022-09,2.9830534116036
2022-10,0.007198054300667472
2022-11,-7.499253674114424
2022-12,-11.799150160774238
2023-01,-16.450028641823778
2023-02,-24.293195909342927
2023-03,-21.44808877699525
2023-04,-10.552007079092709
2023-05,-4.929682188801507
2023-06,-7.782757955385124
2023-07,-6.757371570815341
2023-08,-4.037698001991186
2023-09,-0.02761244227989751
2023-10,-0.5534792846550813
2023-11,1.0833553144088541
2023-12,0.18510647864323557
2024-01,-1.6765838441141003
2024-02,-5.611166953787625
2024-03,-8.75575576231503
2024-04,-3.235062657714659
2024-05,-4.112068300858095
2024-06,-7.505439582822108
2024-07,-5.6652211396733705
2024-08,-2.0676921583802947
2024-09,0.29823564526812935
2024-10,0.7845671929958568
2024-11,-0.2800171871851653
2024-12,-0.42638120260609935
2025-01,0.30816533997652495
2025-02,-1.5222236337241197
2025-03,1.2971794899763793
2025-04,-2.644668040273528
2025-05,-0.2069016671365027
2025-06,-3.734101434811244
2025-07,-4.897041159724388
