report_date,quarter,FOOD_ECM_R27,FOOD_NORM_SHIFT_R24,dsq
2024-08-08,2025Q1,-0.349784726189994,-0.5218118263622737,-0.1499382274557226
2024-08-08,2025Q2,-0.3404974853868139,-0.5119510427814407,-0.14615533265026093
2025-05-15,2026Q1,0.935432345413284,1.0078411856731635,-0.14071018269369062
2025-08-14,2026Q1,0.7996730625053015,0.8758200738648061,-0.12758379488794658
2025-08-14,2026Q2,0.550957181109514,0.6272352962172025,-0.08987030140454
2024-02-15,2024Q3,-0.842136698150248,-0.8922017192831799,-0.08682968952046022
2024-02-15,2024Q4,-0.7671971470684351,-0.8175819596058531,-0.07984879820300073
2024-08-08,2024Q4,-0.1467313661311324,-0.3054805254188553,-0.07178825760347146
2024-02-15,2024Q2,-0.8335647904318957,-0.8747404147369722,-0.07034053332643997
2025-05-15,2025Q4,0.4428189854254261,0.5153124648226601,-0.06945828254840161
2025-08-14,2025Q4,0.3919552446951133,0.4545305088810143,-0.05296906965962772
2026-02-12,2026Q2,-0.3611439686239854,-0.4086394616364701,-0.03656124353306195
2024-08-08,2024Q3,-0.1412268225959017,-0.2291102438839876,-0.032546488432045995
2025-11-13,2026Q1,0.307170222864475,0.345350855900195,-0.024913667856386004
2024-02-15,2024Q1,-0.6087971219116872,-0.6227325464924462,-0.01716188881301295
2025-05-15,2025Q3,0.0615696612840102,0.120992633298762,-0.010848394121940948
2025-02-13,2025Q3,-0.2079732888135117,-0.2257089874410205,-0.0076916581517423935
2025-05-15,2025Q2,0.1448757256803512,0.165167809082833,-0.006291429265814795
2025-08-14,2025Q3,0.0972837295331423,0.1184603046936052,-0.004568719756224202
2025-11-13,2026Q2,0.006640219431008,0.0531955260586598,-0.0027856714785656177
2025-02-13,2025Q1,-0.1818556494494929,-0.186809946587894,-0.0018264789074749627
2025-02-13,2025Q2,-0.0528178924709115,-0.0673944673927708,-0.0017522844700864765
2026-02-12,2026Q1,-0.0394793473329613,-0.0555619007619938,-0.0015285059504490486
2025-11-13,2025Q4,-0.0006965725680565,0.0122892605847759,-0.00015054071237795765
2024-11-14,2024Q4,-0.0098920206588593,0.0090679293036579,1.5624730859161532e-05
2025-02-13,2025Q4,0.053178733516499,0.0354437827460865,0.0015717159630670354
2024-05-09,2024Q2,0.0832761720844947,-0.0401266540557063,0.005324772471340044
2024-11-14,2025Q2,-0.1126916085189648,-0.0451339154334604,0.010662328308236865
2026-05-14,2026Q2,0.3101591417615918,0.2844130307796511,0.015307921141020461
2024-11-14,2025Q1,-0.2160464527199921,-0.1604297808112011,0.020938355161761752
2024-11-14,2025Q3,-0.2555529971345969,-0.1880114296641584,0.029959036660114506
2024-05-09,2024Q3,0.1875128985977445,-0.0332266147688833,0.034057079211528236
2024-05-09,2025Q1,0.2542286940960485,0.0131731648350252,0.06445869663001144
2024-05-09,2024Q4,0.321091259786006,0.0795219193436258,0.09677586145487026
