h,sample,n,FOOD_NORM_SHIFT_R24,FOOD_ECM_R27,FOOD_ECM_PPI_R27
6,full,81,2.2727292490959163,2.244603126926088,2.2344810130284865
6,origins_2019_2021,32,2.760526141640275,2.72137515189771,2.7116023163096092
6,origins_2022_2023,24,2.6496865736313446,2.627993197413029,2.60854291633938
6,origins_2024plus,25,0.49123828735435177,0.4629079450005251,0.48283503572316033
12,full,75,4.800764598677102,4.768932868864873,4.761036939497264
12,origins_2019_2021,32,6.63451091615438,6.614112413973146,6.606533080852214
12,origins_2022_2023,24,3.603371490550593,3.521152805468239,3.5066061698137774
12,origins_2024plus,19,0.6645998174267459,0.659033837640918,0.6596902132403363
