clock,report_date,cutoff_date,quarter,quarters_ahead,origin,as_of_utc,model,forecast,realised,error,model_cnb_deviation,realised_cnb_error,abs_error_gain_vs_cnb,squared_error_gain_vs_cnb,material_gain,material_loss,deviation_direction_correct,mean,size
report,2024-02-15,2024-01-26,2024Q1,1,2024-01,2024-02-14 22:59:00+00:00,FOOD_NORM_SHIFT_R24,1.4630265474099076,2.085759093902354,-0.6227325464924462,-1.4004558894955623,-0.7777233430031161,0.1549907965106698,0.2170577737909758,True,False,True,1.4630265474099076,3
report,2024-02-15,2024-01-26,2024Q1,1,2024-01,2024-02-14 22:59:00+00:00,FOOD_ECM_R27,1.4769619719906666,2.085759093902354,-0.6087971219116872,-1.3865204649148033,-0.7777233430031161,0.1689262210914288,0.2342196626039887,True,False,True,1.4769619719906666,3
report,2024-02-15,2024-01-26,2024Q2,2,2024-01,2024-02-14 22:59:00+00:00,FOOD_NORM_SHIFT_R24,1.5872339216466431,2.4619743363836157,-0.8747404147369722,-1.061322238353357,-0.1865818236163847,-0.6881585911205874,-0.7303580162701944,False,True,True,1.5872339216466431,3
report,2024-02-15,2024-01-26,2024Q2,2,2024-01,2024-02-14 22:59:00+00:00,FOOD_ECM_R27,1.6284095459517196,2.4619743363836157,-0.8335647904318957,-1.0201466140482804,-0.1865818236163847,-0.6469829668155109,-0.6600174829437544,False,True,True,1.6284095459517196,3
report,2024-02-15,2024-01-26,2024Q3,3,2024-01,2024-02-14 22:59:00+00:00,FOOD_NORM_SHIFT_R24,1.4182599073983344,2.3104616266815143,-0.8922017192831799,-0.8335618326016656,0.0586398866815143,-0.8335618326016656,-0.7925852715818413,False,True,False,1.4182599073983344,3
report,2024-02-15,2024-01-26,2024Q3,3,2024-01,2024-02-14 22:59:00+00:00,FOOD_ECM_R27,1.4683249285312665,2.3104616266815143,-0.842136698150248,-0.7834968114687337,0.0586398866815143,-0.7834968114687337,-0.7057555820613811,False,True,False,1.4683249285312663,3
report,2024-02-15,2024-01-26,2024Q4,4,2024-01,2024-02-14 22:59:00+00:00,FOOD_NORM_SHIFT_R24,2.066071234396932,2.8836531940027847,-0.8175819596058531,-0.6499379756030685,0.1676439840027845,-0.6499379756030685,-0.6403357553006209,False,True,False,2.0660712343969316,3
report,2024-02-15,2024-01-26,2024Q4,4,2024-01,2024-02-14 22:59:00+00:00,FOOD_ECM_R27,2.1164560469343496,2.8836531940027847,-0.7671971470684351,-0.5995531630656505,0.1676439840027845,-0.5995531630656505,-0.5604869570976202,False,True,False,2.1164560469343496,3
report,2024-05-09,2024-04-26,2024Q2,1,2024-03,2024-04-09 21:59:00+00:00,FOOD_NORM_SHIFT_R24,2.421847682327909,2.4619743363836157,-0.0401266540557063,-0.0174599626560012,0.0226666913997051,-0.0174599626560012,-0.0010963694666968,False,False,False,2.421847682327909,3
report,2024-05-09,2024-04-26,2024Q2,1,2024-03,2024-04-09 21:59:00+00:00,FOOD_ECM_R27,2.54525050846811,2.4619743363836157,0.0832761720844947,0.1059428634841999,0.0226666913997051,-0.0606094806847896,-0.0064211419380369,False,False,True,2.54525050846811,3
report,2024-05-09,2024-04-26,2024Q3,2,2024-03,2024-04-09 21:59:00+00:00,FOOD_NORM_SHIFT_R24,2.277235011912631,2.3104616266815143,-0.0332266147688833,0.163140031912631,0.1963666466815143,0.163140031912631,0.0374558519999429,True,False,True,2.2772350119126306,3
