origin,group,clock,panel_clock,z,z_change3,z_change12,unemployment_change3,ulc_growth12,ip_growth3,cost_26_mean3,cost_45_mean3,cost_47_mean3,fx3,cost_62_mean3
2006-01,services,2006-02-09 00:00:00,2006-02-09 00:00:00,2.1761491781512694,-0.3906254967065097,-3.933360757829819,0.10000000000000053,0.0,2.0129528307414826,,,,,
2006-01,goods,2006-02-09 00:00:00,2006-02-09 00:00:00,-2.326862693935431,0.1024065629690254,0.5130847582343665,,,,,-0.0012554942651590295,-0.002383800385875231,,0.06906563310870162
2006-02,services,2006-03-09 00:00:00,2006-03-09 00:00:00,2.566774674857779,0.19512201312617483,-2.502536756694033,0.0,0.0,2.685904198444075,,,,,
2006-02,goods,2006-03-09 00:00:00,2006-03-09 00:00:00,-2.1223636451626673,0.20449904877276381,1.336780831799239,,,,,0.00041485174406830083,-0.0031746271704185722,,0.06684504574053059
2006-03,services,2006-04-09 00:00:00,2006-04-09 00:00:00,2.46926125903715,0.19531256208820746,-2.600050172514662,-0.5,-1.5438903151651304,3.289419722521862,,,,,
2006-03,goods,2006-04-09 00:00:00,2006-04-09 00:00:00,-2.1223636451626673,0.20449904877276381,1.5440347919964768,,,,,0.0016625138370131391,-0.0015873045867481987,,0.044870250291037785
2006-04,services,2006-05-09 00:00:00,2006-05-09 00:00:00,2.3716526617316043,0.19550348358033487,-2.5073637552115957,-0.10000000000000053,-1.5438903151651304,0.23871010578593405,,,,,
2006-04,goods,2006-05-09 00:00:00,2006-05-09 00:00:00,-2.1223636451626673,0.20449904877276381,1.751719186480389,,,,,0.004166720921410534,0.0007964957991270319,,0.07785406244860571
2006-05,services,2006-06-09 00:00:00,2006-06-09 00:00:00,2.3716526617316043,-0.19512201312617483,-2.5073637552115957,-0.6000000000000005,-1.5438903151651304,1.277015070985509,,,,,
2006-05,goods,2006-06-09 00:00:00,2006-06-09 00:00:00,-2.1223636451626673,0.0,1.6478230732384826,,,,,0.0016542631140431159,0.002383800385875231,,0.11693020959317628
2006-06,services,2006-07-09 00:00:00,2006-07-09 00:00:00,2.46926125903715,0.0,-0.9708814126960901,-0.2999999999999998,-0.14566644964642667,-0.9389230504757793,,,,,
2006-06,goods,2006-07-09 00:00:00,2006-07-09 00:00:00,-2.1223636451626673,0.0,1.336780831799239,,,,,0.0020665492931752163,0.002772842291697053,,0.07253240690974512
2006-07,services,2006-08-09 00:00:00,2006-08-09 00:00:00,2.1761491781512694,-0.19550348358033487,-0.8767713253310179,-0.39999999999999947,-0.14566644964642667,5.144836192189617,,,,,
2006-07,goods,2006-08-09 00:00:00,2006-08-09 00:00:00,-2.942881069081214,-0.8205174239185467,0.20618564005586792,,,,,0.002475258898949839,0.00356086472332399,,0.042731286888602504
2006-08,services,2006-09-09 00:00:00,2006-09-09 00:00:00,2.3716526617316043,0.0,-0.19512201312617483,-0.09999999999999964,-0.14566644964642667,2.232784925699975,,,,,
2006-08,goods,2006-09-09 00:00:00,2006-09-09 00:00:00,-2.7371196796131994,-0.6147560344505321,-0.10272214565300386,,,,,0.003284098814337,0.004717059848747596,,-0.004770558202332076
2006-09,services,2006-10-09 00:00:00,2006-10-09 00:00:00,2.566774674857779,0.09751341582062922,0.0,-0.2999999999999998,0.7423939071282266,3.5109440302232016,,,,,
2006-09,goods,2006-10-09 00:00:00,2006-10-09 00:00:00,-2.6343975339601955,-0.5120338887975282,0.0,,,,,0.0036878065147517938,0.004700430413535332,,0.031745562400280036
2006-10,services,2006-11-09 00:00:00,2006-11-09 00:00:00,2.46926125903715,0.2931120808858805,-0.09751341582062922,-0.20000000000000018,0.7423939071282266,-0.7504143936728316,,,,,
2006-10,goods,2006-11-09 00:00:00,2006-11-09 00:00:00,-2.4292692569044565,0.5136118121767574,0.0,,,,,0.002864760829111468,0.003133591428235327,,0.021603090286865207
2006-11,services,2006-12-09 00:00:00,2006-12-09 00:00:00,2.3716526617316043,0.0,0.0,-0.5,0.7423939071282266,2.3400602921241265,,,,,
2006-11,goods,2006-12-09 00:00:00,2006-12-09 00:00:00,-2.4292692569044565,0.30785042270874285,-0.1024065629690254,,,,,0.00040824663196540695,0.0,,0.021499612970635813
2006-12,services,2007-01-09 00:00:00,2007-01-09 00:00:00,2.3716526617316043,-0.19512201312617483,0.09770396478266186,-0.20000000000000018,0.5970166986503975,1.2627293851709733,,,,,
2006-12,goods,2007-01-09 00:00:00,2007-01-09 00:00:00,-2.326862693935431,0.3075348400247644,0.0,,,,,-0.0008159938795468946,-0.0011689082697365905,,0.02239309361840025
2007-01,services,2007-02-09 00:00:00,2007-02-09 00:00:00,2.46926125903715,0.0,0.2931120808858805,-0.6000000000000005,0.5970166986503975,3.1171148947141516,,,,,
2007-01,goods,2007-02-09 00:00:00,2007-02-09 00:00:00,-2.1223636451626673,0.3069056117417892,0.20449904877276381,,,,,-0.0008159938795468946,-0.0003900917160635231,,-0.019435988201408943
2007-02,services,2007-03-09 00:00:00,2007-03-09 00:00:00,2.46926125903715,0.09760859730554561,-0.09751341582062922,-0.6000000000000005,0.5970166986503975,3.1799935258603917,,,,,
