origin,row,source,source_period,available_from,cutoff,source_was_later_than_legacy_clock,transform,raw_reconstructed,saved,matches
2006-01,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2005-12,2006-02-01 00:00:00,2006-02-09 00:00:00,False,T0,7.9,7.9,True
2006-01,12,czso:PRU01C:sa_calendar_adjusted_level,2005-11,2006-01-10 00:00:00,2006-02-09 00:00:00,False,T0,73.70983881,73.70983881,True
2006-01,17,bbg__nominal_ulc_quarterly__as_reported,2005Q3,2005-12-14 00:00:00,2006-02-09 00:00:00,False,T0,66.8,66.8,True
2006-01,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2006-02-09 00:00:00,False,T2,,,True
2006-01,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2005-12,2006-01-26 00:00:00,2006-02-09 00:00:00,False,T2,-0.006269613013595077,-0.006269613013595077,True
2006-01,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2005-12,2006-01-26 00:00:00,2006-02-09 00:00:00,False,T2,-0.007151401157625692,-0.007151401157625692,True
2006-01,62,bbg__industrial_metals_spot_index__month_mean,2006-01,2006-02-01 00:00:00,2006-02-09 00:00:00,False,T2,0.06737645336626841,0.06737645336626841,True
2006-02,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2006-01,2006-03-04 00:00:00,2006-03-09 00:00:00,False,T0,7.9,7.9,True
2006-02,12,czso:PRU01C:sa_calendar_adjusted_level,2005-12,2006-02-10 00:00:00,2006-03-09 00:00:00,False,T0,74.33407242,74.33407242,True
2006-02,17,bbg__nominal_ulc_quarterly__as_reported,2005Q3,2005-12-14 00:00:00,2006-03-09 00:00:00,False,T0,66.8,66.8,True
2006-02,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2006-03-09 00:00:00,False,T2,,,True
2006-02,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2006-01,2006-02-26 00:00:00,2006-03-09 00:00:00,False,T2,0.011257154524634494,0.011257154524634494,True
2006-02,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2006-01,2006-02-26 00:00:00,2006-03-09 00:00:00,False,T2,0.0,0.0,True
2006-02,62,bbg__industrial_metals_spot_index__month_mean,2006-02,2006-03-01 00:00:00,2006-03-09 00:00:00,False,T2,0.03763228850834821,0.03763228850834821,True
2006-03,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2006-02,2006-04-01 00:00:00,2006-04-09 00:00:00,False,T0,7.3,7.3,True
2006-03,12,czso:PRU01C:sa_calendar_adjusted_level,2006-01,2006-03-13 00:00:00,2006-04-09 00:00:00,False,T0,75.01814407,75.01814407,True
2006-03,17,bbg__nominal_ulc_quarterly__as_reported,2005Q4,2006-03-16 00:00:00,2006-04-09 00:00:00,False,T0,70.7,70.7,True
2006-03,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2006-04-09 00:00:00,False,T2,,,True
2006-03,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2006-02,2006-03-26 00:00:00,2006-04-09 00:00:00,False,T2,0.0,0.0,True
2006-03,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2006-02,2006-03-26 00:00:00,2006-04-09 00:00:00,False,T2,0.002389487397381096,0.002389487397381096,True
2006-03,62,bbg__industrial_metals_spot_index__month_mean,2006-03,2006-04-01 00:00:00,2006-04-09 00:00:00,False,T2,0.029602008998496743,0.029602008998496743,True
2006-04,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2006-03,2006-05-02 00:00:00,2006-05-09 00:00:00,False,T0,7.8,7.8,True
2006-04,12,czso:PRU01C:sa_calendar_adjusted_level,2006-02,2006-04-10 00:00:00,2006-05-09 00:00:00,False,T0,73.88600182,73.88600182,True
2006-04,17,bbg__nominal_ulc_quarterly__as_reported,2005Q4,2006-03-16 00:00:00,2006-05-09 00:00:00,False,T0,70.7,70.7,True
2006-04,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2006-05-09 00:00:00,False,T2,,,True
2006-04,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2006-03,2006-04-26 00:00:00,2006-05-09 00:00:00,False,T2,0.0012430082395971098,0.0012430082395971098,True
2006-04,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2006-03,2006-04-26 00:00:00,2006-05-09 00:00:00,False,T2,0.0,0.0,True
2006-04,62,bbg__industrial_metals_spot_index__month_mean,2006-04,2006-05-01 00:00:00,2006-05-09 00:00:00,False,T2,0.16632788983897218,0.16632788983897218,True
2006-05,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2006-04,2006-06-01 00:00:00,2006-06-09 00:00:00,False,T0,7.3,7.3,True
2006-05,12,czso:PRU01C:sa_calendar_adjusted_level,2006-03,2006-05-11 00:00:00,2006-06-09 00:00:00,False,T0,75.28941669,75.28941669,True
2006-05,17,bbg__nominal_ulc_quarterly__as_reported,2005Q4,2006-03-16 00:00:00,2006-06-09 00:00:00,False,T0,70.7,70.7,True
2006-05,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2006-06-09 00:00:00,False,T2,,,True
2006-05,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2006-04,2006-05-26 00:00:00,2006-06-09 00:00:00,False,T2,0.003719781102532238,0.003719781102532238,True
2006-05,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2006-04,2006-05-26 00:00:00,2006-06-09 00:00:00,False,T2,0.004761913760244596,0.004761913760244596,True
2006-05,62,bbg__industrial_metals_spot_index__month_mean,2006-05,2006-06-01 00:00:00,2006-06-09 00:00:00,False,T2,0.1548607299420599,0.1548607299420599,True
2006-06,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2006-05,2006-07-02 00:00:00,2006-07-09 00:00:00,False,T0,7.0,7.0,True
2006-06,12,czso:PRU01C:sa_calendar_adjusted_level,2006-04,2006-06-10 00:00:00,2006-07-09 00:00:00,False,T0,74.31707781,74.31707781,True
2006-06,17,bbg__nominal_ulc_quarterly__as_reported,2006Q1,2006-06-14 00:00:00,2006-07-09 00:00:00,False,T0,68.6,68.6,True
2006-06,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2006-07-09 00:00:00,False,T2,,,True
2006-06,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2006-05,2006-06-26 00:00:00,2006-07-09 00:00:00,False,T2,0.0012368585373963015,0.0012368585373963015,True
2006-06,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2006-05,2006-06-26 00:00:00,2006-07-09 00:00:00,False,T2,0.003556613114846563,0.003556613114846563,True
2006-06,62,bbg__industrial_metals_spot_index__month_mean,2006-06,2006-07-01 00:00:00,2006-07-09 00:00:00,False,T2,-0.1035913990517967,-0.1035913990517967,True
2006-07,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2006-06,2006-08-01 00:00:00,2006-08-09 00:00:00,False,T0,7.4,7.4,True
2006-07,12,czso:PRU01C:sa_calendar_adjusted_level,2006-05,2006-07-11 00:00:00,2006-08-09 00:00:00,False,T0,77.78680003,77.78680003,True
2006-07,17,bbg__nominal_ulc_quarterly__as_reported,2006Q1,2006-06-14 00:00:00,2006-08-09 00:00:00,False,T0,68.6,68.6,True
2006-07,26,czso:CEN0303:sitc_total:mm_pct,None,NaT,2006-08-09 00:00:00,False,T2,,,True
2006-07,45,eurostat:sts_inppd_m:PRC_PRR_DOM:B-E36:I21:CZ,2006-06,2006-07-26 00:00:00,2006-08-09 00:00:00,False,T2,0.002469137056920978,0.002469137056920978,True
2006-07,47,eurostat:sts_inppd_m:PRC_PRR_DOM:C:I21:CZ,2006-06,2006-07-26 00:00:00,2006-08-09 00:00:00,False,T2,0.0023640672948808117,0.0023640672948808117,True
2006-07,62,bbg__industrial_metals_spot_index__month_mean,2006-07,2006-08-01 00:00:00,2006-08-09 00:00:00,False,T2,0.07692452977554431,0.07692452977554431,True
2006-08,11,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,2006-07,2006-09-01 00:00:00,2006-09-09 00:00:00,False,T0,7.2,7.2,True
2006-08,12,czso:PRU01C:sa_calendar_adjusted_level,2006-06,2006-08-10 00:00:00,2006-09-09 00:00:00,False,T0,76.98937502,76.98937502,True
2006-08,17,bbg__nominal_ulc_quarterly__as_reported,2006Q1,2006-06-14 00:00:00,2006-09-09 00:00:00,False,T0,68.6,68.6,True
