a6_number,column,ticker,statistic,period,value,available_from_assumed,candidate_lane_status,validation_verdicts
1,bbg__production_observed_past3m__as_reported,EUI6CZ Index,as_reported,2000-01,-4.1,2000-02-01,identical_mirror,identical_SA
1,bbg__production_observed_past3m__as_reported,EUI6CZ Index,as_reported,2000-02,23.7,2000-03-01,identical_mirror,identical_SA
1,bbg__production_observed_past3m__as_reported,EUI6CZ Index,as_reported,2000-03,20.9,2000-04-01,identical_mirror,identical_SA
1,bbg__production_observed_past3m__as_reported,EUI6CZ Index,as_reported,2000-04,28.7,2000-05-01,identical_mirror,identical_SA
1,bbg__production_observed_past3m__as_reported,EUI6CZ Index,as_reported,2000-05,34.5,2000-06-01,identical_mirror,identical_SA
1,bbg__production_observed_past3m__as_reported,EUI6CZ Index,as_reported,2000-06,26.9,2000-07-01,identical_mirror,identical_SA
1,bbg__production_observed_past3m__as_reported,EUI6CZ Index,as_reported,2000-07,18.1,2000-08-01,identical_mirror,identical_SA
1,bbg__production_observed_past3m__as_reported,EUI6CZ Index,as_reported,2000-08,14.0,2000-09-01,identical_mirror,identical_SA
1,bbg__production_observed_past3m__as_reported,EUI6CZ Index,as_reported,2000-09,28.1,2000-10-01,identical_mirror,identical_SA
1,bbg__production_observed_past3m__as_reported,EUI6CZ Index,as_reported,2000-10,30.9,2000-11-01,identical_mirror,identical_SA
1,bbg__production_observed_past3m__as_reported,EUI6CZ Index,as_reported,2000-11,32.7,2000-12-01,identical_mirror,identical_SA
1,bbg__production_observed_past3m__as_reported,EUI6CZ Index,as_reported,2000-12,5.0,2001-01-01,identical_mirror,identical_SA
1,bbg__production_observed_past3m__as_reported,EUI6CZ Index,as_reported,2001-01,28.1,2001-02-01,identical_mirror,identical_SA
1,bbg__production_observed_past3m__as_reported,EUI6CZ Index,as_reported,2001-02,-3.2,2001-03-01,identical_mirror,identical_SA
1,bbg__production_observed_past3m__as_reported,EUI6CZ Index,as_reported,2001-03,26.6,2001-04-01,identical_mirror,identical_SA
1,bbg__production_observed_past3m__as_reported,EUI6CZ Index,as_reported,2001-04,10.4,2001-05-01,identical_mirror,identical_SA
