a6_number,component,source_id,source_file,period,value,value_kind,availability_rule,available_from_assumed,vintage
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1997-09,28.2,balance,ec_bcs_next_month,1997-10-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1997-10,26.5,balance,ec_bcs_next_month,1997-11-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1997-11,1.8,balance,ec_bcs_next_month,1997-12-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1997-12,9.6,balance,ec_bcs_next_month,1998-01-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1998-01,13.1,balance,ec_bcs_next_month,1998-02-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1998-02,2.7,balance,ec_bcs_next_month,1998-03-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1998-03,21.6,balance,ec_bcs_next_month,1998-04-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1998-04,8.9,balance,ec_bcs_next_month,1998-05-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1998-05,1.4,balance,ec_bcs_next_month,1998-06-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1998-06,7.4,balance,ec_bcs_next_month,1998-07-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1998-07,-0.4,balance,ec_bcs_next_month,1998-08-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1998-08,1.9,balance,ec_bcs_next_month,1998-09-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1998-09,-1.8,balance,ec_bcs_next_month,1998-10-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1998-10,-21.3,balance,ec_bcs_next_month,1998-11-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1998-11,-11.5,balance,ec_bcs_next_month,1998-12-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1998-12,-7.1,balance,ec_bcs_next_month,1999-01-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1999-01,7.3,balance,ec_bcs_next_month,1999-02-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1999-02,-0.7,balance,ec_bcs_next_month,1999-03-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1999-03,2.7,balance,ec_bcs_next_month,1999-04-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1999-04,-6.9,balance,ec_bcs_next_month,1999-05-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1999-05,15.9,balance,ec_bcs_next_month,1999-06-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,1999-06,16.3,balance,ec_bcs_next_month,1999-07-01,current
