period,a6_11
2005-05,0.0
2005-06,0.8414709848078965
2005-07,0.9092974268256817
2005-08,0.1411200080598672
2005-09,-0.7568024953079282
2005-10,-0.9589242746631385
2005-11,-0.27941549819892586
2005-12,0.6569865987187891
2006-01,0.9893582466233818
2006-02,0.4121184852417566
2006-03,-0.5440211108893698
2006-04,-0.9999902065507035
2006-05,-0.5365729180004349
2006-06,0.4201670368266409
2006-07,0.9906073556948704
2006-08,0.6502878401571168
2006-09,-0.2879033166650653
2006-10,-0.9613974918795568
2006-11,-0.7509872467716762
2006-12,0.14987720966295234
2007-01,0.9129452507276277
2007-02,0.8366556385360561
2007-03,-0.008851309290403876
2007-04,-0.8462204041751706
2007-05,-0.9055783620066238
2007-06,-0.13235175009777303
2007-07,0.7625584504796027
2007-08,0.956375928404503
2007-09,0.27090578830786904
2007-10,-0.6636338842129675
2007-11,-0.9880316240928618
2007-12,-0.404037645323065
2008-01,0.5514266812416906
2008-02,0.9999118601072672
2008-03,0.5290826861200238
2008-04,-0.428182669496151
2008-05,-0.9917788534431158
2008-06,-0.6435381333569995
2008-07,0.2963685787093853
2008-08,0.9637953862840878
2008-09,0.7451131604793488
2008-10,-0.158622668804709
2008-11,-0.9165215479156338
2008-12,-0.8317747426285983
2009-01,0.017701925105413577
2009-02,0.8509035245341184
2009-03,0.9017883476488092
2009-04,0.123573122745224
2009-05,-0.7682546613236668
2009-06,-0.9537526527594719
2009-07,-0.26237485370392877
2009-08,0.6702291758433747
2009-09,0.9866275920404853
2009-10,0.39592515018183416
2009-11,-0.5587890488516163
2009-12,-0.9997551733586199
2010-01,-0.5215510020869119
2010-02,0.43616475524782494
2010-03,0.9928726480845371
2010-04,0.6367380071391379
2010-05,-0.3048106211022167
2010-06,-0.9661177700083929
2010-07,-0.7391806966492228
2010-08,0.16735570030280691
2010-09,0.9200260381967907
2010-10,0.8268286794901034
2010-11,-0.026551154023966794
2010-12,-0.8555199789753223
2011-01,-0.8979276806892913
