sample,model,h,n,headline_mse_gain,annual_core_mse_gain,cross_term_gain,reference_annual_core_rmse,candidate_annual_core_rmse,other_rmse
full,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,1,52,0.009645724755992395,0.0022753802999675938,0.007370344456024806,0.20169598449244483,0.1959742071304511,0.9828059351951319
full,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,2,50,0.028633130818795535,0.008772700912374677,0.01986042990642085,0.33139677757224756,0.31788539329905524,1.3280125477211484
full,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,3,48,0.21156054373091324,0.13600746225183172,0.07555308147908175,0.5187666813519273,0.3648443605553747,1.3493080805098854
full,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,4,46,0.1227376089455774,0.37694751703209073,-0.2542099080865133,0.7401495220963705,0.4133688401747222,1.4569789027439868
full,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,5,44,-0.41877681127267846,0.6205596611678984,-1.0393364724405767,0.9689764605817502,0.5642302012420444,1.4384258424432694
full,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,6,42,-1.0830219292710306,0.7963902154316956,-1.8794121447027259,1.1277080921649045,0.6894456655186928,1.401893295985474
full,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,7,40,-0.7413578860214406,0.7962923570605628,-1.5376502430820034,1.2351027942046289,0.8539242092782702,1.292779735022536
full,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,8,38,-0.5923709270990192,0.5833710191277224,-1.1757419462267418,1.2545585239884383,0.9952618102712103,1.2427816542875716
full,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,9,36,-1.2325875718653392,-0.25865528619372824,-0.9739322856716109,1.0452160711208702,1.1623820032687517,1.229739572114675
full,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,10,34,-1.5716344993773164,-0.6614857915884443,-0.9101487077888722,0.9909076424829134,1.2819452981775352,1.0884137500165014
full,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,11,32,-1.8718493830825091,-0.931146793491181,-0.9407025895913282,1.0548605750765676,1.4296424820010238,0.9629763406684704
full,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,12,30,-3.239942829757461,-1.7086615323272096,-1.5312812974302512,1.1386635471865416,1.7335559425696787,0.9574180733249891
full,CORE_AGG_CUMULATIVE_LABOUR_R13,1,52,0.0015419947281138037,-0.00012965242284725966,0.0016716471509611193,0.20169598449244483,0.20201713438028912,0.9828059351951319
full,CORE_AGG_CUMULATIVE_LABOUR_R13,2,50,0.004610901788269055,-0.0027105186772833556,0.007321420465552415,0.33139677757224756,0.3354613880352746,1.3280125477211484
full,CORE_AGG_CUMULATIVE_LABOUR_R13,3,48,0.15515139071950815,0.10425793097081475,0.050893459748693415,0.5187666813519273,0.406030711535565,1.3493080805098854
full,CORE_AGG_CUMULATIVE_LABOUR_R13,4,46,0.026976610498707306,0.3169912837527288,-0.2900146732540215,0.7401495220963705,0.4804477404533785,1.4569789027439868
full,CORE_AGG_CUMULATIVE_LABOUR_R13,5,44,-0.6516533599518701,0.5170745218334345,-1.1687278817853044,0.9689764605817502,0.6494927708051121,1.4384258424432694
full,CORE_AGG_CUMULATIVE_LABOUR_R13,6,42,-1.473363349360036,0.6187861416241743,-2.09214949098421,1.1277080921649045,0.8080466567655822,1.401893295985474
full,CORE_AGG_CUMULATIVE_LABOUR_R13,7,40,-1.2877517174900805,0.5091829493040854,-1.7969346667941661,1.2351027942046289,1.0081150544198794,1.292779735022536
full,CORE_AGG_CUMULATIVE_LABOUR_R13,8,38,-1.4012434320975868,0.12901863312062653,-1.5302620652182133,1.2545585239884383,1.2020392909515987,1.2427816542875716
full,CORE_AGG_CUMULATIVE_LABOUR_R13,9,36,-2.3669660356174407,-0.9677234766474514,-1.3992425589699893,1.0452160711208702,1.4353397200582165,1.229739572114675
full,CORE_AGG_CUMULATIVE_LABOUR_R13,10,34,-3.0687798849676935,-1.6698676403590667,-1.3989122446086277,0.9909076424829134,1.6284242679013698,1.0884137500165014
full,CORE_AGG_CUMULATIVE_LABOUR_R13,11,32,-3.772121490704712,-2.3515374245096603,-1.4205840661950513,1.0548605750765676,1.8612544848463164,0.9629763406684704
full,CORE_AGG_CUMULATIVE_LABOUR_R13,12,30,-5.9391556690258,-3.7374874217240137,-2.201668247301787,1.1386635471865416,2.2436671088678577,0.9574180733249891
full,CORE_AGG_CUMULATIVE_R13,1,76,-0.006004911516602455,-0.010669349082298402,0.004664437565695962,0.21913552029091224,0.24225962382425018,0.8718061589793248
full,CORE_AGG_CUMULATIVE_R13,2,74,-0.10781572948449968,-0.04135361469515127,-0.06646211478934849,0.41714165512207757,0.46406979554064665,1.2101347055586948
full,CORE_AGG_CUMULATIVE_R13,3,72,-0.4485147342930829,-0.0993191442405386,-0.34919559005254425,0.6197487686596119,0.6952752552015956,1.377896212365197
full,CORE_AGG_CUMULATIVE_R13,4,70,-1.040322282295064,-0.05369582427655466,-0.9866264580185095,0.8844320926031576,0.9142843926825804,1.6072439899924744
full,CORE_AGG_CUMULATIVE_R13,5,68,-1.6442541435943532,-0.07981836149239807,-1.5644357821019543,1.153825301770827,1.187910429493292,1.86044474752968
full,CORE_AGG_CUMULATIVE_R13,6,66,-2.6405535650002374,0.15748290605748963,-2.798036471057727,1.5330224951042208,1.4807684033764639,2.0728725118044444
