sample,model,h,n,headline_mse_gain,annual_core_mse_gain,cross_term_gain,reference_annual_core_rmse,candidate_annual_core_rmse,other_rmse
full,CORE_AGG_CUMULATIVE_R13,7,64,-3.0788195877960374,0.6258435672105374,-3.7046631550065747,1.9428201873218167,1.7744595552039617,2.321598259917785
full,CORE_AGG_CUMULATIVE_R13,8,62,-5.171295697683435,0.9233497705508728,-6.09464546823431,2.292860886389249,2.081792802798304,2.5728730663665234
full,CORE_AGG_CUMULATIVE_R13,9,60,-6.15494795113077,1.4062077495054734,-7.561155700636243,2.69149058610183,2.4161775236040293,2.912310585907411
full,CORE_AGG_CUMULATIVE_R13,10,58,-5.988985375078292,2.1152364492451703,-8.104221824323464,3.0126633433246943,2.6383525107474086,3.2677917674969144
full,CORE_AGG_CUMULATIVE_R13,11,56,-6.100917865851541,3.196145559124003,-9.297063424975546,3.338122792766538,2.819027885719378,3.6408086635913675
full,CORE_AGG_CUMULATIVE_R13,12,54,-8.429744598689277,3.599501340838349,-12.029245939527627,3.6823770489180934,3.1560100426900393,3.8559242017091684
full,CORE_AGG_MONTHLY_R13,1,76,-0.006004911516602455,-0.010669349082298402,0.004664437565695962,0.21913552029091224,0.24225962382425018,0.8718061589793248
full,CORE_AGG_MONTHLY_R13,2,74,-0.10909508397173252,-0.03749143820846372,-0.07160364576326884,0.41714165512207757,0.45988976792971814,1.2101347055586948
full,CORE_AGG_MONTHLY_R13,3,72,-0.4538088391093758,-0.08298070822778231,-0.37082813088159355,0.6197487686596119,0.683424644333878,1.377896212365197
full,CORE_AGG_MONTHLY_R13,4,70,-0.9858723764017098,0.0010097577044238908,-0.9868821341061338,0.8844320926031576,0.8838610573625112,1.6072439899924744
full,CORE_AGG_MONTHLY_R13,5,68,-1.3511641358589739,0.10619169169575168,-1.4573558275547258,1.153825301770827,1.1068519030614656,1.86044474752968
full,CORE_AGG_MONTHLY_R13,6,66,-2.0603677962547406,0.41214628406190407,-2.4725140803166448,1.5330224951042208,1.392124881766599,2.0728725118044444
full,CORE_AGG_MONTHLY_R13,7,64,-2.1557530640963254,0.98659525979277,-3.1423483238890944,1.9428201873218167,1.6697170480271226,2.321598259917785
full,CORE_AGG_MONTHLY_R13,8,62,-3.8670973378205518,1.4017442360413748,-5.268841573861928,2.292860886389249,1.9635342646086715,2.5728730663665234
full,CORE_AGG_MONTHLY_R13,9,60,-4.347246994871057,2.0385921650165755,-6.385839159887633,2.69149058610183,2.2815629314262185,2.912310585907411
full,CORE_AGG_MONTHLY_R13,10,58,-3.9139901714057985,2.710729199666134,-6.624719371071934,3.0126633433246943,2.5229766587398683,3.2677917674969144
full,CORE_AGG_MONTHLY_R13,11,56,-3.7085784915652686,3.723599011820006,-7.432177503385276,3.338122792766538,2.7238694476364804,3.6408086635913675
full,CORE_AGG_MONTHLY_R13,12,54,-4.09355823312302,4.708841016148698,-8.802399249271717,3.6823770489180934,2.9750730603213817,3.8559242017091684
full,CORE_SPLIT_CUMULATIVE_R13,1,76,0.016125451087620517,-0.0003477345810808656,0.0164731856687014,0.21913552029091224,0.21992751268145072,0.8718061589793248
full,CORE_SPLIT_CUMULATIVE_R13,2,74,0.01550168960220406,-0.003399286267020838,0.018900975869224925,0.41714165512207757,0.42119644669086076,1.2101347055586948
full,CORE_SPLIT_CUMULATIVE_R13,3,72,-0.19431694628992713,-0.020585561544350286,-0.17373138474557676,0.6197487686596119,0.6361399985847891,1.377896212365197
full,CORE_SPLIT_CUMULATIVE_R13,4,70,-0.8378153444264888,0.015588711842833235,-0.8534040562693221,0.8844320926031576,0.8755749051814854,1.6072439899924744
full,CORE_SPLIT_CUMULATIVE_R13,5,68,-1.4966794614257308,0.009056204637528304,-1.5057356660632593,1.153825301770827,1.1498941787699473,1.86044474752968
full,CORE_SPLIT_CUMULATIVE_R13,6,66,-2.4518009771664087,0.28966390853503865,-2.741464885701447,1.5330224951042208,1.4354421137616566,2.0728725118044444
full,CORE_SPLIT_CUMULATIVE_R13,7,64,-2.893056179259365,0.7700228155398077,-3.663078994799172,1.9428201873218167,1.7333572813258584,2.321598259917785
full,CORE_SPLIT_CUMULATIVE_R13,8,62,-4.936158442136401,1.0702409239081907,-6.006399366044594,2.292860886389249,2.046208718685731,2.5728730663665234
full,CORE_SPLIT_CUMULATIVE_R13,9,60,-5.843151666379003,1.6071455542147786,-7.450297220593782,2.69149058610183,2.374231669584919,2.912310585907411
full,CORE_SPLIT_CUMULATIVE_R13,10,58,-6.091703965098551,2.126553944526659,-8.21825790962521,3.0126633433246943,2.6362068347695455,3.2677917674969144
full,CORE_SPLIT_CUMULATIVE_R13,11,56,-6.701444367908946,2.9653827611534425,-9.666827129062387,3.338122792766538,2.859664494033177,3.6408086635913675
full,CORE_SPLIT_CUMULATIVE_R13,12,54,-8.948259288608286,3.407024110377167,-12.355283398985451,3.6823770489180934,3.1863578926450744,3.8559242017091684
full,CORE_SPLIT_MONTHLY_R13,1,76,0.016125451087620517,-0.0003477345810808656,0.0164731856687014,0.21913552029091224,0.21992751268145072,0.8718061589793248
full,CORE_SPLIT_MONTHLY_R13,2,74,0.011613235444373406,0.0027135897477153013,0.008899645696658095,0.41714165512207757,0.4138762746163049,1.2101347055586948
full,CORE_SPLIT_MONTHLY_R13,3,72,-0.15812271009971685,0.011450138815694462,-0.16957284891541125,0.6197487686596119,0.6104411498575524,1.377896212365197
full,CORE_SPLIT_MONTHLY_R13,4,70,-0.6684026577008162,0.10633673752888877,-0.7747393952297049,0.8844320926031576,0.8221212738383016,1.6072439899924744
full,CORE_SPLIT_MONTHLY_R13,5,68,-1.162821320110631,0.19920311398442322,-1.362024434095054,1.153825301770827,1.0640064440698265,1.86044474752968
full,CORE_SPLIT_MONTHLY_R13,6,66,-1.8276453411745042,0.585888281824711,-2.413533622999215,1.5330224951042208,1.3282581408261198,2.0728725118044444
full,CORE_SPLIT_MONTHLY_R13,7,64,-1.826364967783349,1.2054409806723807,-3.0318059484557294,1.9428201873218167,1.6028441282897092,2.321598259917785
full,CORE_SPLIT_MONTHLY_R13,8,62,-3.369642148246606,1.6661720826966002,-5.035814230943207,2.292860886389249,1.8950036838056783,2.5728730663665234
full,CORE_SPLIT_MONTHLY_R13,9,60,-3.6574031396181748,2.4040944877447328,-6.061497627362907,2.69149058610183,2.2000061562027593,2.912310585907411
full,CORE_SPLIT_MONTHLY_R13,10,58,-3.5390275221207985,2.9692170875929493,-6.508244609713748,3.0126633433246943,2.4712189973005985,3.2677917674969144
full,CORE_SPLIT_MONTHLY_R13,11,56,-3.762259054331865,3.8281583090042424,-7.590417363336109,3.338122792766538,2.704608191694913,3.6408086635913675
full,CORE_SPLIT_MONTHLY_R13,12,54,-4.045245795523167,4.926591879678694,-8.97183767520186,3.6823770489180934,2.938249283284186,3.8559242017091684
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,1,30,0.0005651389185218999,-0.005742309703993357,0.006307448622515257,0.11887758706091485,0.14097585044758107,0.32999100358729194
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,2,29,6.731480887963982e-05,-0.0183511053251359,0.01841842013401554,0.19094960183709891,0.23412145516138091,0.4408913697314212
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,3,28,-0.02837519852702829,-0.03792872981440084,0.009553531287372555,0.23057835808281182,0.30181966309464703,0.4724601109630488
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,4,27,-0.1365299068427817,-0.07884648167279551,-0.05768342516998618,0.2600619397116183,0.3827253508187888,0.4221401235403944
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,5,26,-0.32889554945978416,-0.15652319733515338,-0.17237235212463087,0.3169778168611933,0.5069498335311312,0.4510764181269759
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,6,25,-0.4843012792611167,-0.17789671648559774,-0.30640456277551903,0.39640311108104337,0.5788196117620132,0.5379520078547791
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,7,24,-0.728577848744869,-0.2640916405416607,-0.46448620820320824,0.47458953385742825,0.6995190248940137,0.6386568908377234
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,8,23,-1.0873852731927833,-0.4031017399135202,-0.6842835332792631,0.5678965916649176,0.8518264369800636,0.7145012550146737
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,9,22,-1.5734034719528702,-0.5875424822157312,-0.9858609897371394,0.6200676058617668,0.9859139506340675,0.756918654229792
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,10,21,-2.119235606083473,-0.8150217477279053,-1.3042138583555676,0.6660988925446586,1.121922226527813,0.8616091213311164
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,11,20,-2.6052990887007206,-1.0013359007188194,-1.6039631879819012,0.7357314235380933,1.2420292381019897,0.9542259307854222
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,12,19,-3.926761716546954,-1.507508822740097,-2.4192528938068576,0.8438282697359976,1.4898170933190908,1.028065140738664
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_R13,1,30,-0.00133701414858182,-0.007523798664225539,0.006186784515643723,0.11887758706091485,0.14715868771381094,0.32999100358729194
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_R13,2,29,-0.015130529559811125,-0.02935614694640681,0.014225617386595694,0.19094960183709891,0.25654999003732865,0.4408913697314212
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_R13,3,28,-0.06721248307375108,-0.07161584942188969,0.004403366348138615,0.23057835808281182,0.35324528112637976,0.4724601109630488
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_R13,4,27,-0.23488925701295635,-0.15105155531959408,-0.08383770169336227,0.2600619397116183,0.4676363627928901,0.4221401235403944
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_R13,5,26,-0.5337310875704676,-0.2963204611732423,-0.23741062639722527,0.3169778168611933,0.6299169767162418,0.4510764181269759
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_R13,6,25,-0.8537487765299414,-0.4187128464664401,-0.4350359300635014,0.39640311108104337,0.7588466728800819,0.5379520078547791
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_R13,7,24,-1.31487186764113,-0.6604041770247342,-0.6544676906163959,0.47458953385742825,0.9410841634369081,0.6386568908377234
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_R13,8,23,-1.9932288891753283,-1.0248805540281503,-0.9683483351471781,0.5678965916649176,1.160770043054515,0.7145012550146737
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_R13,9,22,-2.91817879382296,-1.529981270170136,-1.3881975236528237,0.6200676058617668,1.3836419717576074,0.756918654229792
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_R13,10,21,-3.944679398642571,-2.095843962802679,-1.848835435839893,0.6660988925446586,1.5935908187021848,0.8616091213311164
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_R13,11,20,-4.976603436398511,-2.673825314742537,-2.3027781216559733,0.7357314235380933,1.793077254979251,0.9542259307854222
recent_origins,CORE_AGG_CUMULATIVE_LABOUR_R13,12,19,-7.325445343142528,-3.887514065905198,-3.43793127723733,0.8438282697359976,2.1446585310279223,1.028065140738664
recent_origins,CORE_AGG_CUMULATIVE_R13,1,30,0.006009152253294833,-0.004718657327832025,0.010727809581126862,0.11887758706091485,0.1372972615650342,0.32999100358729194
recent_origins,CORE_AGG_CUMULATIVE_R13,2,29,0.02588481746421352,-0.00950859502131522,0.035393412485528734,0.19094960183709891,0.21440696225417175,0.4408913697314212
recent_origins,CORE_AGG_CUMULATIVE_R13,3,28,0.02179138337305204,-0.011652232732729072,0.03344361610578112,0.23057835808281182,0.2545949959227291,0.4724601109630488
recent_origins,CORE_AGG_CUMULATIVE_R13,4,27,-0.04342988450003212,-0.024968988836995082,-0.018460895663037033,0.2600619397116183,0.3043044549847479,0.4221401235403944
recent_origins,CORE_AGG_CUMULATIVE_R13,5,26,-0.16032047235986496,-0.05758248333642849,-0.10273798902343646,0.3169778168611933,0.3975643592156077,0.4510764181269759
recent_origins,CORE_AGG_CUMULATIVE_R13,6,25,-0.23445541117154345,-0.034948151928028366,-0.1995072592435151,0.39640311108104337,0.4382734059953426,0.5379520078547791
recent_origins,CORE_AGG_CUMULATIVE_R13,7,24,-0.350113793816954,-0.04504727732597579,-0.30506651649097827,0.47458953385742825,0.5198870098136582,0.6386568908377234
recent_origins,CORE_AGG_CUMULATIVE_R13,8,23,-0.5267181294262612,-0.07744073923101812,-0.44927739019524304,0.5678965916649176,0.6324138503034609,0.7145012550146737
recent_origins,CORE_AGG_CUMULATIVE_R13,9,22,-0.8058908117472027,-0.13418193880441123,-0.6717088729427917,0.6200676058617668,0.7201845420748454,0.756918654229792
recent_origins,CORE_AGG_CUMULATIVE_R13,10,21,-1.0768395709497178,-0.20017746376949405,-0.8766621071802234,0.6660988925446586,0.8024121125822532,0.8616091213311164
recent_origins,CORE_AGG_CUMULATIVE_R13,11,20,-1.2718289313904825,-0.21265320593889842,-1.0591757254515841,0.7357314235380933,0.868305207585609,0.9542259307854222
recent_origins,CORE_AGG_CUMULATIVE_R13,12,19,-1.9074976145412925,-0.3090627526728178,-1.5984348618684752,0.8438282697359976,1.0104993327451854,1.028065140738664
recent_origins,CORE_AGG_MONTHLY_R13,1,30,0.006009152253294833,-0.004718657327832025,0.010727809581126862,0.11887758706091485,0.1372972615650342,0.32999100358729194
recent_origins,CORE_AGG_MONTHLY_R13,2,29,0.02580563810065294,-0.011678585776159362,0.0374842238768123,0.19094960183709891,0.21940906138513508,0.4408913697314212
recent_origins,CORE_AGG_MONTHLY_R13,3,28,0.019659560316468823,-0.018258287643020815,0.03791784795948965,0.23057835808281182,0.2672539370321534,0.4724601109630488
recent_origins,CORE_AGG_MONTHLY_R13,4,27,-0.044463710405125166,-0.03233333490601631,-0.01213037549910885,0.2600619397116183,0.3161732869686901,0.4221401235403944
recent_origins,CORE_AGG_MONTHLY_R13,5,26,-0.13871631626443431,-0.041316929188404766,-0.09739938707602955,0.3169778168611933,0.3765526066441355,0.4510764181269759
recent_origins,CORE_AGG_MONTHLY_R13,6,25,-0.23100354621365157,-0.031059964160566306,-0.19994358205308518,0.39640311108104337,0.43381492670872485,0.5379520078547791
recent_origins,CORE_AGG_MONTHLY_R13,7,24,-0.34889861098978453,-0.052974329494199536,-0.29592428149558503,0.47458953385742825,0.5274557376133191,0.6386568908377234
recent_origins,CORE_AGG_MONTHLY_R13,8,23,-0.5214336616794845,-0.08454885463659458,-0.4368848070428899,0.5678965916649176,0.6380089289823653,0.7145012550146737
recent_origins,CORE_AGG_MONTHLY_R13,9,22,-0.7994402785303053,-0.1373395414545221,-0.6621007370757832,0.6200676058617668,0.7223734334080023,0.756918654229792
recent_origins,CORE_AGG_MONTHLY_R13,10,21,-1.0464618495844664,-0.17998742705374204,-0.8664744225307244,0.6660988925446586,0.7897310692273432,0.8616091213311164
recent_origins,CORE_AGG_MONTHLY_R13,11,20,-1.211178304777141,-0.17722359793283374,-1.0339547068443071,0.7357314235380933,0.847658141891071,0.9542259307854222
recent_origins,CORE_AGG_MONTHLY_R13,12,19,-1.616518196411278,-0.15272899551472702,-1.4637892008965512,0.8438282697359976,0.929932870867771,1.028065140738664
recent_origins,CORE_SPLIT_CUMULATIVE_R13,1,30,0.008046361279147133,-0.0014340409934808119,0.009480402272627945,0.11887758706091485,0.12476346299660891,0.32999100358729194
recent_origins,CORE_SPLIT_CUMULATIVE_R13,2,29,0.03762654915820584,0.003344416071815907,0.03428213308638994,0.19094960183709891,0.18198168690813565,0.4408913697314212
recent_origins,CORE_SPLIT_CUMULATIVE_R13,3,28,0.048716121553323576,0.006261076850147542,0.04245504470317605,0.23057835808281182,0.21657631995677146,0.4724601109630488
recent_origins,CORE_SPLIT_CUMULATIVE_R13,4,27,-0.01024347309807494,-0.004722224055205095,-0.0055212490428698455,0.2600619397116183,0.2689877999868665,0.4221401235403944
recent_origins,CORE_SPLIT_CUMULATIVE_R13,5,26,-0.11003573504007977,-0.02264294769738158,-0.0873927873426982,0.3169778168611933,0.3508815812770311,0.4510764181269759
recent_origins,CORE_SPLIT_CUMULATIVE_R13,6,25,-0.20741963874912264,-0.02345338536130025,-0.18396625338782235,0.39640311108104337,0.42495742355679617,0.5379520078547791
recent_origins,CORE_SPLIT_CUMULATIVE_R13,7,24,-0.33474058764936937,-0.047454031249653604,-0.2872865563997158,0.47458953385742825,0.5221965692118865,0.6386568908377234
recent_origins,CORE_SPLIT_CUMULATIVE_R13,8,23,-0.5200473985120542,-0.08885921550390762,-0.43118818300814654,0.5678965916649176,0.6413780120401211,0.7145012550146737
recent_origins,CORE_SPLIT_CUMULATIVE_R13,9,22,-0.7870094625711097,-0.1541859281831706,-0.6328235343879393,0.6200676058617668,0.7339412537950936,0.756918654229792
recent_origins,CORE_SPLIT_CUMULATIVE_R13,10,21,-1.0748129736402137,-0.2519711900127581,-0.8228417836274554,0.6660988925446586,0.8340617031502997,0.8616091213311164
recent_origins,CORE_SPLIT_CUMULATIVE_R13,11,20,-1.3967248688420864,-0.328278232053375,-1.0684466367887113,0.7357314235380933,0.9325121766683608,0.9542259307854222
recent_origins,CORE_SPLIT_CUMULATIVE_R13,12,19,-2.200925444983274,-0.4829188571450469,-1.7180065878382274,0.8438282697359976,1.0931445494309955,1.028065140738664
recent_origins,CORE_SPLIT_MONTHLY_R13,1,30,0.008046361279147133,-0.0014340409934808119,0.009480402272627945,0.11887758706091485,0.12476346299660891,0.32999100358729194
recent_origins,CORE_SPLIT_MONTHLY_R13,2,29,0.039316957143414134,0.0014774147589945673,0.03783954238441957,0.19094960183709891,0.18704100000468357,0.4408913697314212
recent_origins,CORE_SPLIT_MONTHLY_R13,3,28,0.04965941975354504,0.00577643190794838,0.043882987845596653,0.23057835808281182,0.21769232257527368,0.4724601109630488
recent_origins,CORE_SPLIT_MONTHLY_R13,4,27,-0.007330076231546019,-0.006340674908338839,-0.000989401323207156,0.2600619397116183,0.27197957164998304,0.4221401235403944
recent_origins,CORE_SPLIT_MONTHLY_R13,5,26,-0.10454010878117434,-0.021704821309216155,-0.0828352874719582,0.3169778168611933,0.34954221160155236,0.4510764181269759
recent_origins,CORE_SPLIT_MONTHLY_R13,6,25,-0.19943158657463325,-0.01784903260584481,-0.18158255396878847,0.39640311108104337,0.4183114379031188,0.5379520078547791
recent_origins,CORE_SPLIT_MONTHLY_R13,7,24,-0.3229427311963056,-0.044093402424749,-0.2788493287715566,0.47458953385742825,0.5189688122341842,0.6386568908377234
recent_origins,CORE_SPLIT_MONTHLY_R13,8,23,-0.4940354763340764,-0.07390226158530158,-0.42013321474877485,0.5678965916649176,0.6296100383649642,0.7145012550146737
recent_origins,CORE_SPLIT_MONTHLY_R13,9,22,-0.7383443294583082,-0.12507587645265897,-0.6132684530056493,0.6200676058617668,0.7138345132394499,0.756918654229792
recent_origins,CORE_SPLIT_MONTHLY_R13,10,21,-0.9986719525815891,-0.20125316817553213,-0.7974187844060568,0.6660988925446586,0.8030821270734101,0.8616091213311164
recent_origins,CORE_SPLIT_MONTHLY_R13,11,20,-1.2851217152202297,-0.2567434309295453,-1.0283782842906846,0.7357314235380933,0.8933331732959068,0.9542259307854222
recent_origins,CORE_SPLIT_MONTHLY_R13,12,19,-1.829442129336823,-0.2775666764684514,-1.5518754528683714,0.8438282697359976,0.9947928554599188,1.028065140738664
recent_targets,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,1,31,0.0003625444851827303,-0.0052396359518516985,0.0056021804370344295,0.12222511620809536,0.1420514518895675,0.3288258131586402
recent_targets,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,2,31,0.0001093391269223476,-0.018035779671559792,0.01814511879848214,0.19547341428998183,0.23716162287719036,0.439344726600973
recent_targets,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,3,31,-0.02141501492638391,-0.04121820225688818,0.019803187330504273,0.23062031254999837,0.30725222670885094,0.4651438922648522
recent_targets,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,4,31,-0.11893501870105302,-0.09123007256055547,-0.0277049461404975,0.2766312953340657,0.4095789864223488,0.43468052014031555
recent_targets,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,5,31,-0.32890148318443563,-0.1926470389917359,-0.1362544441926998,0.36572917431128354,0.5713185345620683,0.47696317327363863
recent_targets,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,6,31,-0.45659327906037683,-0.21756650435209107,-0.2390267747082859,0.4565088394553839,0.6526613400937674,0.5307798567364791
recent_targets,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,7,31,-0.6330320606223813,-0.30183804430217953,-0.3311940163202018,0.5233470634101157,0.7587688667059101,0.5829293278189083
recent_targets,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,8,31,-0.9844940781630538,-0.45872416596068194,-0.5257699122023717,0.5972812731366696,0.9030332691548205,0.6315083794285519
recent_targets,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,9,31,-1.3936346049805257,-0.6839013484775471,-0.7097332565029784,0.7227643232239891,1.0983121666461582,0.7328400059596865
recent_targets,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,10,31,-1.7836782586903341,-0.9140297416081047,-0.8696485170822293,0.8424795624336215,1.2742847227862582,0.8745746821027884
recent_targets,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,11,31,-2.153898581851613,-1.1180330913360548,-1.035865490515558,0.9620294340404894,1.4295222010505184,0.9666944422912157
recent_targets,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,12,30,-3.239942829757461,-1.7086615323272096,-1.5312812974302512,1.1386635471865416,1.7335559425696787,0.9574180733249891
recent_targets,CORE_AGG_CUMULATIVE_LABOUR_R13,1,31,-0.0013851214115968783,-0.007108441534175431,0.005723320122578558,0.12222511620809536,0.1484837383899592,0.3288258131586402
recent_targets,CORE_AGG_CUMULATIVE_LABOUR_R13,2,31,-0.0137534770539788,-0.02953094909152141,0.01577747203754262,0.19547341428998183,0.26027063757885616,0.439344726600973
