origin,target,h,model,reference_forecast,candidate_forecast,actual,ex_post_core_replaced,reference_core_error,candidate_core_error,other_error,headline_squared_gain,core_squared_gain,cross_term_gain
2019-02,2019-03,1,CORE_AGG_MONTHLY_R13,,,2.969348659003822,,,,,,,
2019-02,2019-03,1,CORE_AGG_CUMULATIVE_R13,,,2.969348659003822,,,,,,,
2019-02,2019-03,1,CORE_SPLIT_MONTHLY_R13,,,2.969348659003822,,,,,,,
2019-02,2019-03,1,CORE_SPLIT_CUMULATIVE_R13,,,2.969348659003822,,,,,,,
2019-02,2019-03,1,CORE_AGG_CUMULATIVE_LABOUR_R13,,,2.969348659003822,,,,,,,
2019-02,2019-03,1,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,,,2.969348659003822,,,,,,,
2019-02,2019-04,2,CORE_AGG_MONTHLY_R13,,,2.769818529130847,,,,,,,
2019-02,2019-04,2,CORE_AGG_CUMULATIVE_R13,,,2.769818529130847,,,,,,,
2019-02,2019-04,2,CORE_SPLIT_MONTHLY_R13,,,2.769818529130847,,,,,,,
2019-02,2019-04,2,CORE_SPLIT_CUMULATIVE_R13,,,2.769818529130847,,,,,,,
2019-02,2019-04,2,CORE_AGG_CUMULATIVE_LABOUR_R13,,,2.769818529130847,,,,,,,
2019-02,2019-04,2,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,,,2.769818529130847,,,,,,,
2019-02,2019-05,3,CORE_AGG_MONTHLY_R13,,,2.9467680608364977,,,,,,,
2019-02,2019-05,3,CORE_AGG_CUMULATIVE_R13,,,2.9467680608364977,,,,,,,
2019-02,2019-05,3,CORE_SPLIT_MONTHLY_R13,,,2.9467680608364977,,,,,,,
2019-02,2019-05,3,CORE_SPLIT_CUMULATIVE_R13,,,2.9467680608364977,,,,,,,
2019-02,2019-05,3,CORE_AGG_CUMULATIVE_LABOUR_R13,,,2.9467680608364977,,,,,,,
2019-02,2019-05,3,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,,,2.9467680608364977,,,,,,,
2019-02,2019-06,4,CORE_AGG_MONTHLY_R13,,,2.7462121212121224,,,,,,,
2019-02,2019-06,4,CORE_AGG_CUMULATIVE_R13,,,2.7462121212121224,,,,,,,
2019-02,2019-06,4,CORE_SPLIT_MONTHLY_R13,,,2.7462121212121224,,,,,,,
2019-02,2019-06,4,CORE_SPLIT_CUMULATIVE_R13,,,2.7462121212121224,,,,,,,
2019-02,2019-06,4,CORE_AGG_CUMULATIVE_LABOUR_R13,,,2.7462121212121224,,,,,,,
2019-02,2019-06,4,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,,,2.7462121212121224,,,,,,,
2019-02,2019-07,5,CORE_AGG_MONTHLY_R13,,,2.9300567107750517,,,,,,,
2019-02,2019-07,5,CORE_AGG_CUMULATIVE_R13,,,2.9300567107750517,,,,,,,
2019-02,2019-07,5,CORE_SPLIT_MONTHLY_R13,,,2.9300567107750517,,,,,,,
2019-02,2019-07,5,CORE_SPLIT_CUMULATIVE_R13,,,2.9300567107750517,,,,,,,
2019-02,2019-07,5,CORE_AGG_CUMULATIVE_LABOUR_R13,,,2.9300567107750517,,,,,,,
2019-02,2019-07,5,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,,,2.9300567107750517,,,,,,,
2019-02,2019-08,6,CORE_AGG_MONTHLY_R13,,,2.9272898961284195,,,,,,,
2019-02,2019-08,6,CORE_AGG_CUMULATIVE_R13,,,2.9272898961284195,,,,,,,
2019-02,2019-08,6,CORE_SPLIT_MONTHLY_R13,,,2.9272898961284195,,,,,,,
