origin,model,status,reason,n_history
2021-02,MCT_SIGNALS_R18,fallback_insufficient_labels,,0
2021-03,MCT_SIGNALS_R18,fallback_insufficient_labels,,0
2021-04,MCT_SIGNALS_R18,fallback_insufficient_labels,,0
2021-05,MCT_SIGNALS_R18,fallback_insufficient_labels,,0
2021-06,MCT_SIGNALS_R18,fallback_insufficient_labels,,0
2021-07,MCT_SIGNALS_R18,fallback_insufficient_labels,,0
2021-08,MCT_SIGNALS_R18,fallback_insufficient_labels,,0
2021-09,MCT_SIGNALS_R18,fallback_insufficient_labels,,0
2021-10,MCT_SIGNALS_R18,fallback_insufficient_labels,,0
2021-11,MCT_SIGNALS_R18,fallback_insufficient_labels,,0
2021-12,MCT_SIGNALS_R18,fallback_insufficient_labels,,0
2022-01,MCT_SIGNALS_R18,fallback_insufficient_labels,,0
2022-02,MCT_SIGNALS_R18,estimated,,35
2022-03,MCT_SIGNALS_R18,estimated,,36
2022-04,MCT_SIGNALS_R18,estimated,,37
2022-05,MCT_SIGNALS_R18,estimated,,38
2022-06,MCT_SIGNALS_R18,estimated,,39
2022-07,MCT_SIGNALS_R18,estimated,,40
2022-08,MCT_SIGNALS_R18,estimated,,41
2022-09,MCT_SIGNALS_R18,estimated,,42
2022-10,MCT_SIGNALS_R18,estimated,,43
2022-11,MCT_SIGNALS_R18,estimated,,44
2022-12,MCT_SIGNALS_R18,estimated,,45
2023-01,MCT_SIGNALS_R18,estimated,,46
2023-02,MCT_SIGNALS_R18,estimated,,47
2023-03,MCT_SIGNALS_R18,estimated,,48
2023-04,MCT_SIGNALS_R18,estimated,,49
2023-05,MCT_SIGNALS_R18,estimated,,50
2023-06,MCT_SIGNALS_R18,estimated,,51
2023-07,MCT_SIGNALS_R18,estimated,,52
2023-08,MCT_SIGNALS_R18,estimated,,53
2023-09,MCT_SIGNALS_R18,estimated,,54
2023-10,MCT_SIGNALS_R18,estimated,,55
2023-11,MCT_SIGNALS_R18,estimated,,56
2023-12,MCT_SIGNALS_R18,estimated,,57
2024-01,MCT_SIGNALS_R18,estimated,,58
2024-02,MCT_SIGNALS_R18,estimated,,59
2024-03,MCT_SIGNALS_R18,estimated,,60
2024-04,MCT_SIGNALS_R18,estimated,,61
2024-05,MCT_SIGNALS_R18,estimated,,62
2024-06,MCT_SIGNALS_R18,estimated,,63
2024-07,MCT_SIGNALS_R18,estimated,,64
2024-08,MCT_SIGNALS_R18,estimated,,65
2024-09,MCT_SIGNALS_R18,estimated,,66
2024-10,MCT_SIGNALS_R18,estimated,,67
2024-11,MCT_SIGNALS_R18,estimated,,68
2024-12,MCT_SIGNALS_R18,estimated,,69
2025-01,MCT_SIGNALS_R18,estimated,,70
2025-02,MCT_SIGNALS_R18,estimated,,71
2025-03,MCT_SIGNALS_R18,estimated,,72
2025-04,MCT_SIGNALS_R18,estimated,,73
2025-05,MCT_SIGNALS_R18,estimated,,74
2025-06,MCT_SIGNALS_R18,estimated,,75
2025-07,MCT_SIGNALS_R18,estimated,,76
2025-08,MCT_SIGNALS_R18,estimated,,77
2025-09,MCT_SIGNALS_R18,estimated,,78
2025-10,MCT_SIGNALS_R18,estimated,,79
2025-11,MCT_SIGNALS_R18,estimated,,80
2025-12,MCT_SIGNALS_R18,estimated,,81
2026-01,MCT_SIGNALS_R18,estimated,,82
2026-02,MCT_SIGNALS_R18,estimated,,83
2026-03,MCT_SIGNALS_R18,estimated,,84
2026-04,MCT_SIGNALS_R18,estimated,,85
2026-05,MCT_SIGNALS_R18,estimated,,86
2026-06,MCT_SIGNALS_R18,estimated,,87
2026-07,MCT_SIGNALS_R18,estimated,,88
