model,clock,report_date,quarter,next_report,forecast,cnb_current,cnb_next,realised,threshold,deviation,call,forecast_available,next_report_available,next_forecast_available,target_still_future,revision_eligible,revision,revision_direction_agrees,revision_distance_gain,revision_confirmed,abs_error_gain,material_gain,material_loss,joint_success,episode_start
GAP_HALF_R23,report,2022-02-10,2022Q3,2022-05-12,11.514708826812893,8.17038043,13.8649926,17.578003612072624,0.3,3.3443283968128927,True,True,True,True,True,True,5.694612170000001,True,0.9940446236257844,True,3.3443283968128927,True,False,True,True
GAP_HALF_R23,report,2022-02-10,2022Q4,2022-05-12,11.250320892346226,6.62746481,12.749894,15.699043922150208,0.3,4.6228560823462255,True,True,True,True,True,True,6.122429189999999,True,3.123282974692452,True,4.622856082346225,True,False,True,True
GAP_HALF_R23,report,2024-08-08,2025Q2,2024-11-14,2.2451667947136795,1.74934064,2.56695573,2.380373322135417,0.3,0.4958261547136795,True,True,True,True,True,True,0.8176150900000001,True,0.1740372194273589,True,0.4958261547136795,True,False,True,True
GAP_JOINT_R23,report,2022-02-10,2022Q3,2022-05-12,11.52188423786746,8.17038043,13.8649926,17.578003612072624,0.3,3.351503807867461,True,True,True,True,True,True,5.694612170000001,True,1.0083954457349211,True,3.351503807867461,True,False,True,True
GAP_JOINT_R23,report,2022-02-10,2022Q4,2022-05-12,11.261459180906868,6.62746481,12.749894,15.699043922150208,0.3,4.633994370906868,True,True,True,True,True,True,6.122429189999999,True,3.1455595518137374,True,4.633994370906867,True,False,True,True
GAP_JOINT_R23,report,2024-08-08,2025Q2,2024-11-14,2.271727650891381,1.74934064,2.56695573,2.380373322135417,0.3,0.5223870108913811,True,True,True,True,True,True,0.8176150900000001,True,0.227158931782762,True,0.5223870108913811,True,False,True,True
STATE_FAST_R15,report,2022-02-10,2022Q3,2022-05-12,11.507533927035754,8.17038043,13.8649926,17.578003612072624,0.3,3.3371534970357537,True,True,True,True,True,True,5.694612170000001,True,0.9796948240715064,True,3.3371534970357537,True,False,True,True
STATE_FAST_R15,report,2022-02-10,2022Q4,2022-05-12,11.23918381980794,6.62746481,12.749894,15.699043922150208,0.3,4.611719009807939,True,True,True,True,True,True,6.122429189999999,True,3.1010088296158798,True,4.611719009807938,True,False,True,True
