model,clock,report_date,quarter,next_report,forecast,cnb_current,cnb_next,realised,threshold,deviation,call,forecast_available,next_report_available,next_forecast_available,target_still_future,revision_eligible,revision,revision_direction_agrees,revision_distance_gain,revision_confirmed,abs_error_gain,material_gain,material_loss,joint_success,episode_start
CORE_FEEDBACK_R21,report,2024-08-08,2025Q2,2024-11-14,1.9198981707242315,1.74934064,2.56695573,2.380373322135417,0.3,0.1705575307242315,False,True,True,True,True,True,0.8176150900000001,True,-0.476500028551537,False,0.1705575307242315,True,False,False,False
DAMPED_P95_Q001_R16,report,2024-08-08,2025Q2,2024-11-14,1.6748724590817126,1.74934064,2.56695573,2.380373322135417,0.3,-0.0744681809182874,False,True,True,True,True,True,0.8176150900000001,False,-0.8176150900000001,False,-0.0744681809182874,False,False,False,False
GAP_CALIBRATION_R23,report,2024-08-08,2025Q2,2024-11-14,2.3152350347152613,1.74934064,2.56695573,2.380373322135417,0.3,0.5658943947152613,True,True,True,True,True,True,0.8176150900000001,True,0.3141736994305224,True,0.5658943947152613,True,False,True,True
GAP_DOMESTIC_R23,report,2024-08-08,2025Q2,2024-11-14,2.2723234230264304,1.74934064,2.56695573,2.380373322135417,0.3,0.5229827830264304,True,True,True,True,True,True,0.8176150900000001,True,0.2283504760528607,True,0.5229827830264304,True,False,True,True
GAP_ENET_R23,report,2024-08-08,2025Q2,2024-11-14,2.218613541451952,1.74934064,2.56695573,2.380373322135417,0.3,0.4692729014519521,True,True,True,True,True,True,0.8176150900000001,True,0.1209307129039041,False,0.4692729014519521,True,False,False,True
GAP_FREE_R23,report,2024-08-08,2025Q2,2024-11-14,2.459567154058577,1.74934064,2.56695573,2.380373322135417,0.3,0.7102265140585768,True,True,True,True,True,True,0.8176150900000001,True,0.6028379381171536,True,0.5518388502122573,True,False,True,True
GAP_HALF_R23,report,2024-08-08,2025Q2,2024-11-14,2.2451667947136795,1.74934064,2.56695573,2.380373322135417,0.3,0.4958261547136795,True,True,True,True,True,True,0.8176150900000001,True,0.1740372194273589,True,0.4958261547136795,True,False,True,True
GAP_IMPORTED_R23,report,2024-08-08,2025Q2,2024-11-14,2.2355433736147217,1.74934064,2.56695573,2.380373322135417,0.3,0.4862027336147216,True,True,True,True,True,True,0.8176150900000001,True,0.1547903772294432,True,0.4862027336147216,True,False,True,True
GAP_JOINT_R23,report,2024-08-08,2025Q2,2024-11-14,2.271727650891381,1.74934064,2.56695573,2.380373322135417,0.3,0.5223870108913811,True,True,True,True,True,True,0.8176150900000001,True,0.227158931782762,True,0.5223870108913811,True,False,True,True
STABLE_LOCAL_CORE_R14B,report,2024-08-08,2025Q2,2024-11-14,2.392732478458361,1.74934064,2.56695573,2.380373322135417,0.3,0.643391838458361,True,True,True,True,True,True,0.8176150900000001,True,0.4691685869167219,True,0.6186735258124731,True,False,True,True
STATE_FAST_R15,report,2024-08-08,2025Q2,2024-11-14,2.218613541451952,1.74934064,2.56695573,2.380373322135417,0.3,0.4692729014519521,True,True,True,True,True,True,0.8176150900000001,True,0.1209307129039041,False,0.4692729014519521,True,False,False,True
