model,alpha,origins
GAP_CALIBRATION_R23,1.0,90
GAP_DOMESTIC_R23,0.1,23
GAP_DOMESTIC_R23,1.0,12
GAP_DOMESTIC_R23,10.0,55
GAP_ENET_R23,0.01,24
GAP_ENET_R23,0.1,35
GAP_ENET_R23,1.0,31
GAP_FREE_R23,0.1,24
GAP_FREE_R23,1.0,17
GAP_FREE_R23,10.0,49
GAP_IMPORTED_R23,0.1,32
GAP_IMPORTED_R23,1.0,12
GAP_IMPORTED_R23,10.0,46
GAP_JOINT_R23,0.1,23
GAP_JOINT_R23,1.0,12
GAP_JOINT_R23,10.0,55
