model,calls,mature_calls,material_gains,material_losses,joint_successes,success_report_dates,success_target_quarters
CORE_FEEDBACK_R21,20,18,5,13,2,1,2
DAMPED_P95_Q001_R16,18,17,3,13,2,1,2
GAP_CALIBRATION_R23,20,18,4,12,3,2,3
GAP_DOMESTIC_R23,21,19,4,13,3,2,3
GAP_ENET_R23,21,19,4,13,2,1,2
GAP_FREE_R23,20,18,4,12,3,2,3
GAP_HALF_R23,21,19,4,13,3,2,3
GAP_IMPORTED_R23,21,19,4,13,3,2,3
GAP_JOINT_R23,21,19,4,13,3,2,3
STABLE_LOCAL_CORE_R14B,17,16,6,9,1,1,1
STATE_FAST_R15,21,19,4,13,2,1,2
