model,clock,threshold,sample,scope,considered_pairs,all_calls,calls_without_eligible_revision,n_pairs,n_reports,n_target_quarters,calls,revision_direction_matches,revision_confirmations,mature_calls,material_gains,material_losses,joint_successes,unconfirmed_calls,mean_abs_error_gain
CORE_FEEDBACK_R21,cutoff,0.3,full,first_call_episodes,34,34,16,18,13,16,18,11,7,17,5,12,2,11,-0.0624432117040391
CORE_FEEDBACK_R21,cutoff,0.3,reports_2024plus,first_call_episodes,12,12,5,7,5,7,7,2,2,6,2,4,0,5,-0.1888973951116959
CORE_FEEDBACK_R21,cutoff,0.5,full,first_call_episodes,27,27,12,15,10,13,15,10,7,14,3,11,2,8,-0.3266554763131156
CORE_FEEDBACK_R21,cutoff,0.5,reports_2024plus,first_call_episodes,6,6,2,4,2,4,4,2,2,3,0,3,0,2,-0.606763271627588
CORE_FEEDBACK_R21,report,0.3,full,first_call_episodes,34,34,14,20,14,16,20,14,8,18,5,13,2,12,-0.1218499585804391
CORE_FEEDBACK_R21,report,0.3,reports_2024plus,first_call_episodes,14,14,5,9,6,8,9,5,3,7,2,5,0,6,-0.3352267782489417
CORE_FEEDBACK_R21,report,0.5,full,first_call_episodes,26,26,12,14,10,11,14,11,7,14,3,11,2,7,-0.2866292760978475
CORE_FEEDBACK_R21,report,0.5,reports_2024plus,first_call_episodes,5,5,2,3,2,3,3,3,2,3,0,3,0,1,-0.6851300149846321
DAMPED_P95_Q001_R16,cutoff,0.3,full,first_call_episodes,32,32,17,15,11,12,15,11,7,14,3,11,2,8,-0.1405795762169696
DAMPED_P95_Q001_R16,cutoff,0.3,reports_2024plus,first_call_episodes,10,10,6,4,3,4,4,2,1,3,0,3,0,3,-0.4249108187696812
DAMPED_P95_Q001_R16,cutoff,0.5,full,first_call_episodes,24,24,11,13,9,11,13,9,6,12,3,9,2,7,-0.1081638013727216
DAMPED_P95_Q001_R16,cutoff,0.5,reports_2024plus,first_call_episodes,4,4,2,2,1,2,2,0,0,1,0,1,0,2,-0.6045840057441279
DAMPED_P95_Q001_R16,report,0.3,full,first_call_episodes,32,32,14,18,13,15,18,14,10,17,3,13,2,8,-0.1841710695152824
DAMPED_P95_Q001_R16,report,0.3,reports_2024plus,first_call_episodes,12,12,5,7,5,7,7,5,4,6,0,5,0,3,-0.4645139422392532
DAMPED_P95_Q001_R16,report,0.5,full,first_call_episodes,25,25,12,13,9,10,13,11,7,13,3,10,2,6,-0.154552372036185
DAMPED_P95_Q001_R16,report,0.5,reports_2024plus,first_call_episodes,4,4,2,2,1,2,2,2,1,2,0,2,0,1,-0.832678154073062
GAP_CALIBRATION_R23,cutoff,0.3,full,first_call_episodes,36,36,16,20,16,17,20,12,7,19,4,13,3,13,-0.2205189583095981
GAP_CALIBRATION_R23,cutoff,0.3,reports_2024plus,first_call_episodes,14,14,6,8,8,8,8,3,2,7,1,4,1,6,-0.25463871101022
GAP_CALIBRATION_R23,cutoff,0.5,full,first_call_episodes,29,29,11,18,13,16,18,11,8,17,4,11,3,10,-0.3966839006405872
GAP_CALIBRATION_R23,cutoff,0.5,reports_2024plus,first_call_episodes,9,9,1,8,5,8,8,3,3,7,1,4,1,5,-0.3189114494446823
GAP_CALIBRATION_R23,report,0.3,full,first_call_episodes,34,34,14,20,15,17,20,14,8,18,4,12,3,12,-0.2002855754085341
GAP_CALIBRATION_R23,report,0.3,reports_2024plus,first_call_episodes,14,14,5,9,7,9,9,5,3,7,1,4,1,6,-0.2629539694991983
GAP_CALIBRATION_R23,report,0.5,full,first_call_episodes,30,30,12,18,13,15,18,12,8,18,4,12,3,10,-0.3224503577877616
GAP_CALIBRATION_R23,report,0.5,reports_2024plus,first_call_episodes,9,9,2,7,5,7,7,4,3,7,1,4,1,4,-0.2629539694991983
GAP_DOMESTIC_R23,cutoff,0.3,full,first_call_episodes,36,36,16,20,14,17,20,12,8,19,4,13,3,12,-0.244615799645655
GAP_DOMESTIC_R23,cutoff,0.3,reports_2024plus,first_call_episodes,15,15,7,8,6,8,8,3,3,7,1,4,1,5,-0.2569937009873058
GAP_DOMESTIC_R23,cutoff,0.5,full,first_call_episodes,29,29,10,19,14,16,19,11,8,18,4,12,3,11,-0.4016826229467864
GAP_DOMESTIC_R23,cutoff,0.5,reports_2024plus,first_call_episodes,9,9,1,8,6,8,8,3,3,7,1,4,1,5,-0.2569937009873058
GAP_DOMESTIC_R23,report,0.3,full,first_call_episodes,34,34,13,21,15,17,21,15,9,19,4,13,3,12,-0.2101402248850925
GAP_DOMESTIC_R23,report,0.3,reports_2024plus,first_call_episodes,14,14,4,10,7,9,10,6,4,8,1,5,1,6,-0.289995689705697
GAP_DOMESTIC_R23,report,0.5,full,first_call_episodes,29,29,11,18,13,15,18,12,8,18,4,12,3,10,-0.3289522344521117
GAP_DOMESTIC_R23,report,0.5,reports_2024plus,first_call_episodes,9,9,2,7,5,7,7,4,3,7,1,4,1,4,-0.2726542567205431
GAP_ENET_R23,cutoff,0.3,full,first_call_episodes,32,32,12,20,16,17,20,13,7,19,5,13,2,13,-0.4537808286644833
GAP_ENET_R23,cutoff,0.3,reports_2024plus,first_call_episodes,13,13,5,8,8,8,8,3,1,7,1,5,0,7,-0.332484310998732
GAP_ENET_R23,cutoff,0.5,full,first_call_episodes,26,26,9,17,13,16,17,12,8,16,4,11,2,9,-0.5525614211325236
GAP_ENET_R23,cutoff,0.5,reports_2024plus,first_call_episodes,8,8,1,7,5,7,7,2,2,6,0,5,0,5,-0.5607059326512803
GAP_ENET_R23,report,0.3,full,first_call_episodes,35,35,14,21,15,17,21,15,9,19,4,13,2,12,-0.4527398684298817
GAP_ENET_R23,report,0.3,reports_2024plus,first_call_episodes,15,15,5,10,7,9,10,6,3,8,1,5,0,7,-0.2604386966650312
