scope,component,model,sample,h,metric,n_intended,n_scored,n_missing_forecast,n_missing_actual,rmse,mae,bias
original_R16_calendar,food,FOOD_H0_SLOW_R18,full,3,cumulative_pct,0,0,0,0,,,
original_R16_calendar,food,FOOD_H0_SLOW_R18,full,4,mm,0,0,0,0,,,
original_R16_calendar,food,FOOD_H0_SLOW_R18,full,4,cumulative_log,0,0,0,0,,,
original_R16_calendar,food,FOOD_H0_SLOW_R18,full,4,cumulative_pct,0,0,0,0,,,
original_R16_calendar,food,FOOD_H0_SLOW_R18,full,5,mm,0,0,0,0,,,
original_R16_calendar,food,FOOD_H0_SLOW_R18,full,5,cumulative_log,0,0,0,0,,,
original_R16_calendar,food,FOOD_H0_SLOW_R18,full,5,cumulative_pct,0,0,0,0,,,
original_R16_calendar,food,FOOD_H0_SLOW_R18,full,6,mm,0,0,0,0,,,
original_R16_calendar,food,FOOD_H0_SLOW_R18,full,6,cumulative_log,0,0,0,0,,,
original_R16_calendar,food,FOOD_H0_SLOW_R18,full,6,cumulative_pct,0,0,0,0,,,
original_R16_calendar,food,FOOD_H0_SLOW_R18,full,7,mm,0,0,0,0,,,
original_R16_calendar,food,FOOD_H0_SLOW_R18,full,7,cumulative_log,0,0,0,0,,,
original_R16_calendar,food,FOOD_H0_SLOW_R18,full,7,cumulative_pct,0,0,0,0,,,
original_R16_calendar,food,FOOD_H0_SLOW_R18,full,8,mm,0,0,0,0,,,
original_R16_calendar,food,FOOD_H0_SLOW_R18,full,8,cumulative_log,0,0,0,0,,,
original_R16_calendar,food,FOOD_H0_SLOW_R18,full,8,cumulative_pct,0,0,0,0,,,
original_R16_calendar,food,FOOD_H0_SLOW_R18,full,9,mm,0,0,0,0,,,
