scope,sample,h,horizon_label,metric,model,n_intended,n_scored,n_missing_forecast,n_fallback,rmse,mae,bias
primary_control_calendar,full,0,pooled_h1_12,mm,FOOD_H0_FAST_R18,36,36,0,36,0.8349083961011433,0.7081968173397788,-0.3643797511806302
primary_control_calendar,full,0,pooled_h1_12,mm,FOOD_H0_SELECT_R18,36,36,0,36,0.8349083961011433,0.7081968173397788,-0.3643797511806302
primary_control_calendar,full,0,pooled_h1_12,mm,FOOD_H0_SLOW_R18,36,36,0,36,0.8349083961011433,0.7081968173397788,-0.3643797511806302
primary_control_calendar,full,0,pooled_h1_12,mm,STATE_FAST_R15,36,36,0,0,0.8349083961011433,0.7081968173397788,-0.3643797511806302
common,full,0,pooled_h1_12,mm,FOOD_H0_FAST_R18,36,36,0,36,0.8349083961011433,0.7081968173397788,-0.3643797511806302
common,full,0,pooled_h1_12,mm,FOOD_H0_SELECT_R18,36,36,0,36,0.8349083961011433,0.7081968173397788,-0.3643797511806302
common,full,0,pooled_h1_12,mm,FOOD_H0_SLOW_R18,36,36,0,36,0.8349083961011433,0.7081968173397788,-0.3643797511806302
common,full,0,pooled_h1_12,mm,STATE_FAST_R15,36,36,0,0,0.8349083961011433,0.7081968173397788,-0.3643797511806302
primary_control_calendar,full,0,pooled_h1_12,cumulative_log,FOOD_H0_FAST_R18,36,36,0,36,2.380206665524948,2.006571595543328,-1.9656775359414762
primary_control_calendar,full,0,pooled_h1_12,cumulative_log,FOOD_H0_SELECT_R18,36,36,0,36,2.380206665524948,2.006571595543328,-1.9656775359414762
primary_control_calendar,full,0,pooled_h1_12,cumulative_log,FOOD_H0_SLOW_R18,36,36,0,36,2.380206665524948,2.006571595543328,-1.9656775359414762
primary_control_calendar,full,0,pooled_h1_12,cumulative_log,STATE_FAST_R15,36,36,0,0,2.380206665524948,2.006571595543328,-1.9656775359414762
common,full,0,pooled_h1_12,cumulative_log,FOOD_H0_FAST_R18,36,36,0,36,2.380206665524948,2.006571595543328,-1.9656775359414762
common,full,0,pooled_h1_12,cumulative_log,FOOD_H0_SELECT_R18,36,36,0,36,2.380206665524948,2.006571595543328,-1.9656775359414762
common,full,0,pooled_h1_12,cumulative_log,FOOD_H0_SLOW_R18,36,36,0,36,2.380206665524948,2.006571595543328,-1.9656775359414762
common,full,0,pooled_h1_12,cumulative_log,STATE_FAST_R15,36,36,0,0,2.380206665524948,2.006571595543328,-1.9656775359414762
primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,FOOD_H0_FAST_R18,36,36,0,36,2.4597601118975785,2.058491026867106,-2.0177805226202548
primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,FOOD_H0_SELECT_R18,36,36,0,36,2.4597601118975785,2.058491026867106,-2.0177805226202548
