month,furniture
2015-01,99.700000000000003
2015-02,100.59999999999999
2015-03,100
2015-04,100.59999999999999
2015-05,100.5
2015-06,100.7
2015-07,99.599999999999994
2015-08,100.3
2015-09,99.400000000000006
2015-10,99.400000000000006
2015-11,99.099999999999994
2015-12,100.09999999999999
2016-01,99.099999999999994
2016-02,100.3
2016-03,100.09999999999999
2016-04,99.599999999999994
2016-05,99.900000000000006
2016-06,100
2016-07,99.900000000000006
2016-08,100.09999999999999
2016-09,99.799999999999997
2016-10,99.700000000000003
2016-11,99.5
2016-12,100
2017-01,99.900000000000006
2017-02,100.09999999999999
2017-03,100.40000000000001
2017-04,100.90000000000001
2017-05,100.90000000000001
2017-06,100.59999999999999
2017-07,100.59999999999999
2017-08,101
2017-09,101
2017-10,101.40000000000001
2017-11,101.5
2017-12,101.90000000000001
2018-01,101.8
2018-02,103
2018-03,102.90000000000001
2018-04,103.8
2018-05,103.7
2018-06,103.09999999999999
2018-07,103.3
2018-08,103.90000000000001
2018-09,103.59999999999999
2018-10,103.7
2018-11,104.2
2018-12,104.8
2019-01,104.40000000000001
2019-02,106.40000000000001
2019-03,106.90000000000001
2019-04,105.90000000000001
2019-05,106.59999999999999
2019-06,106.2
2019-07,106.59999999999999
2019-08,107.8
2019-09,107.8
2019-10,108.7
2019-11,108.40000000000001
2019-12,108
2020-01,107.90000000000001
2020-02,109.09999999999999
2020-03,109.59999999999999
2020-04,109.40000000000001
2020-05,110.3
2020-06,110.59999999999999
2020-07,111.3
2020-08,111.2
2020-09,111.09999999999999
2020-10,112.3
2020-11,111.2
2020-12,112.7
2021-01,111.3
2021-02,113.59999999999999
2021-03,112.59999999999999
2021-04,113.5
2021-05,114.7
2021-06,116.09999999999999
2021-07,118.09999999999999
2021-08,118.90000000000001
2021-09,120
2021-10,121.09999999999999
2021-11,123.7
2021-12,123.8
2022-01,123.7
2022-02,125.59999999999999
2022-03,127.8
2022-04,129.40000000000001
2022-05,132.09999999999999
2022-06,133.30000000000001
2022-07,136.80000000000001
2022-08,136.09999999999999
2022-09,138.40000000000001
2022-10,140
2022-11,139.90000000000001
2022-12,140.5
2023-01,141.59999999999999
2023-02,143.19999999999999
2023-03,143.09999999999999
2023-04,143.09999999999999
2023-05,144.09999999999999
2023-06,144.09999999999999
2023-07,143.40000000000001
2023-08,143.30000000000001
2023-09,142.80000000000001
2023-10,143.30000000000001
2023-11,143.30000000000001
2023-12,143.69999999999999
2024-01,143.59999999999999
2024-02,144.09999999999999
2024-03,145.19999999999999
2024-04,145.90000000000001
2024-05,145.40000000000001
2024-06,146.19999999999999
2024-07,145.69999999999999
2024-08,145.40000000000001
2024-09,146.40000000000001
2024-10,146.90000000000001
2024-11,147.09999999999999
2024-12,147.90000000000001
2025-01,147.80000000000001
2025-02,148.59999999999999
2025-03,147.59999999999999
2025-04,148.59999999999999
2025-05,149.30000000000001
2025-06,150.5
2025-07,149.30000000000001
2025-08,149.80000000000001
2025-09,150.69999999999999
2025-10,150.80000000000001
2025-11,151.19999999999999
2025-12,151.30000000000001
2026-01,150.90000000000001
2026-02,150.59999999999999
2026-03,151.5
2026-04,151.59999999999999
2026-05,151.69999999999999
2026-06,152.80000000000001
2026-07,153.09999999999999
