model,clock,threshold,sample,scope,considered_pairs,all_calls,calls_without_eligible_revision,n_pairs,n_reports,n_target_quarters,calls,revision_direction_matches,revision_confirmations,mature_calls,material_gains,material_losses,joint_successes,unconfirmed_calls,mean_abs_error_gain
CORE_OWN_SHRINK_R25,cutoff,0.5,reports_2024plus,first_call_episodes,8,8,2,6,3,6,6,2,2,5,2,3,0,4,-0.2584691257879704
CORE_OWN_SHRINK_R25,report,0.3,full,all_pairs,161,41,18,36,18,19,23,17,10,23,8,15,3,13,-0.2162000834214574
CORE_OWN_SHRINK_R25,report,0.3,full,first_call_episodes,32,32,13,19,13,15,19,13,8,19,6,13,2,11,-0.22782085741341646
CORE_OWN_SHRINK_R25,report,0.3,reports_2024plus,all_pairs,93,13,5,20,10,11,8,5,3,8,3,5,0,5,-0.22556015052447675
CORE_OWN_SHRINK_R25,report,0.3,reports_2024plus,first_call_episodes,12,12,4,8,5,7,8,5,3,8,3,5,0,5,-0.22556015052447675
CORE_OWN_SHRINK_R25,report,0.5,full,all_pairs,161,30,13,36,18,19,17,12,7,17,6,11,3,10,-0.23001145022454897
CORE_OWN_SHRINK_R25,report,0.5,full,first_call_episodes,26,26,12,14,10,11,14,9,5,14,5,9,2,9,-0.20075604331186464
CORE_OWN_SHRINK_R25,report,0.5,reports_2024plus,all_pairs,93,5,2,20,10,11,3,1,0,3,2,1,0,3,-0.09548983990233546
CORE_OWN_SHRINK_R25,report,0.5,reports_2024plus,first_call_episodes,5,5,2,3,2,3,3,1,0,3,2,1,0,3,-0.09548983990233546
CORE_PANEL_SHRINK_FOODNORM_R25,cutoff,0.3,full,all_pairs,161,42,22,36,18,19,20,12,6,18,4,14,1,14,-1.4165111811453102
CORE_PANEL_SHRINK_FOODNORM_R25,cutoff,0.3,full,first_call_episodes,31,31,14,17,11,13,17,11,5,15,4,11,1,12,-0.9701851859546899
CORE_PANEL_SHRINK_FOODNORM_R25,cutoff,0.3,reports_2024plus,all_pairs,93,12,7,20,10,11,5,5,4,3,1,2,1,1,-0.2841314645781738
CORE_PANEL_SHRINK_FOODNORM_R25,cutoff,0.3,reports_2024plus,first_call_episodes,10,10,5,5,3,5,5,5,4,3,1,2,1,1,-0.2841314645781738
CORE_PANEL_SHRINK_FOODNORM_R25,cutoff,0.5,full,all_pairs,161,35,19,36,18,19,16,8,3,16,3,13,0,13,-1.5915193961845397
CORE_PANEL_SHRINK_FOODNORM_R25,cutoff,0.5,full,first_call_episodes,26,26,13,13,9,9,13,7,2,13,3,10,0,11,-1.1169143744351844
CORE_PANEL_SHRINK_FOODNORM_R25,cutoff,0.5,reports_2024plus,all_pairs,93,7,5,20,10,11,2,2,1,2,0,2,0,1,-0.5836036634441866
CORE_PANEL_SHRINK_FOODNORM_R25,cutoff,0.5,reports_2024plus,first_call_episodes,7,7,5,2,1,2,2,2,1,2,0,2,0,1,-0.5836036634441866
CORE_PANEL_SHRINK_FOODNORM_R25,report,0.3,full,all_pairs,161,36,18,36,18,19,18,12,6,18,2,15,0,12,-1.1150487104381586
CORE_PANEL_SHRINK_FOODNORM_R25,report,0.3,full,first_call_episodes,28,28,13,15,9,12,15,10,5,15,2,12,0,10,-0.9757563061118907
CORE_PANEL_SHRINK_FOODNORM_R25,report,0.3,reports_2024plus,all_pairs,93,10,6,20,10,11,4,4,3,4,0,3,0,1,-0.5248681494453984
CORE_PANEL_SHRINK_FOODNORM_R25,report,0.3,reports_2024plus,first_call_episodes,10,10,6,4,2,4,4,4,3,4,0,3,0,1,-0.5248681494453984
CORE_PANEL_SHRINK_FOODNORM_R25,report,0.5,full,all_pairs,161,29,15,36,18,19,14,8,3,14,2,12,0,11,-1.3874275883555889
CORE_PANEL_SHRINK_FOODNORM_R25,report,0.5,full,first_call_episodes,22,22,10,12,7,9,12,7,2,12,2,10,0,10,-1.194763157965546
CORE_PANEL_SHRINK_FOODNORM_R25,report,0.5,reports_2024plus,all_pairs,93,7,5,20,10,11,2,2,1,2,0,2,0,1,-0.9889436143771179
CORE_PANEL_SHRINK_FOODNORM_R25,report,0.5,reports_2024plus,first_call_episodes,7,7,5,2,1,2,2,2,1,2,0,2,0,1,-0.9889436143771179
CORE_PANEL_SHRINK_R25,cutoff,0.3,full,all_pairs,161,47,23,36,18,19,24,12,5,23,6,16,0,19,-1.0871579671834999
CORE_PANEL_SHRINK_R25,cutoff,0.3,full,first_call_episodes,36,36,16,20,13,16,20,10,4,19,6,12,0,16,-0.7458576023145501
CORE_PANEL_SHRINK_R25,cutoff,0.3,reports_2024plus,all_pairs,93,16,8,20,10,11,8,4,2,7,3,4,0,6,-0.089471878354893
CORE_PANEL_SHRINK_R25,cutoff,0.3,reports_2024plus,first_call_episodes,15,15,7,8,5,8,8,4,2,7,3,4,0,6,-0.089471878354893
CORE_PANEL_SHRINK_R25,cutoff,0.5,full,all_pairs,161,32,16,36,18,19,16,7,2,15,2,13,0,14,-1.6773710838761242
CORE_PANEL_SHRINK_R25,cutoff,0.5,full,first_call_episodes,23,23,10,13,8,11,13,6,1,12,2,10,0,12,-1.246099789661432
CORE_PANEL_SHRINK_R25,cutoff,0.5,reports_2024plus,all_pairs,93,5,3,20,10,11,2,0,0,1,0,1,0,2,-0.5081175161404676
CORE_PANEL_SHRINK_R25,cutoff,0.5,reports_2024plus,first_call_episodes,5,5,3,2,1,2,2,0,0,1,0,1,0,2,-0.5081175161404676
CORE_PANEL_SHRINK_R25,report,0.3,full,all_pairs,161,41,18,36,18,19,23,14,6,23,6,17,0,17,-0.8439811093671785
CORE_PANEL_SHRINK_R25,report,0.3,full,first_call_episodes,32,32,12,20,13,15,20,12,5,20,6,14,0,15,-0.7058014082364334
CORE_PANEL_SHRINK_R25,report,0.3,reports_2024plus,all_pairs,93,14,6,20,10,11,8,5,3,8,3,5,0,5,-0.1859183016435024
CORE_PANEL_SHRINK_R25,report,0.3,reports_2024plus,first_call_episodes,13,13,5,8,5,7,8,5,3,8,3,5,0,5,-0.1859183016435024
CORE_PANEL_SHRINK_R25,report,0.5,full,all_pairs,161,28,12,36,18,19,16,10,4,16,2,14,0,12,-1.2334984595152627
CORE_PANEL_SHRINK_R25,report,0.5,full,first_call_episodes,20,20,7,13,8,10,13,8,3,13,2,11,0,10,-1.1108029231944434
CORE_PANEL_SHRINK_R25,report,0.5,reports_2024plus,all_pairs,93,4,2,20,10,11,2,2,1,2,0,2,0,1,-0.7210223051699329
CORE_PANEL_SHRINK_R25,report,0.5,reports_2024plus,first_call_episodes,4,4,2,2,1,2,2,2,1,2,0,2,0,1,-0.7210223051699329
CORE_PANEL_STATE_R25,cutoff,0.3,full,all_pairs,161,46,22,36,18,19,24,12,5,23,6,16,0,19,-1.0843573503513826
