model,h,sample,n,n_active,correlation,mean_needed,mean_applied,sign_agreement
CORE_PANEL_SHRINK_R25,3,full,87,87,0.18348698850794057,0.004941237409762094,-0.49489522268454655,0.5632183908045977
CORE_PANEL_SHRINK_R25,3,origins_2019_2021,35,35,0.0665841353257243,0.3591549751478561,-0.44548558754386014,0.42857142857142855
CORE_PANEL_SHRINK_R25,3,origins_2022_2023,24,24,-0.14597727091942947,-0.521914060240025,-1.029335130618508,0.7916666666666666
CORE_PANEL_SHRINK_R25,3,origins_2024plus,28,28,0.7251026508229538,0.013764320365533449,-0.09856591695272343,0.5357142857142857
CORE_PANEL_STATE_R25,3,full,87,87,0.18343199241834568,0.004941237409762094,-0.4956610530097996,0.5632183908045977
CORE_PANEL_STATE_R25,3,origins_2019_2021,35,35,0.06593932180653145,0.3591549751478561,-0.44654407739271984,0.42857142857142855
CORE_PANEL_STATE_R25,3,origins_2022_2023,24,24,-0.14502718745036428,-0.521914060240025,-1.0301124484460462,0.7916666666666666
CORE_PANEL_STATE_R25,3,origins_2024plus,28,28,0.7234330935904736,0.013764320365533449,-0.0989560764429382,0.5357142857142857
CORE_OWN_SHRINK_R25,3,full,87,69,-0.10369420126181665,0.004941237409762094,-0.03089955670091764,0.5652173913043478
CORE_OWN_SHRINK_R25,3,origins_2019_2021,35,32,0.023358086489939183,0.3591549751478561,-0.050792688108151705,0.46875
CORE_OWN_SHRINK_R25,3,origins_2022_2023,24,9,0.07679291819645251,-0.521914060240025,-0.016104843171699787,1.0
CORE_OWN_SHRINK_R25,3,origins_2024plus,28,28,0.7264783972249799,0.013764320365533449,-0.01871432546691893,0.5357142857142857
CORE_PANEL_SHRINK_FOODNORM_R25,3,full,87,87,0.18348698850794057,0.004941237409762094,-0.49489522268454655,0.5632183908045977
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2019_2021,35,35,0.0665841353257243,0.3591549751478561,-0.44548558754386014,0.42857142857142855
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2022_2023,24,24,-0.14597727091942947,-0.521914060240025,-1.029335130618508,0.7916666666666666
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2024plus,28,28,0.7251026508229538,0.013764320365533449,-0.09856591695272343,0.5357142857142857
CORE_PANEL_SHRINK_R25,6,full,84,84,0.2933095422405803,0.013017378827077668,-1.0351934069370192,0.5714285714285714
CORE_PANEL_SHRINK_R25,6,origins_2019_2021,35,35,0.01449427570744695,0.9811676341910401,-0.8878758549937675,0.4
CORE_PANEL_SHRINK_R25,6,origins_2022_2023,24,24,0.036637655616216576,-1.4460444153664607,-2.1165405566225197,0.8333333333333334
CORE_PANEL_SHRINK_R25,6,origins_2024plus,25,25,0.8699766760484771,0.058306343743327244,-0.20334471595949105,0.56
CORE_PANEL_STATE_R25,6,full,84,84,0.29232436305557186,0.013017378827077668,-1.0391206506711825,0.5595238095238095
CORE_PANEL_STATE_R25,6,origins_2019_2021,35,35,0.010802084397078622,0.9811676341910401,-0.8909650942202998,0.37142857142857144
CORE_PANEL_STATE_R25,6,origins_2022_2023,24,24,0.03698539739748911,-1.4460444153664607,-2.1136289490512854,0.8333333333333334
CORE_PANEL_STATE_R25,6,origins_2024plus,25,25,0.8685524257397288,0.058306343743327244,-0.21501046325751966,0.56
CORE_OWN_SHRINK_R25,6,full,84,69,-0.19716774532931672,0.013017378827077668,-0.07352244076056842,0.5217391304347826
CORE_OWN_SHRINK_R25,6,origins_2019_2021,35,35,-0.17932860566329714,0.9811676341910401,-0.09711674221430298,0.37142857142857144
CORE_OWN_SHRINK_R25,6,origins_2022_2023,24,9,-0.04278705842951389,-1.4460444153664607,-0.05342627362604432,1.0
CORE_OWN_SHRINK_R25,6,origins_2024plus,25,25,0.8700185403631777,0.058306343743327244,-0.059782739174483145,0.56
CORE_PANEL_SHRINK_FOODNORM_R25,6,full,84,84,0.2933095422405803,0.013017378827077668,-1.0351934069370192,0.5714285714285714
CORE_PANEL_SHRINK_FOODNORM_R25,6,origins_2019_2021,35,35,0.01449427570744695,0.9811676341910401,-0.8878758549937675,0.4
CORE_PANEL_SHRINK_FOODNORM_R25,6,origins_2022_2023,24,24,0.036637655616216576,-1.4460444153664607,-2.1165405566225197,0.8333333333333334
CORE_PANEL_SHRINK_FOODNORM_R25,6,origins_2024plus,25,25,0.8699766760484771,0.058306343743327244,-0.20334471595949105,0.56
CORE_PANEL_SHRINK_R25,12,full,78,78,0.5053218288135622,-0.0016394078502647718,-1.8907338709720534,0.5128205128205128
CORE_PANEL_SHRINK_R25,12,origins_2019_2021,35,35,0.12435652106530494,2.8722015987845824,-1.45632771315274,0.2571428571428571
CORE_PANEL_SHRINK_R25,12,origins_2022_2023,24,24,0.47276898340604334,-4.227662485099835,-3.6866412553890853,0.9583333333333334
CORE_PANEL_SHRINK_R25,12,origins_2024plus,19,19,0.9828095368067993,0.0425773617165805,-0.42244114979664116,0.42105263157894735
CORE_PANEL_STATE_R25,12,full,78,78,0.5028367855001596,-0.0016394078502647718,-1.8958453403131945,0.5128205128205128
CORE_PANEL_STATE_R25,12,origins_2019_2021,35,35,0.1145811311972228,2.8722015987845824,-1.4668926509793323,0.2571428571428571
CORE_PANEL_STATE_R25,12,origins_2022_2023,24,24,0.4739879599539858,-4.227662485099835,-3.6697199124780178,0.9583333333333334
CORE_PANEL_STATE_R25,12,origins_2024plus,19,19,0.9751087854943401,0.0425773617165805,-0.4453376768779017,0.42105263157894735
CORE_OWN_SHRINK_R25,12,full,78,63,-0.08989269465114282,-0.0016394078502647718,-0.15256154062197216,0.3968253968253968
CORE_OWN_SHRINK_R25,12,origins_2019_2021,35,35,-0.2644574049525698,2.8722015987845824,-0.10803884802060366,0.2571428571428571
CORE_OWN_SHRINK_R25,12,origins_2022_2023,24,9,-0.41217217263108036,-4.227662485099835,-0.14615280800613542,1.0
CORE_OWN_SHRINK_R25,12,origins_2024plus,19,19,0.9827800545072747,0.0425773617165805,-0.24267226819186574,0.3684210526315789
CORE_PANEL_SHRINK_FOODNORM_R25,12,full,78,78,0.5053218288135622,-0.0016394078502647718,-1.8907338709720534,0.5128205128205128
CORE_PANEL_SHRINK_FOODNORM_R25,12,origins_2019_2021,35,35,0.12435652106530494,2.8722015987845824,-1.45632771315274,0.2571428571428571
CORE_PANEL_SHRINK_FOODNORM_R25,12,origins_2022_2023,24,24,0.47276898340604334,-4.227662485099835,-3.6866412553890853,0.9583333333333334
CORE_PANEL_SHRINK_FOODNORM_R25,12,origins_2024plus,19,19,0.9828095368067993,0.0425773617165805,-0.42244114979664116,0.42105263157894735
