metric,h,sample,model,n,rmse,mae,bias,rmse_vs_fast_pct
core_cumulative_log,1,full,STATE_FAST_R15,88,0.3176565715015804,0.2478805122469705,-0.0025577352976292,0.0
core_cumulative_log,1,full,STABLE_LOCAL_CORE_R14B,88,0.370058491176554,0.2837682611226605,-0.0029227396032705,16.496406615253314
core_cumulative_log,1,full,DAMPED_P95_Q001_R16,88,0.3225044696199603,0.2527308207133789,-0.0014016935997237,1.526144444443145
core_cumulative_log,1,full,CORE_PANEL_SHRINK_R25,88,0.3814880902346628,0.2782049133950406,-0.1634866761723346,20.09450597270732
core_cumulative_log,1,full,CORE_PANEL_STATE_R25,88,0.3816819170004922,0.278396199750386,-0.1635830897905004,20.155523682781194
core_cumulative_log,1,full,CORE_OWN_SHRINK_R25,88,0.3173388199368918,0.2471163246065338,-0.0121393623634886,-0.10002990436702719
core_cumulative_log,1,full,CORE_PANEL_SHRINK_FOODNORM_R25,88,0.3814880902346628,0.2782049133950406,-0.1634866761723346,20.09450597270732
core_cumulative_log,1,origins_2019_2021,STATE_FAST_R15,34,0.4031871201256675,0.3240308216771627,-0.107560272655919,0.0
core_cumulative_log,1,origins_2019_2021,STABLE_LOCAL_CORE_R14B,34,0.4396658938061518,0.3575648704970643,-0.1615853007345491,9.047603918774595
core_cumulative_log,1,origins_2019_2021,DAMPED_P95_Q001_R16,34,0.4011255302249497,0.3230884258805742,-0.1056181290824318,-0.5113233528083017
core_cumulative_log,1,origins_2019_2021,CORE_PANEL_SHRINK_R25,34,0.481478849695067,0.3833585622839797,-0.2556755133325035,19.418211957018162
core_cumulative_log,1,origins_2019_2021,CORE_PANEL_STATE_R25,34,0.4816803574028237,0.3838478944240198,-0.2559861685399435,19.468190663603302
core_cumulative_log,1,origins_2019_2021,CORE_OWN_SHRINK_R25,34,0.4050419932309018,0.3261897984010264,-0.1244253765167897,0.46005266851187887
core_cumulative_log,1,origins_2019_2021,CORE_PANEL_SHRINK_FOODNORM_R25,34,0.481478849695067,0.3833585622839797,-0.2556755133325035,19.418211957018162
core_cumulative_log,1,origins_2022_2023,STATE_FAST_R15,24,0.3215007577244091,0.2712466509856846,0.1551345020118149,0.0
core_cumulative_log,1,origins_2022_2023,STABLE_LOCAL_CORE_R14B,24,0.4518003281173894,0.3937777804838178,0.2401497956619277,40.52854223898075
core_cumulative_log,1,origins_2022_2023,DAMPED_P95_Q001_R16,24,0.3423040345642883,0.294304334987526,0.1932129280056334,6.47067739035061
core_cumulative_log,1,origins_2022_2023,CORE_PANEL_SHRINK_R25,24,0.4154047542802912,0.3135053931945214,-0.1832263780570781,29.208017181837164
core_cumulative_log,1,origins_2022_2023,CORE_PANEL_STATE_R25,24,0.4157911916093481,0.3137782538292216,-0.1837434302982228,29.32821513464825
core_cumulative_log,1,origins_2022_2023,CORE_OWN_SHRINK_R25,24,0.3184421450289995,0.2682113977749354,0.1507494390553982,-0.9513547392729582
core_cumulative_log,1,origins_2022_2023,CORE_PANEL_SHRINK_FOODNORM_R25,24,0.4154047542802912,0.3135053931945214,-0.1832263780570781,29.208017181837164
core_cumulative_log,1,origins_2024plus,STATE_FAST_R15,30,0.1704856444769413,0.1428839172351147,-0.0097086494724561,0.0
core_cumulative_log,1,origins_2024plus,STABLE_LOCAL_CORE_R14B,30,0.1390008432588935,0.1121244883427438,-0.0175631985333134,-18.467713991195446
core_cumulative_log,1,origins_2024plus,DAMPED_P95_Q001_R16,30,0.1702955228958198,0.1397333901045734,-0.0389814306702736,-0.11151764813089882
core_cumulative_log,1,origins_2024plus,CORE_PANEL_SHRINK_R25,30,0.1616073115285935,0.1307903941479917,-0.0432142325496817,-5.2076718691400625
core_cumulative_log,1,origins_2024plus,CORE_PANEL_STATE_R25,30,0.1614741587989329,0.1305786358571992,-0.0427313281349536,-5.285773887681932
core_cumulative_log,1,origins_2024plus,CORE_OWN_SHRINK_R25,30,0.1683458144371123,0.1406236624380543,-0.0151929207915237,-1.2551379597936951
core_cumulative_log,1,origins_2024plus,CORE_PANEL_SHRINK_FOODNORM_R25,30,0.1616073115285935,0.1307903941479917,-0.0432142325496817,-5.2076718691400625
core_cumulative_log,2,full,STATE_FAST_R15,86,0.5711417488423787,0.4342228780750394,-0.0078329339421053,0.0
