model,H,sample,block,n,rms,bias
CORE_OWN_SHRINK_R25,3,origins_2019_2021,administered,35,0.3336177032194318,0.006427382102538815
CORE_OWN_SHRINK_R25,3,origins_2019_2021,alcohol_tobacco,35,0.1524947834029901,-0.07264657259116837
CORE_OWN_SHRINK_R25,3,origins_2019_2021,wedge,35,0.11450301145629506,0.02185811845812238
CORE_OWN_SHRINK_R25,3,origins_2019_2021,total,35,0.9997109424194,-0.4890151599223954
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2019_2021,h0,35,0.2764060537776783,-0.05238939744512398
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2019_2021,core,35,0.7014074940056934,-0.45027033265183614
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2019_2021,food,35,0.31043359844580243,-0.07195948829847468
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2019_2021,fuel,35,0.2582954521421408,-0.07552948933972725
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2019_2021,administered,35,0.3336177032194318,0.006427382102538815
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2019_2021,alcohol_tobacco,35,0.1524947834029901,-0.07264657259116837
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2019_2021,wedge,35,0.11450301145629517,0.0218581184581224
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2019_2021,total,35,1.1646742189566617,-0.6945097797656693
CORE_PANEL_SHRINK_R25,3,origins_2019_2021,h0,35,0.2764060537776783,-0.05238939744512398
CORE_PANEL_SHRINK_R25,3,origins_2019_2021,core,35,0.7014074940056934,-0.45027033265183614
CORE_PANEL_SHRINK_R25,3,origins_2019_2021,food,35,0.31861969153406217,-0.0837025590139474
CORE_PANEL_SHRINK_R25,3,origins_2019_2021,fuel,35,0.2582954521421408,-0.07552948933972725
CORE_PANEL_SHRINK_R25,3,origins_2019_2021,administered,35,0.3336177032194318,0.006427382102538815
CORE_PANEL_SHRINK_R25,3,origins_2019_2021,alcohol_tobacco,35,0.1524947834029901,-0.07264657259116837
CORE_PANEL_SHRINK_R25,3,origins_2019_2021,wedge,35,0.11450301145629509,0.021858118458122393
CORE_PANEL_SHRINK_R25,3,origins_2019_2021,total,35,1.1741172058248017,-0.706252850481142
CORE_PANEL_STATE_R25,3,origins_2019_2021,h0,35,0.2764060537776783,-0.05238939744512398
CORE_PANEL_STATE_R25,3,origins_2019_2021,core,35,0.7014728687349279,-0.450850139324148
CORE_PANEL_STATE_R25,3,origins_2019_2021,food,35,0.31861969153406217,-0.0837025590139474
CORE_PANEL_STATE_R25,3,origins_2019_2021,fuel,35,0.2582954521421408,-0.07552948933972725
CORE_PANEL_STATE_R25,3,origins_2019_2021,administered,35,0.3336177032194318,0.006427382102538815
CORE_PANEL_STATE_R25,3,origins_2019_2021,alcohol_tobacco,35,0.1524947834029901,-0.07264657259116837
CORE_PANEL_STATE_R25,3,origins_2019_2021,wedge,35,0.11450301145629513,0.021858118458122362
CORE_PANEL_STATE_R25,3,origins_2019_2021,total,35,1.1740581114983277,-0.7068326571534538
DAMPED_P95_Q001_R16,3,origins_2019_2021,h0,35,0.2764060537776783,-0.05238939744512398
DAMPED_P95_Q001_R16,3,origins_2019_2021,core,35,0.5362914893719909,-0.19769160811418124
DAMPED_P95_Q001_R16,3,origins_2019_2021,food,35,0.31861969153406217,-0.0837025590139474
DAMPED_P95_Q001_R16,3,origins_2019_2021,fuel,35,0.2582954521421408,-0.07552948933972725
DAMPED_P95_Q001_R16,3,origins_2019_2021,administered,35,0.3336177032194318,0.006427382102538815
DAMPED_P95_Q001_R16,3,origins_2019_2021,alcohol_tobacco,35,0.1524947834029901,-0.07264657259116837
DAMPED_P95_Q001_R16,3,origins_2019_2021,wedge,35,0.11450301145629505,0.021858118458122338
DAMPED_P95_Q001_R16,3,origins_2019_2021,total,35,0.9842089226533497,-0.4536741259434871
STABLE_LOCAL_CORE_R14B,3,origins_2019_2021,h0,35,0.2764060537776783,-0.05238939744512398
STABLE_LOCAL_CORE_R14B,3,origins_2019_2021,core,35,0.6186814951131413,-0.2895507165222477
STABLE_LOCAL_CORE_R14B,3,origins_2019_2021,food,35,0.31861969153406217,-0.0837025590139474
STABLE_LOCAL_CORE_R14B,3,origins_2019_2021,fuel,35,0.2582954521421408,-0.07552948933972725
STABLE_LOCAL_CORE_R14B,3,origins_2019_2021,administered,35,0.3336177032194318,0.006427382102538815
STABLE_LOCAL_CORE_R14B,3,origins_2019_2021,alcohol_tobacco,35,0.1524947834029901,-0.07264657259116837
STABLE_LOCAL_CORE_R14B,3,origins_2019_2021,wedge,35,0.11450301145629502,0.021858118458122355
