origin,h,target,as_of_utc,model,mm_forecast,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual,core_mm_forecast,core_mm_actual,core_cumulative_log_forecast,core_cumulative_log_actual,previous_origin,previous_h,previous_forecast,revision
2019-03,0,2019-03,2019-04-09T21:59:00+00:00,CORE_OWN_SHRINK_R25,0.0994602395416571,0.1863932898415576,2.969348659003822,2.8800008017511463,0.0,0.0,,-0.1,,,2019-02,1.0,2.9951434878981593,-0.11514268614701306
2019-03,1,2019-04,2019-04-09T21:59:00+00:00,CORE_OWN_SHRINK_R25,0.3364516789432412,0.0930232558139509,2.769818529130847,2.930365379734735,0.33588694662830887,0.09298001599665273,0.47475088790267267,0.4,0.4736275000011008,0.39920212695374535,2019-02,2.0,3.0121323739396204,-0.08176699420488553
2019-04,0,2019-04,2019-05-12T21:59:00+00:00,CORE_OWN_SHRINK_R25,0.3871075486743048,0.0930232558139509,2.769818529130847,3.0717675404249056,0.0,0.0,,0.4,,,2019-03,1.0,2.930365379734735,0.14140216069017075
2019-03,2,2019-05,2019-04-09T21:59:00+00:00,CORE_OWN_SHRINK_R25,0.22467515593930687,0.6505576208178487,2.9467680608364977,2.671312435910258,0.5603100853485964,0.7414306439227463,0.1924047972491036,0.1,0.6658474363030887,0.49915216026209863,2019-02,3.0,2.772135965169918,-0.10082352925965976
2019-04,1,2019-05,2019-05-12T21:59:00+00:00,CORE_OWN_SHRINK_R25,0.23298443162050794,0.6505576208178487,2.9467680608364977,2.8208825300980114,0.23271344371841676,0.6484506279260935,0.11874703288621427,0.1,0.11867658436195741,0.09995003330835331,2019-03,2.0,2.671312435910258,0.14957009418775336
2019-05,0,2019-05,2019-06-10T21:59:00+00:00,CORE_OWN_SHRINK_R25,0.2254766707170906,0.6505576208178487,2.9467680608364977,2.5119894464748858,0.0,0.0,,0.1,,,2019-04,1.0,2.8208825300980114,-0.3088930836231256
2019-03,3,2019-06,2019-04-09T21:59:00+00:00,CORE_OWN_SHRINK_R25,0.15434053977265752,0.1846722068328699,2.7462121212121224,2.440269166845387,0.714531642520027,0.925932541279676,0.2633048589460875,0.3,0.9288062552990264,0.7987030582419465,2019-02,4.0,2.5606151827573,-0.12034601591191274
2019-04,2,2019-06,2019-05-12T21:59:00+00:00,CORE_OWN_SHRINK_R25,0.11305718715551667,0.1846722068328699,2.7462121212121224,2.5472155605446667,0.3457067693649143,0.8329525252830231,0.19035430455325922,0.3,0.30884994469592575,0.3995009312882012,2019-03,3.0,2.440269166845387,0.10694639369927961
2019-05,1,2019-06,2019-06-10T21:59:00+00:00,CORE_OWN_SHRINK_R25,0.15534810340734148,0.1846722068328699,2.7462121212121224,2.2823336661866223,0.15522756306312482,0.18450189735692968,0.18592948783408222,0.3,0.18575685291487598,0.2995508979798479,2019-04,2.0,2.5472155605446667,-0.26488189435804443
2019-06,0,2019-06,2019-07-10T21:59:00+00:00,CORE_OWN_SHRINK_R25,0.1241032984628462,0.1846722068328699,2.7462121212121224,2.684094575980366,0.0,0.0,,0.3,,,2019-05,1.0,2.2823336661866223,0.4017609097937438
