model,clock,report_date,origin,quarter,quarters_ahead,headline_gap,block,model_rate,cnb_rate,model_weight,cnb_weight,contribution_gap
STATE_FAST_R15,report,2022-02-10,2021-12,2022Q1,1,1.1537254442610791,core,10.135941871586427,10.1348914129609,0.5640400689325469,0.5561,0.08106423719833877
STATE_FAST_R15,report,2022-02-10,2021-12,2022Q1,1,1.1537254442610791,food_alc_tobacco,4.105290759173084,4.17117083446666,0.264147437,0.2641,-0.017204185207290834
STATE_FAST_R15,report,2022-02-10,2021-12,2022Q1,1,1.1537254442610791,fuel,23.43063133563982,23.8756113658354,0.03425181,0.034,-0.00922925375002237
STATE_FAST_R15,report,2022-02-10,2021-12,2022Q1,1,1.1537254442610791,administered,19.660088963445453,13.4465600296818,0.13756068406745323,0.1458,0.7439468343109372
STATE_FAST_R15,report,2022-02-10,2021-12,2022Q1,1,1.1537254442610791,unexplained,,,,,0.35514781170911636
STATE_FAST_R15,report,2022-02-10,2021-12,2022Q2,2,2.2610265140996137,core,12.500620946075344,10.3538574280021,0.5640400689325469,0.5561,1.293070984412009
STATE_FAST_R15,report,2022-02-10,2021-12,2022Q2,2,2.2610265140996137,food_alc_tobacco,3.96458005533837,4.0107961186659,0.264147437,0.2641,-0.012017594540715715
STATE_FAST_R15,report,2022-02-10,2021-12,2022Q2,2,2.2610265140996137,fuel,13.230046223708106,13.0567214034456,0.03425181,0.034,0.00922450182851714
STATE_FAST_R15,report,2022-02-10,2021-12,2022Q2,2,2.2610265140996137,administered,19.680131829311424,13.4466709191015,0.13756068406745323,0.1458,0.7466877769727405
STATE_FAST_R15,report,2022-02-10,2021-12,2022Q2,2,2.2610265140996137,unexplained,,,,,0.22406084542706317
STATE_FAST_R15,report,2022-02-10,2021-12,2022Q3,3,3.3371534970357537,core,12.654283752396294,9.0038696386971,0.5640400689325469,0.5561,2.130471173914155
