model,n,mean,rms,max_abs
FOOD_NORM_SHIFT_R24,152,-0.11947873403084656,0.5653784899809754,3.1204549916845647
STABLE_LOCAL_CORE_R14B,152,-0.1199627143060298,0.5666042497574486,3.122543375927354
STATE_FAST_R15,152,-0.1190562332367833,0.5657389766539922,3.1205716020381193
