month,transport_postal_services
2015-01,97.299999999999997
2015-02,100.09999999999999
2015-03,100.3
2015-04,100.3
2015-05,100.3
2015-06,100.3
2015-07,100.3
2015-08,100.3
2015-09,100.3
2015-10,100.3
2015-11,100.3
2015-12,100.3
2016-01,100.40000000000001
2016-02,99.799999999999997
2016-03,99.900000000000006
2016-04,99.900000000000006
2016-05,110.7
2016-06,110.7
2016-07,111
2016-08,111.09999999999999
2016-09,111.09999999999999
2016-10,111.09999999999999
2016-11,111.09999999999999
2016-12,111.40000000000001
2017-01,113.90000000000001
2017-02,114.2
2017-03,114.09999999999999
2017-04,114.2
2017-05,114.2
2017-06,114.40000000000001
2017-07,114.90000000000001
2017-08,115.09999999999999
2017-09,115.09999999999999
2017-10,115.09999999999999
2017-11,115.09999999999999
2017-12,115.09999999999999
2018-01,116
2018-02,121.3
2018-03,121.3
2018-04,121.3
2018-05,121.59999999999999
2018-06,122.3
2018-07,122.5
2018-08,122.5
2018-09,123
2018-10,123
2018-11,123.3
2018-12,124.8
2019-01,125
2019-02,125
2019-03,127.5
2019-04,127.5
2019-05,127.3
2019-06,127.3
2019-07,127.3
2019-08,127.3
2019-09,127.90000000000001
2019-10,128
2019-11,128
2019-12,128
2020-01,131
2020-02,133
2020-03,133
2020-04,133.19999999999999
2020-05,133.40000000000001
2020-06,133.40000000000001
2020-07,133.40000000000001
2020-08,133.5
2020-09,133.69999999999999
2020-10,134.30000000000001
2020-11,134.40000000000001
2020-12,134.40000000000001
2021-01,134.5
2021-02,134.5
2021-03,134.5
2021-04,134.59999999999999
2021-05,134.59999999999999
2021-06,134.69999999999999
2021-07,134.69999999999999
2021-08,135.09999999999999
2021-09,135.80000000000001
2021-10,135.90000000000001
2021-11,137.19999999999999
2021-12,138.09999999999999
2022-01,139
2022-02,139.09999999999999
2022-03,140.90000000000001
2022-04,141.09999999999999
2022-05,142.09999999999999
2022-06,142.80000000000001
2022-07,144.5
2022-08,144.59999999999999
2022-09,146.40000000000001
2022-10,146.59999999999999
2022-11,151.90000000000001
2022-12,152.40000000000001
2023-01,152.69999999999999
2023-02,159.30000000000001
2023-03,159.30000000000001
2023-04,159.40000000000001
2023-05,159.5
2023-06,160.90000000000001
2023-07,171.40000000000001
2023-08,171.5
2023-09,171.5
2023-10,171.5
2023-11,171.5
2023-12,171.69999999999999
2024-01,172.40000000000001
2024-02,172.40000000000001
2024-03,172.5
2024-04,172.69999999999999
2024-05,173
2024-06,173
2024-07,173.19999999999999
2024-08,173.19999999999999
2024-09,173.40000000000001
2024-10,174.40000000000001
2024-11,174.40000000000001
2024-12,174.80000000000001
2025-01,176.19999999999999
2025-02,180.69999999999999
2025-03,181.30000000000001
2025-04,181.40000000000001
2025-05,181.5
2025-06,183.09999999999999
2025-07,184.5
2025-08,184.40000000000001
2025-09,187.19999999999999
2025-10,188.19999999999999
2025-11,188.30000000000001
2025-12,191
2026-01,194.09999999999999
2026-02,194.30000000000001
2026-03,194.69999999999999
2026-04,195.40000000000001
2026-05,196.40000000000001
2026-06,196.59999999999999
2026-07,199.5
2026-08,199.80000000000001
