observation_date,PX_LAST
1999-01-31,86.21
1999-02-28,86.21
1999-03-31,86.41
1999-04-30,86.41
1999-05-31,86.5
1999-06-30,86.5
1999-07-31,86.7
1999-08-31,86.8
1999-09-30,86.7
1999-10-31,87.38
1999-11-30,87.58
1999-12-31,87.68
2000-01-31,88.1
2000-02-29,88.7
2000-03-31,89.0
2000-04-30,89.6
2000-05-31,90.2
2000-06-30,90.5
2000-07-31,90.6
2000-08-31,90.9
2000-09-30,91.1
2000-10-31,91.5
2000-11-30,91.6
2000-12-31,91.6
2001-01-31,91.9
2001-02-28,92.7
2001-03-31,93.0
2001-04-30,93.3
2001-05-31,93.2
2001-06-30,93.3
2001-07-31,93.1
2001-08-31,93.0
2001-09-30,92.9
2001-10-31,92.7
2001-11-30,92.4
2001-12-31,92.4
2002-01-31,92.4
2002-02-28,92.4
2002-03-31,92.5
2002-04-30,92.4
2002-05-31,92.2
2002-06-30,92.3
2002-07-31,91.8
2002-08-31,91.6
2002-09-30,91.4
2002-10-31,91.3
2002-11-30,91.2
2002-12-31,91.2
2003-01-31,91.2
2003-02-28,91.3
2003-03-31,91.3
2003-04-30,91.5
2003-05-31,91.6
2003-06-30,91.5
2003-07-31,90.9
2003-08-31,90.9
2003-09-30,91.1
2003-10-31,91.3
2003-11-30,91.6
2003-12-31,91.8
2004-01-31,92.1
2004-02-29,92.4
2004-03-31,93.1
2004-04-30,94.5
2004-05-31,95.6
2004-06-30,96.9
2004-07-31,97.4
2004-08-31,98.3
2004-09-30,98.7
2004-10-31,99.0
2004-11-30,99.1
2004-12-31,98.9
2005-01-31,98.5
2005-02-28,98.8
2005-03-31,98.9
2005-04-30,98.8
2005-05-31,98.3
2005-06-30,97.9
2005-07-31,97.6
2005-08-31,97.3
2005-09-30,96.7
2005-10-31,97.1
2005-11-30,97.2
2005-12-31,96.9
2006-01-31,96.8
2006-02-28,97.0
2006-03-31,97.1
2006-04-30,97.5
2006-05-31,97.8
2006-06-30,98.1
2006-07-31,98.7
2006-08-31,99.1
2006-09-30,99.3
2006-10-31,99.6
2006-11-30,99.9
2006-12-31,100.0
2007-01-31,100.4
2007-02-28,101.0
2007-03-31,101.5
2007-04-30,101.8
2007-05-31,102.4
2007-06-30,102.9
2007-07-31,103.0
2007-08-31,103.0
2007-09-30,102.7
2007-10-31,102.9
2007-11-30,102.7
2007-12-31,102.2
2008-01-31,102.6
2008-02-29,102.8
2008-03-31,103.1
2008-04-30,103.3
2008-05-31,104.0
2008-06-30,104.2
2008-07-31,104.6
2008-08-31,106.0
2008-09-30,106.1
2008-10-31,105.3
2008-11-30,103.9
2008-12-31,103.1
2009-01-31,102.7
2009-02-28,102.7
2009-03-31,101.3
2009-04-30,100.4
2009-05-31,99.6
2009-06-30,99.0
2009-07-31,98.7
2009-08-31,98.6
2009-09-30,98.1
2009-10-31,98.0
2009-11-30,98.0
2009-12-31,98.2
2010-01-31,98.6
2010-02-28,98.2
2010-03-31,98.1
2010-04-30,98.8
2010-05-31,99.9
2010-06-30,100.6
2010-07-31,100.6
2010-08-31,100.5
2010-09-30,100.8
2010-10-31,100.8
2010-11-30,101.2
2010-12-31,101.9
2011-01-31,102.2
2011-02-28,103.1
2011-03-31,103.8
2011-04-30,104.0
2011-05-31,104.6
2011-06-30,104.5
2011-07-31,104.4
2011-08-31,104.5
2011-09-30,104.7
2011-10-31,104.5
2011-11-30,104.8
2011-12-31,104.7
2012-01-31,105.1
2012-02-29,104.8
2012-03-31,104.8
2012-04-30,104.9
2012-05-31,105.6
2012-06-30,105.7
2012-07-31,105.2
2012-08-31,105.1
2012-09-30,104.8
2012-10-31,105.1
2012-11-30,105.6
2012-12-31,105.5
2013-01-31,106.1
2013-02-28,105.8
2013-03-31,106.0
2013-04-30,105.6
2013-05-31,105.6
2013-06-30,105.2
2013-07-31,105.2
2013-08-31,104.9
2013-09-30,104.9
2013-10-31,104.6
2013-11-30,105.9
2013-12-31,106.9
2014-01-31,107.2
2014-02-28,107.2
2014-03-31,107.2
2014-04-30,107.2
2014-05-31,107.2
2014-06-30,107.2
2014-07-31,107.3
2014-08-31,107.7
2014-09-30,107.3
2014-10-31,107.2
2014-11-30,107.2
2014-12-31,106.7
2015-01-31,106.4
2015-02-28,105.8
2015-03-31,105.8
2015-04-30,106.2
2015-05-31,106.6
2015-06-30,106.5
2015-07-31,106.1
2015-08-31,105.7
2015-09-30,105.2
