observation_date,PX_LAST
2007-02-28,104.5
2007-03-31,107.8
2007-04-30,111.6
2007-05-31,113.6
2007-06-30,113.6
2007-07-31,109.7
2007-08-31,108.1
2007-09-30,106.9
2007-11-30,119.2
2007-12-31,123.8
2008-01-31,131.3
2008-02-29,128.4
2008-03-31,128.4
2008-04-30,127.6
2008-05-31,126.6
2008-06-30,125.5
2008-07-31,129.0
2008-08-31,131.2
2008-09-30,131.9
2008-10-31,120.6
2008-11-30,121.6
2008-12-31,123.9
2009-01-31,113.7
2009-02-28,117.4
2009-03-31,114.7
2009-04-30,110.9
2009-05-31,112.7
2009-06-30,114.2
2009-07-31,113.6
2009-08-31,108.1
2009-09-30,112.7
2009-10-31,113.8
2009-11-30,113.7
2009-12-31,114.6
2010-01-31,115.3
2010-02-28,115.3
2010-03-31,114.9
2010-04-30,115.1
2010-05-31,117.1
2010-06-30,119.4
2010-07-31,120.3
2010-08-31,120.2
2010-09-30,118.1
2010-10-31,114.0
2010-11-30,117.7
2010-12-31,119.1
2011-01-31,121.6
2011-02-28,122.7
2011-03-31,122.8
2011-04-30,123.7
2011-05-31,124.2
2011-06-30,122.4
2011-07-31,122.7
2011-08-31,122.5
2011-09-30,122.9
2011-10-31,123.8
2011-11-30,125.9
2011-12-31,122.3
2012-01-31,124.0
2012-02-29,122.9
2012-03-31,122.0
2012-04-30,121.1
2012-05-31,122.5
2012-06-30,122.9
2012-07-31,121.7
2012-08-31,120.3
2012-09-30,119.3
2012-10-31,120.8
2012-11-30,121.8
2012-12-31,122.0
2013-01-31,123.3
2013-02-28,122.2
2013-03-31,122.5
2013-04-30,123.3
2013-05-31,122.8
2013-06-30,120.6
2013-07-31,121.1
2013-08-31,119.1
2013-09-30,117.3
2013-10-31,109.3
2013-11-30,116.0
2013-12-31,118.7
2014-01-31,117.9
2014-02-28,117.4
2014-03-31,116.9
2014-04-30,117.9
2014-05-31,118.2
2014-06-30,117.0
2014-07-31,115.6
2014-08-31,115.4
2014-09-30,113.7
2014-10-31,112.4
2014-11-30,113.8
2014-12-31,113.6
2015-01-31,113.0
2015-02-28,112.4
2015-03-31,110.0
2015-04-30,109.6
2015-05-31,112.3
2015-06-30,111.1
2015-07-31,114.8
2015-08-31,113.2
2015-09-30,112.4
2015-10-31,111.6
2015-11-30,113.7
2015-12-31,115.3
2016-01-31,114.2
2016-02-29,115.2
2016-03-31,116.1
2016-04-30,101.8
2016-05-31,102.2
2016-06-30,103.0
2016-07-31,101.4
2016-08-31,101.9
2016-09-30,103.7
2016-10-31,106.2
2016-11-30,111.7
2016-12-31,113.0
2017-01-31,115.4
2017-02-28,114.8
2017-03-31,111.6
2017-04-30,109.1
2017-05-31,109.5
2017-06-30,106.8
2017-07-31,106.2
2017-08-31,105.1
2017-09-30,102.4
2017-10-31,101.5
2017-11-30,101.8
2017-12-31,104.7
