model,h,sample,n,block,draws,seed,eligible_blocks,n_origins_in_blocks,mean_loss_difference,ci_low,ci_high,bootstrap_probability_improvement,status
JOINT_DOMESTIC_R22,1,full,88,12,2000,1509,77,88,0.02609013501242011,-0.012103212973212265,0.08592938700330417,0.097,ok
JOINT_DOMESTIC_R22,1,origins_2024plus,30,12,2000,1509,19,30,0.0026297662626735005,-0.002268872020277651,0.0031655589746470204,0.4425,ok
JOINT_ENET_R22,1,full,88,12,2000,1509,77,88,0.034179702931395585,-0.010432304162354798,0.10574374517230302,0.087,ok
JOINT_ENET_R22,1,origins_2024plus,30,12,2000,1509,19,30,0.01524372153561362,0.007630036780192671,0.023521094245738804,0.0,ok
JOINT_HALF_R22,1,full,88,12,2000,1509,77,88,0.00847356550720101,-0.010432202489139864,0.036662537505136955,0.2045,ok
JOINT_HALF_R22,1,origins_2024plus,30,12,2000,1509,19,30,0.001393047270367111,-0.0013504866720663604,0.0025322470548431826,0.3835,ok
JOINT_IMPORTED_R22,1,full,88,12,2000,1509,77,88,0.015281091524881552,-0.01857625839949779,0.06488177753810495,0.219,ok
JOINT_IMPORTED_R22,1,origins_2024plus,30,12,2000,1509,19,30,0.005053887820610481,-0.0022740700448202413,0.00811441529322763,0.2275,ok
JOINT_LINEAR_R22,1,full,88,12,2000,1509,77,88,0.02140668257969961,-0.017369673574212124,0.08042618216549732,0.1565,ok
JOINT_LINEAR_R22,1,origins_2024plus,30,12,2000,1509,19,30,0.004289245801526282,-0.0017799659515733578,0.006877577275434532,0.169,ok
JOINT_OWN_R22,1,full,88,12,2000,1509,77,88,0.017240649343404132,-0.012512358179569687,0.06107662432570402,0.131,ok
JOINT_OWN_R22,1,origins_2024plus,30,12,2000,1509,19,30,0.0026696545827602077,-0.0026409111671235803,0.003352078415772774,0.571,ok
JOINT_RF_R22,1,full,88,12,2000,1509,77,88,0.02071977785970639,-0.020696637294656806,0.08271239712011592,0.184,ok
JOINT_RF_R22,1,origins_2024plus,30,12,2000,1509,19,30,0.003922240177697247,-0.0018605573416951844,0.006187336093445888,0.2085,ok
JOINT_DOMESTIC_R22,2,full,86,12,2000,1509,75,86,0.07310034378590403,-0.02951741977386782,0.23531658872084277,0.093,ok
JOINT_DOMESTIC_R22,2,origins_2024plus,29,12,2000,1509,18,29,0.03058267360455409,0.006300775635141587,0.03444860423663469,0.004,ok
JOINT_ENET_R22,2,full,86,12,2000,1509,75,86,0.10193163087964038,0.017831141166132495,0.24278118690394934,0.012,ok
JOINT_ENET_R22,2,origins_2024plus,29,12,2000,1509,18,29,0.03716697004476111,0.01559432487228592,0.09061272229054529,0.002,ok
JOINT_HALF_R22,2,full,86,12,2000,1509,75,86,0.012660638497589414,-0.03500550759792146,0.07775388417680895,0.31,ok
JOINT_HALF_R22,2,origins_2024plus,29,12,2000,1509,18,29,0.007202506956233149,-0.003743846393680868,0.010681945003833982,0.145,ok
JOINT_IMPORTED_R22,2,full,86,12,2000,1509,75,86,0.029790000149237873,-0.0669695338787644,0.1547888227198503,0.2935,ok
JOINT_IMPORTED_R22,2,origins_2024plus,29,12,2000,1509,18,29,0.0196182169355279,-0.0038743795160137142,0.023753484850743755,0.097,ok
JOINT_LINEAR_R22,2,full,86,12,2000,1509,75,86,0.04112787861165429,-0.05687882325549561,0.1783209250343104,0.2275,ok
JOINT_LINEAR_R22,2,origins_2024plus,29,12,2000,1509,18,29,0.02075549374982845,-0.0025550971543860735,0.026414672591902413,0.053,ok
JOINT_OWN_R22,2,full,86,12,2000,1509,75,86,0.05624731480681306,-0.030569297642579422,0.1871930311713175,0.1165,ok
JOINT_OWN_R22,2,origins_2024plus,29,12,2000,1509,18,29,0.02491249751167742,0.0025262444457794728,0.02467534532935671,0.0,ok
JOINT_RF_R22,2,full,86,12,2000,1509,75,86,0.034572809364123595,-0.06979587508141792,0.17157501415941698,0.2715,ok
JOINT_RF_R22,2,origins_2024plus,29,12,2000,1509,18,29,0.018039884617218015,-0.005343020676727722,0.027597403556905296,0.0835,ok
JOINT_DOMESTIC_R22,3,full,84,12,2000,1509,73,84,0.14667879332554884,-0.06392631022151334,0.4834318195008544,0.1,ok
JOINT_DOMESTIC_R22,3,origins_2024plus,28,12,2000,1509,17,28,0.055103791116620955,0.016696875175111196,0.06775461821151726,0.0015,ok
JOINT_ENET_R22,3,full,84,12,2000,1509,73,84,0.18977789002485737,0.002750996642469392,0.534083453156462,0.0225,ok
JOINT_ENET_R22,3,origins_2024plus,28,12,2000,1509,17,28,0.08043604111484191,0.04808146219231208,0.1646652545008742,0.0,ok
JOINT_HALF_R22,3,full,84,12,2000,1509,73,84,0.030202779834965766,-0.05726499491657543,0.16321748005987585,0.281,ok
JOINT_HALF_R22,3,origins_2024plus,28,12,2000,1509,17,28,0.012182061141404707,-0.007652263014873714,0.024146459821764683,0.0975,ok
JOINT_IMPORTED_R22,3,full,84,12,2000,1509,73,84,0.10828524561033923,-0.07877388586862347,0.40174849705641485,0.1555,ok
JOINT_IMPORTED_R22,3,origins_2024plus,28,12,2000,1509,17,28,0.03187844651405901,-0.006259675043195488,0.04754687837579982,0.062,ok
JOINT_LINEAR_R22,3,full,84,12,2000,1509,73,84,0.09499349040061562,-0.08825163033041564,0.3814538765871273,0.1785,ok
JOINT_LINEAR_R22,3,origins_2024plus,28,12,2000,1509,17,28,0.03849027462899315,-0.00399887344300695,0.06038829114021161,0.041,ok
JOINT_OWN_R22,3,full,84,12,2000,1509,73,84,0.1661881577592509,-0.049317641595181455,0.5105158853208196,0.079,ok
JOINT_OWN_R22,3,origins_2024plus,28,12,2000,1509,17,28,0.04460524421109683,0.0125047917219723,0.04578387317117695,0.0,ok
JOINT_RF_R22,3,full,84,12,2000,1509,73,84,0.06973363044435743,-0.11139852161635476,0.32959226969365957,0.2425,ok
JOINT_RF_R22,3,origins_2024plus,28,12,2000,1509,17,28,0.0289686479027037,-0.012665999374018518,0.05824875787255142,0.0795,ok
JOINT_DOMESTIC_R22,4,full,83,12,2000,1509,72,83,0.3381038177228121,-0.10032421257746227,1.087238736146628,0.088,ok
JOINT_DOMESTIC_R22,4,origins_2024plus,27,12,2000,1509,16,27,0.08004300510107885,0.05570768013371566,0.13522064874979217,0.0,ok
JOINT_ENET_R22,4,full,83,12,2000,1509,72,83,0.5127211838903076,0.04934693339793196,1.3701339056917607,0.009,ok
JOINT_ENET_R22,4,origins_2024plus,27,12,2000,1509,16,27,0.1587503043411275,0.1156968777266936,0.26504679683620735,0.0,ok
JOINT_HALF_R22,4,full,83,12,2000,1509,72,83,0.1058263369401643,-0.07535389114998088,0.4012354636413335,0.1625,ok
JOINT_HALF_R22,4,origins_2024plus,27,12,2000,1509,16,27,0.01660464638828363,-0.0012549370748021543,0.03784966421773972,0.035,ok
JOINT_IMPORTED_R22,4,full,83,12,2000,1509,72,83,0.31039530931770076,-0.08735331755278385,0.9942924113018721,0.091,ok
JOINT_IMPORTED_R22,4,origins_2024plus,27,12,2000,1509,16,27,0.03910019814044056,-0.006367668535577598,0.06383868963459831,0.0515,ok
JOINT_LINEAR_R22,4,full,83,12,2000,1509,72,83,0.27305263396187923,-0.10969750716508563,0.8922403161272949,0.1065,ok
JOINT_LINEAR_R22,4,origins_2024plus,27,12,2000,1509,16,27,0.061858353309158225,0.018657664797160772,0.0997389346549984,0.003,ok
JOINT_OWN_R22,4,full,83,12,2000,1509,72,83,0.39674331947868574,-0.06612380854770583,1.214300455180915,0.0655,ok
JOINT_OWN_R22,4,origins_2024plus,27,12,2000,1509,16,27,0.04786625515932827,0.03387547550150706,0.06614942336821071,0.0,ok
JOINT_RF_R22,4,full,83,12,2000,1509,72,83,0.22817161602742841,-0.1329060893373493,0.7773203850221414,0.1215,ok
JOINT_RF_R22,4,origins_2024plus,27,12,2000,1509,16,27,0.04858828215845258,0.003614891836806414,0.09653973728790673,0.018,ok
JOINT_DOMESTIC_R22,5,full,82,12,2000,1509,71,82,0.6971202113578929,-0.12288695430153608,2.097004817912597,0.069,ok
JOINT_DOMESTIC_R22,5,origins_2024plus,26,12,2000,1509,15,26,0.1280951251698817,0.08876595489516381,0.23350060891060584,0.0,ok
JOINT_ENET_R22,5,full,82,12,2000,1509,71,82,0.973187832547246,0.05953098696672679,2.673508009604742,0.013,ok
JOINT_ENET_R22,5,origins_2024plus,26,12,2000,1509,15,26,0.20474300936452863,0.15915427991770764,0.3783150623354031,0.0,ok
JOINT_HALF_R22,5,full,82,12,2000,1509,71,82,0.2832974600732658,-0.08527582918446003,0.9025584114944764,0.0925,ok
JOINT_HALF_R22,5,origins_2024plus,26,12,2000,1509,15,26,0.021290440557653348,0.017223569739572807,0.06185430402260058,0.0,ok
JOINT_IMPORTED_R22,5,full,82,12,2000,1509,71,82,0.7418493025231204,-0.0824892256518561,2.158266314998054,0.0465,ok
JOINT_IMPORTED_R22,5,origins_2024plus,26,12,2000,1509,15,26,0.04454551593274168,0.03257488589863404,0.09577270617441982,0.0,ok
JOINT_LINEAR_R22,5,full,82,12,2000,1509,71,82,0.6573938681220988,-0.11160416268338985,1.9326995179617859,0.0585,ok
JOINT_LINEAR_R22,5,origins_2024plus,26,12,2000,1509,15,26,0.08219486892048973,0.06647274757777467,0.16683006080787147,0.0,ok
JOINT_OWN_R22,5,full,82,12,2000,1509,71,82,0.823514898035942,-0.05233750447193571,2.428011802989695,0.0455,ok
JOINT_OWN_R22,5,origins_2024plus,26,12,2000,1509,15,26,0.06962066413880616,0.056312292150868644,0.12172931389396593,0.0,ok
JOINT_RF_R22,5,full,82,12,2000,1509,71,82,0.5810898817838169,-0.15130996752750872,1.726601348225216,0.0705,ok
JOINT_RF_R22,5,origins_2024plus,26,12,2000,1509,15,26,0.06665420408563764,0.053027853098496516,0.15402351731108926,0.0,ok
JOINT_DOMESTIC_R22,6,full,81,12,2000,1509,70,81,1.079441402530246,-0.19986746967056154,3.3256733011298145,0.082,ok
JOINT_DOMESTIC_R22,6,origins_2024plus,25,12,2000,1509,14,25,0.23031704117814375,0.13542894027868269,0.36536685780949546,0.0,ok
JOINT_ENET_R22,6,full,81,12,2000,1509,70,81,1.5506727883964992,0.04647093267128017,4.321824167291614,0.0195,ok
JOINT_ENET_R22,6,origins_2024plus,25,12,2000,1509,14,25,0.35692331139466127,0.3135640325450991,0.5917530470419664,0.0,ok
JOINT_HALF_R22,6,full,81,12,2000,1509,70,81,0.4708824777276448,-0.14735004885999287,1.5122093361076772,0.098,ok
JOINT_HALF_R22,6,origins_2024plus,25,12,2000,1509,14,25,0.054352694235565976,0.03716588299502074,0.10571322795565175,0.0,ok
JOINT_IMPORTED_R22,6,full,81,12,2000,1509,70,81,1.2064863031794875,-0.141712732927986,3.5982970523853313,0.055,ok
JOINT_IMPORTED_R22,6,origins_2024plus,25,12,2000,1509,14,25,0.08365922359784317,0.07366836155497138,0.1474563174104017,0.0,ok
JOINT_LINEAR_R22,6,full,81,12,2000,1509,70,81,1.0732609791314172,-0.18799353531610422,3.2149117703523165,0.0695,ok
JOINT_LINEAR_R22,6,origins_2024plus,25,12,2000,1509,14,25,0.1647548808006147,0.118719085018453,0.27464991976852177,0.0,ok
JOINT_OWN_R22,6,full,81,12,2000,1509,70,81,1.2705977009495664,-0.1013776604451919,3.87607355597641,0.0585,ok
JOINT_OWN_R22,6,origins_2024plus,25,12,2000,1509,14,25,0.11537421804689879,0.08289800486432743,0.17985747793622398,0.0,ok
JOINT_RF_R22,6,full,81,12,2000,1509,70,81,0.9443139774166367,-0.2439304190933935,2.8596843872752613,0.0785,ok
JOINT_RF_R22,6,origins_2024plus,25,12,2000,1509,14,25,0.14466782807340006,0.12464340076364915,0.24448531198104614,0.0,ok
JOINT_DOMESTIC_R22,7,full,80,12,2000,1509,69,80,1.4225363812774696,-0.346974462369284,4.503179550220372,0.108,ok
JOINT_DOMESTIC_R22,7,origins_2024plus,24,12,2000,1509,13,24,0.3314875148390091,0.18390670894541453,0.5469224277464738,0.0,ok
JOINT_ENET_R22,7,full,80,12,2000,1509,69,80,2.0380002250457303,0.022910132751602037,5.8371333656991125,0.022,ok
JOINT_ENET_R22,7,origins_2024plus,24,12,2000,1509,13,24,0.5654000122712318,0.4969028889184726,0.8590428778169059,0.0,ok
JOINT_HALF_R22,7,full,80,12,2000,1509,69,80,0.6077433782686695,-0.2493323493726373,2.0750638482976376,0.1335,ok
JOINT_HALF_R22,7,origins_2024plus,24,12,2000,1509,13,24,0.08437502614079352,0.04370941226675135,0.15749013355863387,0.0,ok
JOINT_IMPORTED_R22,7,full,80,12,2000,1509,69,80,1.5851659267635865,-0.25545606612258687,4.95989785607539,0.0825,ok
JOINT_IMPORTED_R22,7,origins_2024plus,24,12,2000,1509,13,24,0.12904082962628224,0.10799653239381225,0.20976385722601934,0.0,ok
JOINT_LINEAR_R22,7,full,80,12,2000,1509,69,80,1.3943058552511487,-0.33279786214058976,4.4334108290861804,0.0985,ok
JOINT_LINEAR_R22,7,origins_2024plus,24,12,2000,1509,13,24,0.2329594259432878,0.14908270099578336,0.40023842141490507,0.0,ok
JOINT_OWN_R22,7,full,80,12,2000,1509,69,80,1.7138792252487431,-0.21663149479760382,5.301168102844563,0.094,ok
JOINT_OWN_R22,7,origins_2024plus,24,12,2000,1509,13,24,0.17739326871343855,0.1161795459577894,0.2834955421386533,0.0,ok
JOINT_RF_R22,7,full,80,12,2000,1509,69,80,1.2275305236893495,-0.41604313444265795,4.007155010500964,0.1095,ok
JOINT_RF_R22,7,origins_2024plus,24,12,2000,1509,13,24,0.21110090534347195,0.1632088381697729,0.35377745822650764,0.0,ok
JOINT_DOMESTIC_R22,8,full,79,12,2000,1509,68,79,1.7657649908346613,-0.5914699219131697,5.867211732458473,0.125,ok
JOINT_DOMESTIC_R22,8,origins_2024plus,23,12,2000,1509,12,23,0.46923313751637963,0.22522317966318472,0.7267762381681007,0.0,ok
JOINT_ENET_R22,8,full,79,12,2000,1509,68,79,2.2802400001425522,-0.24131295255231816,6.9517972049462,0.069,ok
JOINT_ENET_R22,8,origins_2024plus,23,12,2000,1509,12,23,0.8209559679434766,0.5016155140340959,1.2007249472692294,0.0,ok
JOINT_HALF_R22,8,full,79,12,2000,1509,68,79,0.6753403314635963,-0.43263482917133406,2.5134333483618514,0.184,ok
JOINT_HALF_R22,8,origins_2024plus,23,12,2000,1509,12,23,0.12347877468946013,0.06421753349413709,0.20420525663663922,0.0,ok
JOINT_IMPORTED_R22,8,full,79,12,2000,1509,68,79,1.8690591987661562,-0.4604485843199813,6.156538950205135,0.131,ok
JOINT_IMPORTED_R22,8,origins_2024plus,23,12,2000,1509,12,23,0.21394047241833994,0.16369539378819623,0.3033805315053966,0.0,ok
JOINT_LINEAR_R22,8,full,79,12,2000,1509,68,79,1.5872362743868045,-0.6053757380923807,5.359937508518434,0.1435,ok
JOINT_LINEAR_R22,8,origins_2024plus,23,12,2000,1509,12,23,0.3291035389235212,0.21003347026729025,0.5323768057720688,0.0,ok
JOINT_OWN_R22,8,full,79,12,2000,1509,68,79,2.212566609565874,-0.3606941848662359,6.998180376004676,0.114,ok
JOINT_OWN_R22,8,origins_2024plus,23,12,2000,1509,12,23,0.2932264602092056,0.17522750375192664,0.4186267519530207,0.0,ok
JOINT_RF_R22,8,full,79,12,2000,1509,68,79,1.352381102159933,-0.7379273944600964,4.834396665869472,0.164,ok
JOINT_RF_R22,8,origins_2024plus,23,12,2000,1509,12,23,0.29270541857237337,0.22407538234044821,0.4679317938869417,0.0,ok
JOINT_DOMESTIC_R22,9,full,78,12,2000,1509,67,78,2.149860523259895,-0.8914112386930201,7.38476783190597,0.1445,ok
JOINT_DOMESTIC_R22,9,origins_2024plus,22,12,2000,1509,11,22,0.6149242372459723,0.2770042415202656,0.9620936009495058,0.0,ok
JOINT_ENET_R22,9,full,78,12,2000,1509,67,78,2.4488011718112626,-0.7013880908641155,7.927769095609933,0.124,ok
JOINT_ENET_R22,9,origins_2024plus,22,12,2000,1509,11,22,1.047783229613898,0.6629344671725437,1.579426158164246,0.0,ok
JOINT_HALF_R22,9,full,78,12,2000,1509,67,78,0.7186229886094303,-0.7007806654412843,2.969398542286422,0.226,ok
JOINT_HALF_R22,9,origins_2024plus,22,12,2000,1509,11,22,0.1582363505049315,0.09238486783123129,0.26444099414161504,0.0,ok
JOINT_IMPORTED_R22,9,full,78,12,2000,1509,67,78,2.0950119636844247,-0.8102479496945265,7.290261945653173,0.167,ok
JOINT_IMPORTED_R22,9,origins_2024plus,22,12,2000,1509,11,22,0.27566387246256696,0.2601596045978429,0.40817482745682165,0.0,ok
JOINT_LINEAR_R22,9,full,78,12,2000,1509,67,78,1.739586793765161,-1.0581841203700106,6.324486634641521,0.1815,ok
JOINT_LINEAR_R22,9,origins_2024plus,22,12,2000,1509,11,22,0.4206206544877086,0.27565113730391,0.6898551041534798,0.0,ok
JOINT_OWN_R22,9,full,78,12,2000,1509,67,78,2.720974103570513,-0.5728537114901173,8.847778007599054,0.126,ok
JOINT_OWN_R22,9,origins_2024plus,22,12,2000,1509,11,22,0.3943037791029019,0.22717438636146461,0.5585021584934918,0.0,ok
JOINT_RF_R22,9,full,78,12,2000,1509,67,78,1.4306456930234075,-1.2227697178440968,5.66901882679779,0.208,ok
JOINT_RF_R22,9,origins_2024plus,22,12,2000,1509,11,22,0.3649436349903498,0.28634511406432056,0.6221207071756703,0.0,ok
JOINT_DOMESTIC_R22,10,full,77,12,2000,1509,66,77,2.648509891386436,-1.1895727966922702,9.009699339935228,0.144,ok
JOINT_DOMESTIC_R22,10,origins_2024plus,21,12,2000,1509,10,21,0.8101879824423763,0.30224542739856475,1.2647285965069466,0.0,ok
JOINT_ENET_R22,10,full,77,12,2000,1509,66,77,2.3858684427595116,-1.250035311963725,8.512563199888268,0.164,ok
JOINT_ENET_R22,10,origins_2024plus,21,12,2000,1509,10,21,1.2829125252328657,0.7209843447468097,2.114669061021841,0.0,ok
JOINT_HALF_R22,10,full,77,12,2000,1509,66,77,0.8169966341930983,-0.9422654245494801,3.4805828747169496,0.2415,ok
JOINT_HALF_R22,10,origins_2024plus,21,12,2000,1509,10,21,0.24257575661215922,0.09872600053562666,0.3985330964261933,0.0,ok
JOINT_IMPORTED_R22,10,full,77,12,2000,1509,66,77,2.4473214597986757,-1.1187802537199938,8.740017422589377,0.1745,ok
JOINT_IMPORTED_R22,10,origins_2024plus,21,12,2000,1509,10,21,0.4450576823236534,0.34666098053979394,0.6254552713416938,0.0,ok
JOINT_LINEAR_R22,10,full,77,12,2000,1509,66,77,2.009208481240127,-1.4012431992560501,7.494843563645599,0.1985,ok
JOINT_LINEAR_R22,10,origins_2024plus,21,12,2000,1509,10,21,0.6227526699240419,0.29806463858712806,1.0089402794994686,0.0,ok
JOINT_OWN_R22,10,full,77,12,2000,1509,66,77,3.3534059960675537,-0.7659825366916796,10.94019426920591,0.1235,ok
JOINT_OWN_R22,10,origins_2024plus,21,12,2000,1509,10,21,0.5378560016982916,0.3008660276147242,0.7565823557500494,0.0,ok
JOINT_RF_R22,10,full,77,12,2000,1509,66,77,1.5348863640933568,-1.7137976742657774,6.446733148786396,0.2365,ok
JOINT_RF_R22,10,origins_2024plus,21,12,2000,1509,10,21,0.5434380707357883,0.310074533221944,0.9068558714691212,0.0,ok
JOINT_DOMESTIC_R22,11,full,76,12,2000,1509,65,76,3.3057261283264374,-1.3454534817649844,11.102966615629601,0.14,ok
JOINT_DOMESTIC_R22,11,origins_2024plus,20,12,2000,1509,9,20,1.0509851431281494,0.38808346103838554,1.6588296355121936,0.0,ok
JOINT_ENET_R22,11,full,76,12,2000,1509,65,76,2.8358486878462315,-1.5590389253226973,9.397995870293826,0.1575,ok
JOINT_ENET_R22,11,origins_2024plus,20,12,2000,1509,9,20,1.928158343536797,1.0432284285751552,2.990304985938172,0.0,ok
JOINT_HALF_R22,11,full,76,12,2000,1509,65,76,1.0749528860888329,-1.113934824243153,4.388322520896786,0.23,ok
JOINT_HALF_R22,11,origins_2024plus,20,12,2000,1509,9,20,0.38267015030578455,0.15133974456405422,0.6122264977263729,0.0,ok
JOINT_IMPORTED_R22,11,full,76,12,2000,1509,65,76,3.0598978861662176,-1.2981350677379613,10.593639037710576,0.167,ok
JOINT_IMPORTED_R22,11,origins_2024plus,20,12,2000,1509,9,20,0.6790019342332776,0.4568689593014527,0.9617814160059595,0.0,ok
JOINT_LINEAR_R22,11,full,76,12,2000,1509,65,76,2.6054707393743954,-1.6847088301295603,9.469886226247432,0.185,ok
JOINT_LINEAR_R22,11,origins_2024plus,20,12,2000,1509,9,20,0.9463911348541446,0.42255460893613395,1.4980503503885534,0.0,ok
JOINT_OWN_R22,11,full,76,12,2000,1509,65,76,4.031168634625469,-0.837383113864055,12.90318855024037,0.12,ok
JOINT_OWN_R22,11,origins_2024plus,20,12,2000,1509,9,20,0.6565673430240577,0.368242537767404,0.9758336517688182,0.0,ok
JOINT_RF_R22,11,full,76,12,2000,1509,65,76,1.9982679177569853,-2.0771094971130286,8.112906963672245,0.228,ok
JOINT_RF_R22,11,origins_2024plus,20,12,2000,1509,9,20,0.8566623771020396,0.4288508815569509,1.3850204573249185,0.0,ok
JOINT_DOMESTIC_R22,12,full,75,12,2000,1509,64,75,3.7030520795386717,-1.7585618146183373,12.688496448670502,0.1535,ok
JOINT_DOMESTIC_R22,12,origins_2024plus,19,12,2000,1509,8,19,1.2841300430474598,0.43333386820249137,1.8405979648366098,0.0,ok
JOINT_ENET_R22,12,full,75,12,2000,1509,64,75,3.0355828681616326,-1.9669329980854096,10.216663564211492,0.165,ok
JOINT_ENET_R22,12,origins_2024plus,19,12,2000,1509,8,19,2.442445302392279,1.2441881543196114,3.271586392245525,0.0,ok
JOINT_HALF_R22,12,full,75,12,2000,1509,64,75,1.2653724100425894,-1.3941320650519824,5.264593257779628,0.232,ok
JOINT_HALF_R22,12,origins_2024plus,19,12,2000,1509,8,19,0.497248396193047,0.16745620103309466,0.7064929670244298,0.0,ok
JOINT_IMPORTED_R22,12,full,75,12,2000,1509,64,75,3.624138506040123,-1.5913342366373342,12.596429284449993,0.1575,ok
JOINT_IMPORTED_R22,12,origins_2024plus,19,12,2000,1509,8,19,0.9566655203356768,0.6052203223737576,1.2638616961621139,0.0,ok
JOINT_LINEAR_R22,12,full,75,12,2000,1509,64,75,3.0842246402342224,-2.0412018543495076,11.202691786956008,0.1805,ok
JOINT_LINEAR_R22,12,origins_2024plus,19,12,2000,1509,8,19,1.2286282141701075,0.46881490521417707,1.7442654537554618,0.0,ok
JOINT_OWN_R22,12,full,75,12,2000,1509,64,75,4.54966287302432,-1.0740809658985109,14.757380040439898,0.122,ok
JOINT_OWN_R22,12,origins_2024plus,19,12,2000,1509,8,19,0.8478137809684323,0.4672218614316171,1.1461375653522312,0.0,ok
JOINT_RF_R22,12,full,75,12,2000,1509,64,75,2.365863855951356,-2.5627974091569836,9.562812642575148,0.235,ok
JOINT_RF_R22,12,origins_2024plus,19,12,2000,1509,8,19,1.1296574704250417,0.4610892489193966,1.6217374079002462,0.0,ok
