origin,model,band,target,predicted_change,actual_change,material_actual
2019-02,JOINT_OWN_R22,3,2019-11,-0.027026928578884224,-3.8474901483179025,True
2019-02,JOINT_OWN_R22,4,2020-02,0.7016708164370691,4.523908381438637,True
2019-02,JOINT_RF_R22,2,2019-08,-0.12433831752737134,3.4822873227850066,True
2019-02,JOINT_RF_R22,3,2019-11,0.3390044185187593,-3.8474901483179025,True
2019-02,JOINT_RF_R22,4,2020-02,0.3865103653221915,4.523908381438637,True
2019-02,STABLE_LOCAL_CORE_R14B,2,2019-08,4.440892098500626e-16,3.4822873227850066,True
2019-02,STABLE_LOCAL_CORE_R14B,3,2019-11,-8.881784197001252e-16,-3.8474901483179025,True
2019-02,STABLE_LOCAL_CORE_R14B,4,2020-02,-8.881784197001252e-16,4.523908381438637,True
2019-02,STATE_FAST_R15,2,2019-08,-0.08741765232988818,3.4822873227850066,True
2019-02,STATE_FAST_R15,3,2019-11,-0.04475783799290323,-3.8474901483179025,True
2019-02,STATE_FAST_R15,4,2020-02,-0.02291601305236579,4.523908381438637,True
2019-03,CORE_FEEDBACK_R21,2,2019-09,-0.022961573773909727,-0.009010318390680006,False
2019-03,CORE_FEEDBACK_R21,3,2019-12,-0.011756325772242171,0.40357035602531477,False
2019-03,CORE_FEEDBACK_R21,4,2020-03,-0.0060192387953881266,1.6469527453777881,True
2019-03,DAMPED_P95_Q001_R16,2,2019-09,0.04104913282511813,-0.009010318390680006,False
2019-03,DAMPED_P95_Q001_R16,3,2019-12,0.04236833615014124,0.40357035602531477,False
2019-03,DAMPED_P95_Q001_R16,4,2020-03,0.03999855618456305,1.6469527453777881,True
2019-03,JOINT_DOMESTIC_R22,2,2019-09,0.47270546554619264,-0.009010318390680006,False
2019-03,JOINT_DOMESTIC_R22,3,2019-12,0.5055162610691024,0.40357035602531477,False
2019-03,JOINT_DOMESTIC_R22,4,2020-03,0.012676020759263551,1.6469527453777881,True
2019-03,JOINT_ENET_R22,2,2019-09,0.8486170985456374,-0.009010318390680006,False
