model,h,omitted_year,n,rmse_delta,mae_delta
JOINT_DOMESTIC_R22,1,2019,78,0.017796635312204434,0.003682806800002769
JOINT_DOMESTIC_R22,1,2020,76,0.019167746996251678,0.006137167577847991
JOINT_DOMESTIC_R22,1,2021,76,0.01055915806646568,-0.00403254389250729
JOINT_DOMESTIC_R22,1,2022,76,0.00044939117462350353,-0.0043529489207607686
JOINT_DOMESTIC_R22,1,2023,76,0.01878800370701106,0.0013067407174900403
JOINT_DOMESTIC_R22,1,2024,76,0.016271769245857604,-0.0012321264208118299
JOINT_DOMESTIC_R22,1,2025,76,0.01636630466443112,-0.0003268870697678006
JOINT_DOMESTIC_R22,1,2026,82,0.01508873713533565,-0.001961568953459447
JOINT_ENET_R22,1,2019,78,0.019951152731319866,0.0017696127807658169
JOINT_ENET_R22,1,2020,76,0.022840829024011522,0.008846921369183303
JOINT_ENET_R22,1,2021,76,0.025201771600411926,0.013147608046197856
JOINT_ENET_R22,1,2022,76,-0.0021779193062452795,0.003145400961683642
JOINT_ENET_R22,1,2023,76,0.022642487026482416,0.005023091071723718
JOINT_ENET_R22,1,2024,76,0.02091849426403669,0.004402728718120863
JOINT_ENET_R22,1,2025,76,0.01974434833234706,0.0008716839854366887
JOINT_ENET_R22,1,2026,82,0.01924107379870532,0.0016342906278090652
JOINT_HALF_R22,1,2019,78,0.006091722679625877,-0.0028270704551152104
JOINT_HALF_R22,1,2020,76,0.007165944739649155,-0.0009076703679652409
JOINT_HALF_R22,1,2021,76,0.003330050721593758,-0.005689209233448067
JOINT_HALF_R22,1,2022,76,-0.0030363523984828777,-0.005370315293288963
JOINT_HALF_R22,1,2023,76,0.006810707669597016,-0.003268819627551711
JOINT_HALF_R22,1,2024,76,0.0054944599728182775,-0.004082256024187769
JOINT_HALF_R22,1,2025,76,0.005379363236649559,-0.003895677795339725
JOINT_HALF_R22,1,2026,82,0.004616325483722705,-0.005765903627276692
JOINT_IMPORTED_R22,1,2019,78,0.010758910182437242,-0.0032850707341367524
JOINT_IMPORTED_R22,1,2020,76,0.01239545540503506,-7.596498961692788e-05
JOINT_IMPORTED_R22,1,2021,76,0.005367828281589326,-0.008831960704787534
JOINT_IMPORTED_R22,1,2022,76,0.00018273351786701753,-0.0069981227522944445
JOINT_IMPORTED_R22,1,2023,76,0.011246496526240213,-0.005125129863782496
JOINT_IMPORTED_R22,1,2024,76,0.009942550033249176,-0.005255646935876324
JOINT_IMPORTED_R22,1,2025,76,0.00969837766482029,-0.004884841596189737
JOINT_IMPORTED_R22,1,2026,82,0.007713585187666738,-0.009220206392365315
JOINT_LINEAR_R22,1,2019,78,0.014761132987857861,-0.00028394070995563236
JOINT_LINEAR_R22,1,2020,76,0.016545631314923814,0.003141257083449811
JOINT_LINEAR_R22,1,2021,76,0.008861504615556126,-0.005857150887985885
JOINT_LINEAR_R22,1,2022,76,-0.0020355957462238616,-0.0061184463463579974
JOINT_LINEAR_R22,1,2023,76,0.01599607845892581,-0.0030967583620619688
JOINT_LINEAR_R22,1,2024,76,0.013700189551411723,-0.0037312077770085272
JOINT_LINEAR_R22,1,2025,76,0.013382617833575972,-0.0031495061783132217
JOINT_LINEAR_R22,1,2026,82,0.011714912744568262,-0.006414534864343957
JOINT_OWN_R22,1,2019,78,0.012151365808109715,-0.0005156623689195339
JOINT_OWN_R22,1,2020,76,0.013393363781519563,0.0017252236224871709
JOINT_OWN_R22,1,2021,76,0.005547213891426761,-0.0075118383407442035
