model,variable,h,sample,n,mean,median,minimum,maximum,opposite_expected_sign,near_zero
JOINT_DOMESTIC_R22,ulc,3,full,90,-0.03430962454351364,-0.051620364880062,-0.1013142719495128,0.039962325780829,59,0
JOINT_DOMESTIC_R22,ulc,3,origins_2024plus,31,-0.08026433324106996,-0.0789092722776186,-0.1013142719495128,-0.0494840832899526,31,0
JOINT_DOMESTIC_R22,ulc,6,full,90,-0.10174625602950188,-0.14763179164127427,-0.2716280954921408,0.0761777962294784,59,0
JOINT_DOMESTIC_R22,ulc,6,origins_2024plus,31,-0.2238557140923255,-0.2213542451548843,-0.2716280954921408,-0.1438455962099807,31,0
JOINT_DOMESTIC_R22,ulc,12,full,90,-0.23369006531856198,-0.32983737437006344,-0.5680520385210686,0.1348362389561345,59,0
JOINT_DOMESTIC_R22,ulc,12,origins_2024plus,31,-0.4922760136750618,-0.4830970537580483,-0.5680520385210686,-0.340197029525021,31,0
JOINT_DOMESTIC_R22,unemployment,3,full,90,-0.01452400793048258,-0.01569604564284515,-0.0364786991219318,0.0119668893405907,3,1
JOINT_DOMESTIC_R22,unemployment,3,origins_2024plus,31,-0.01296820165406438,-0.0157990079397432,-0.0364786991219318,0.0119668893405907,3,1
JOINT_DOMESTIC_R22,unemployment,6,full,90,-0.031191993503144708,-0.037317170500557856,-0.0729620280532446,0.0389413806801967,10,1
JOINT_DOMESTIC_R22,unemployment,6,origins_2024plus,31,-0.019441407273420367,-0.0277262578110194,-0.0729620280532446,0.0389413806801967,10,1
JOINT_DOMESTIC_R22,unemployment,12,full,90,-0.03763946632102848,-0.06412497203371045,-0.1466650101455804,0.173634027106769,20,0
JOINT_DOMESTIC_R22,unemployment,12,origins_2024plus,31,0.02833106493838552,0.0374770898193367,-0.1383563055485648,0.173634027106769,18,0
JOINT_ENET_R22,brent,3,full,90,-0.05945070626721274,-0.06756951035580006,-0.1488823709700291,0.0336442857890501,76,2
JOINT_ENET_R22,brent,3,origins_2024plus,31,-0.10050636567652381,-0.1018176419914109,-0.1443342626626708,-0.0559592094088309,31,0
JOINT_ENET_R22,brent,6,full,90,-0.10892780695300026,-0.1042162375514004,-0.3741875976987926,0.1211774106430535,66,0
JOINT_ENET_R22,brent,6,origins_2024plus,31,-0.253290530006185,-0.2475261155106931,-0.3741875976987926,-0.1598129808202283,31,0
JOINT_ENET_R22,brent,12,full,90,-0.1666492329250308,-0.046727768963794304,-0.8920097855855375,0.5218637122274121,48,0
JOINT_ENET_R22,brent,12,origins_2024plus,31,-0.5986782143328133,-0.5655185474323553,-0.8920097855855375,-0.3585059548051839,31,0
JOINT_ENET_R22,fx,3,full,90,0.22851671398166473,0.20257033637863558,-0.2847488149725652,1.485261517736484,21,0
JOINT_ENET_R22,fx,3,origins_2024plus,31,-0.02754503843563196,-0.0614523491383036,-0.2847488149725652,0.3393648541853247,19,0
JOINT_ENET_R22,fx,6,full,90,-0.39887629906078254,-0.31482843421488216,-1.4476708051833953,0.6379206615109049,78,0
JOINT_ENET_R22,fx,6,origins_2024plus,31,-0.5584418244093274,-0.5291857224981009,-0.9679536039628112,-0.15927811325743,31,0
JOINT_ENET_R22,fx,12,full,90,-0.7259482626898786,-0.7683882051643705,-2.730412229198178,0.9331376341268462,67,0
JOINT_ENET_R22,fx,12,origins_2024plus,31,-1.6606931229548751,-1.674499232570555,-2.730412229198178,-0.7792756896141375,31,0
JOINT_ENET_R22,ulc,3,full,90,-0.00962336269873958,-0.01142779408547515,-0.0881164362045157,0.0742092175250689,52,3
JOINT_ENET_R22,ulc,3,origins_2024plus,31,-0.009970304398302423,-0.0130471960518298,-0.0463994406467828,0.0509645175442603,22,3
JOINT_ENET_R22,ulc,6,full,90,-0.10873442996006467,-0.1169231599696495,-0.3548639414276188,0.1186145983542179,67,1
JOINT_ENET_R22,ulc,6,origins_2024plus,31,-0.11655981699255843,-0.1212905418517995,-0.1999111794559869,-0.009395198992485,31,0
JOINT_ENET_R22,ulc,12,full,90,-0.04161070873120033,-0.0189614075916463,-0.491726084317345,0.2735734382488434,50,2
JOINT_ENET_R22,ulc,12,origins_2024plus,31,0.016740403573957726,0.0091219513900122,-0.1377658863304372,0.2110842394250482,10,2
JOINT_ENET_R22,unemployment,3,full,90,0.031151121873353536,0.0252998383122049,-0.0299938061566766,0.0909118166585703,62,12
JOINT_ENET_R22,unemployment,3,origins_2024plus,31,0.0423736883504054,0.0456029339895308,-0.0299938061566766,0.0909118166585703,26,0
JOINT_ENET_R22,unemployment,6,full,90,0.04427978516951378,0.05359569137366095,-0.1590463800036708,0.2782602626227866,53,0
JOINT_ENET_R22,unemployment,6,origins_2024plus,31,0.11068068873606501,0.1274519293564947,-0.0898081687455959,0.2502793095077674,26,0
JOINT_ENET_R22,unemployment,12,full,90,0.21619926546381124,0.27613816991872264,-0.3575304687646434,0.8183790489560587,59,0
JOINT_ENET_R22,unemployment,12,origins_2024plus,31,0.4615535790606071,0.4961781076000131,0.1008897786306564,0.7605879381734136,31,0
JOINT_IMPORTED_R22,brent,3,full,90,-0.04917084231899084,-0.0519502224773048,-0.1033575018184665,-0.0068236051039208,90,0
JOINT_IMPORTED_R22,brent,3,origins_2024plus,31,-0.06775369616825495,-0.0659642835911269,-0.1033575018184665,-0.0401295431408418,31,0
JOINT_IMPORTED_R22,brent,6,full,90,-0.0616774561954938,-0.06263273491874374,-0.1447973925114584,-0.009966002497564,90,0
JOINT_IMPORTED_R22,brent,6,origins_2024plus,31,-0.09192799353556029,-0.0886045242582914,-0.1447973925114584,-0.0520642071560958,31,0
JOINT_IMPORTED_R22,brent,12,full,90,-0.05790896694939048,-0.05084378373583735,-0.174522052651185,0.0002747517837061,89,1
JOINT_IMPORTED_R22,brent,12,origins_2024plus,31,-0.10089278402957842,-0.0928896902797339,-0.174522052651185,-0.0494146605792573,31,0
JOINT_IMPORTED_R22,fx,3,full,90,0.107276962154223,0.09829635873571665,0.0203609883558499,0.3022058337548428,0,0
JOINT_IMPORTED_R22,fx,3,origins_2024plus,31,0.09779384986857803,0.0949930938304987,0.0739348946046398,0.1268724382349687,0,0
JOINT_IMPORTED_R22,fx,6,full,90,0.04695713665153463,0.014468928156053,-0.1288348155201065,0.4256060125280178,40,1
