model,variable,h,sample,n,rmse,mae,persistence_rmse,persistence_mae
JOINT_DOMESTIC_R22,core,1,full,89,0.2998891127406,0.23030806153528124,0.3330115392766863,0.2637273753908791
JOINT_DOMESTIC_R22,core,1,origins_2024plus,30,0.18055330210129145,0.14941417371302604,0.23323850236761115,0.1823448304327245
JOINT_DOMESTIC_R22,core,2,full,88,0.3182005125792748,0.2414034195105882,0.3362675007406244,0.269765742731601
JOINT_DOMESTIC_R22,core,2,origins_2024plus,29,0.1654692369887857,0.14359185261451815,0.21626723428351208,0.17897103116220026
JOINT_DOMESTIC_R22,core,3,full,87,0.33764674981253884,0.2540745107174578,0.35288002527409223,0.27484041347060645
JOINT_DOMESTIC_R22,core,3,origins_2024plus,28,0.15743993664987269,0.14332277986078973,0.18799774076489903,0.151171414892657
JOINT_DOMESTIC_R22,core,4,full,86,0.3594097489836452,0.27201518428467825,0.35510838545817,0.272756766509235
JOINT_DOMESTIC_R22,core,4,origins_2024plus,27,0.15246032718619365,0.1334163621348405,0.16886868237477973,0.13612537451035017
JOINT_DOMESTIC_R22,core,5,full,85,0.3864415628254185,0.2911979976024243,0.38624070211764616,0.28478180296804
JOINT_DOMESTIC_R22,core,5,origins_2024plus,26,0.16640933492817847,0.13425696411681548,0.20010606191609437,0.1482426467618264
JOINT_DOMESTIC_R22,core,6,full,84,0.4054131672951936,0.3052260536905476,0.42351768405313023,0.3205523974987545
JOINT_DOMESTIC_R22,core,6,origins_2024plus,25,0.15487472434582525,0.13277819669970736,0.18187615577947275,0.1507979418573268
JOINT_DOMESTIC_R22,core,7,full,83,0.42199562659052003,0.3204637686864441,0.46092442383098386,0.34693343264576365
JOINT_DOMESTIC_R22,core,7,origins_2024plus,24,0.15034800090796832,0.13096026424019905,0.18648573388811923,0.1600547706172883
JOINT_DOMESTIC_R22,core,8,full,82,0.43703752944382956,0.33322546787588714,0.4754762228492129,0.37288043761386475
JOINT_DOMESTIC_R22,core,8,origins_2024plus,23,0.1556411652766493,0.13762551962259761,0.1901844633784337,0.1569833047110797
JOINT_DOMESTIC_R22,core,9,full,81,0.4543379654902398,0.34516415183465493,0.5044439819061632,0.4020451412219309
JOINT_DOMESTIC_R22,core,9,origins_2024plus,22,0.15695951983552298,0.14000899726773058,0.19368695908692246,0.16301596541221242
JOINT_DOMESTIC_R22,core,10,full,80,0.471201911667749,0.35493462010531684,0.5182314810721478,0.38914691338186297
JOINT_DOMESTIC_R22,core,10,origins_2024plus,21,0.15155813303655288,0.12915514710275455,0.18052230248162376,0.1410020231734132
JOINT_DOMESTIC_R22,core,11,full,79,0.48990563413931487,0.37151195862807357,0.5075507106190856,0.3573352348515681
JOINT_DOMESTIC_R22,core,11,origins_2024plus,20,0.15276652820585765,0.12319880954003933,0.12802927497180988,0.09469939585292145
JOINT_DOMESTIC_R22,core,12,full,78,0.4983481299720853,0.383531077243234,0.5561358630583623,0.4127691427785338
JOINT_DOMESTIC_R22,core,12,origins_2024plus,19,0.1526777019601703,0.12892486978147374,0.1810876372353985,0.1393062192704262
JOINT_DOMESTIC_R22,housing,1,full,89,0.27423454998861374,0.20900304935980077,0.28180422264418664,0.22219391350944367
JOINT_DOMESTIC_R22,housing,1,origins_2024plus,30,0.17698854635126957,0.144600874914975,0.21668479880723635,0.17850044220840644
JOINT_DOMESTIC_R22,housing,2,full,88,0.30402207770357503,0.22521102548189126,0.3184993123125266,0.25263605659902
JOINT_DOMESTIC_R22,housing,2,origins_2024plus,29,0.16950991990793,0.13888106978061457,0.22114682209214434,0.18521211476036903
JOINT_DOMESTIC_R22,housing,3,full,87,0.31848381572224954,0.23282658357877492,0.33839154087143697,0.26710727331187534
JOINT_DOMESTIC_R22,housing,3,origins_2024plus,28,0.15303078061408973,0.12643393730513308,0.2058339250416759,0.1714961752521496
JOINT_DOMESTIC_R22,housing,4,full,86,0.32733341699808993,0.22894874776118138,0.35769666243288845,0.2739430512387704
JOINT_DOMESTIC_R22,housing,4,origins_2024plus,27,0.14857187902918834,0.11202636570429175,0.1967990166486848,0.1591593034153961
JOINT_DOMESTIC_R22,housing,5,full,85,0.33769841791593674,0.23101881232146307,0.38407597234977475,0.27920795928838804
JOINT_DOMESTIC_R22,housing,5,origins_2024plus,26,0.16526203637381764,0.11594516264273709,0.2374160931458005,0.15808936043478033
JOINT_DOMESTIC_R22,housing,6,full,84,0.3405748350044799,0.23898460015014542,0.37853159253280527,0.28256446585042494
JOINT_DOMESTIC_R22,housing,6,origins_2024plus,25,0.15132028860653454,0.11170329308874032,0.22429242218194786,0.1622622772821887
JOINT_DOMESTIC_R22,housing,7,full,83,0.3531535512053254,0.256115518658342,0.3900242076676699,0.30033730920300944
JOINT_DOMESTIC_R22,housing,7,origins_2024plus,24,0.14480238255285904,0.11260051274622933,0.2293000652485172,0.1718903518624665
JOINT_DOMESTIC_R22,housing,8,full,82,0.3656759551122429,0.26754216074515186,0.4099250755587455,0.319425013182415
JOINT_DOMESTIC_R22,housing,8,origins_2024plus,23,0.145631086741142,0.11526638883814823,0.24155077692948143,0.19759013328752012
JOINT_DOMESTIC_R22,housing,9,full,81,0.37386181577134736,0.2741736581866914,0.42674671620925836,0.3244971679535146
JOINT_DOMESTIC_R22,housing,9,origins_2024plus,22,0.14409209402767598,0.11554765137704105,0.21811825096449577,0.20077115401558318
JOINT_DOMESTIC_R22,housing,10,full,80,0.38221112566936427,0.2795107204917312,0.4368618861902293,0.3311758478265501
JOINT_DOMESTIC_R22,housing,10,origins_2024plus,21,0.13801154996739723,0.11129375255802622,0.17826322499485955,0.1433446652674364
JOINT_DOMESTIC_R22,housing,11,full,79,0.3932270045291868,0.29028074269142323,0.4402423652782953,0.31466707960448104
JOINT_DOMESTIC_R22,housing,11,origins_2024plus,20,0.1493112671471815,0.11922154577802246,0.25690683979184786,0.17734588051113692
JOINT_DOMESTIC_R22,housing,12,full,78,0.3997159758862292,0.2982405563076173,0.4804082898198111,0.3593126283631464
JOINT_DOMESTIC_R22,housing,12,origins_2024plus,19,0.14750791436387028,0.12338860743883934,0.24748042530869702,0.1967568461058514
JOINT_DOMESTIC_R22,ip,1,full,87,8.735278494417425,3.6829605880763054,9.393500707669514,4.629944062729715
JOINT_DOMESTIC_R22,ip,1,origins_2024plus,28,1.8602367292781445,1.5303278932832058,3.297003848620818,2.8525977549538206
JOINT_DOMESTIC_R22,ip,2,full,86,8.261010488651808,3.678814734821363,9.701145478992359,5.05022606786913
JOINT_DOMESTIC_R22,ip,2,origins_2024plus,27,1.8130572077314082,1.4422038878818688,3.2287951447972882,2.5499529861639556
JOINT_DOMESTIC_R22,ip,3,full,85,7.768263461037827,3.6434222641381733,9.49240115596564,4.806910415125894
JOINT_DOMESTIC_R22,ip,3,origins_2024plus,26,1.7132239742054098,1.3499979381037486,2.9848878070491005,2.3261225761540767
JOINT_DOMESTIC_R22,ip,4,full,84,7.565720467973524,3.59118516936011,9.206296899903677,4.905464289419127
JOINT_DOMESTIC_R22,ip,4,origins_2024plus,25,1.7959264008715912,1.4147016554932759,3.018553110217797,2.4565189723204943
JOINT_DOMESTIC_R22,ip,5,full,83,7.368169857551367,3.6071252462057877,8.988408775142107,4.788452653323909
