scope,metric,origin,target,h,model,benchmark,forecast,baseline,actual,loss_difference,absolute_loss_difference
all_models_common,headline_yy,2019-02,2019-03,1,STABLE_LOCAL_CORE_R14B,STATE_FAST_R15,2.9793691058545475,3.0053754316371775,2.969348659003822,-0.001197518991287284,-0.026006325782629958
all_models_common,headline_yy,2019-03,2019-04,1,STABLE_LOCAL_CORE_R14B,STATE_FAST_R15,2.939394510974609,2.9383756042254587,2.769818529130847,0.00034452605382528576,0.0010189067491501724
all_models_common,headline_yy,2019-04,2019-05,1,STABLE_LOCAL_CORE_R14B,STATE_FAST_R15,2.8641133104404206,2.824539189608261,2.9467680608364977,-0.008108089198691115,-0.03957412083215983
all_models_common,headline_yy,2019-05,2019-06,1,STABLE_LOCAL_CORE_R14B,STATE_FAST_R15,2.3215659186028157,2.2859173485581037,2.7462121212121224,-0.031546880342110395,-0.035648570044712
all_models_common,headline_yy,2019-06,2019-07,1,STABLE_LOCAL_CORE_R14B,STATE_FAST_R15,2.774996295897447,2.742571930308312,2.9300567107750517,-0.011106810644646605,-0.03242436558913475
all_models_common,headline_yy,2019-07,2019-08,1,STABLE_LOCAL_CORE_R14B,STATE_FAST_R15,2.9392415871467965,2.927660256316292,2.9272898961284195,0.00014270575152999264,0.011581330830504388
all_models_common,headline_yy,2019-08,2019-09,1,STABLE_LOCAL_CORE_R14B,STATE_FAST_R15,3.0727997751906053,3.165469266703939,2.6515151515151705,-0.08666809837411699,-0.09266949151333348
all_models_common,headline_yy,2019-09,2019-10,1,STABLE_LOCAL_CORE_R14B,STATE_FAST_R15,2.8076811254944958,2.8580404206188597,2.735849056603792,-0.009770883318743973,-0.05035929512436388
all_models_common,headline_yy,2019-10,2019-11,1,STABLE_LOCAL_CORE_R14B,STATE_FAST_R15,2.6418074012797983,2.5567300109087925,3.116147308781873,-0.08794936531054215,-0.08507739037100581
all_models_common,headline_yy,2019-11,2019-12,1,STABLE_LOCAL_CORE_R14B,STATE_FAST_R15,3.0178749590581253,3.007710093087798,3.207547169811327,-0.003959309701398739,-0.010164865970327508
all_models_common,headline_yy,2019-12,2020-01,1,STABLE_LOCAL_CORE_R14B,STATE_FAST_R15,2.8126840326858527,2.801914262667741,3.6414565826330487,-0.01796736746675376,-0.010769770018111746
all_models_common,headline_yy,2020-01,2020-02,1,STABLE_LOCAL_CORE_R14B,STATE_FAST_R15,3.1558692996652966,3.1240910708667537,3.7278657968313063,-0.037363926943385584,-0.03177822879854286
all_models_common,headline_yy,2020-02,2020-03,1,STABLE_LOCAL_CORE_R14B,STATE_FAST_R15,3.584109612888764,3.6493698220698354,3.4418604651162905,-0.02282531318127872,-0.06526020918107145
all_models_common,headline_yy,2020-03,2020-04,1,STABLE_LOCAL_CORE_R14B,STATE_FAST_R15,3.09074245552677,3.1813087519774,3.159851301115256,0.004315610341071859,0.047651394726341945
