scope,sample,h,model,n,direction_match_rate,actual_material_n,material_direction_hit_rate,material_calls_n,wrong_way_n,wrong_way_rate,wrong_way_share_of_calls
all_models_common,full,3,CORE_FEEDBACK_R21,87,0.4942528735632184,67,0.5522388059701493,64,13,0.19402985074626866,0.203125
all_models_common,full,3,DAMPED_P95_Q001_R16,87,0.4942528735632184,67,0.5522388059701493,65,14,0.208955223880597,0.2153846153846154
all_models_common,full,3,DUAL_FEEDBACK_R21,87,0.4942528735632184,67,0.5522388059701493,66,15,0.22388059701492538,0.22727272727272727
all_models_common,full,3,FOOD_FEEDBACK_R21,87,0.5057471264367817,67,0.5522388059701493,63,13,0.19402985074626866,0.20634920634920634
all_models_common,full,3,POOL_COMPLETE_R21,87,0.5057471264367817,67,0.5671641791044776,62,10,0.14925373134328357,0.16129032258064516
all_models_common,full,3,POOL_PARTIAL_R21,87,0.5057471264367817,67,0.5671641791044776,62,10,0.14925373134328357,0.16129032258064516
all_models_common,full,3,POOL_PRIOR_R21,87,0.5172413793103449,67,0.5522388059701493,61,12,0.1791044776119403,0.19672131147540983
all_models_common,full,3,STABLE_LOCAL_CORE_R14B,87,0.5517241379310345,67,0.5522388059701493,54,8,0.11940298507462686,0.14814814814814814
all_models_common,full,3,STATE_FAST_R15,87,0.5172413793103449,67,0.5522388059701493,60,11,0.16417910447761194,0.18333333333333332
all_models_common,full,6,CORE_FEEDBACK_R21,84,0.6071428571428571,70,0.6571428571428571,63,8,0.11428571428571428,0.12698412698412698
all_models_common,full,6,DAMPED_P95_Q001_R16,84,0.6071428571428571,70,0.6571428571428571,63,8,0.11428571428571428,0.12698412698412698
all_models_common,full,6,DUAL_FEEDBACK_R21,84,0.6071428571428571,70,0.6571428571428571,63,8,0.11428571428571428,0.12698412698412698
all_models_common,full,6,FOOD_FEEDBACK_R21,84,0.6071428571428571,70,0.6571428571428571,62,7,0.1,0.11290322580645161
all_models_common,full,6,POOL_COMPLETE_R21,84,0.6547619047619048,70,0.7,63,6,0.08571428571428572,0.09523809523809523
all_models_common,full,6,POOL_PARTIAL_R21,84,0.6666666666666666,70,0.7142857142857143,64,6,0.08571428571428572,0.09375
all_models_common,full,6,POOL_PRIOR_R21,84,0.6190476190476191,70,0.6571428571428571,60,6,0.08571428571428572,0.1
all_models_common,full,6,STABLE_LOCAL_CORE_R14B,84,0.7023809523809523,70,0.7285714285714285,60,3,0.04285714285714286,0.05
all_models_common,full,6,STATE_FAST_R15,84,0.5952380952380952,70,0.6428571428571429,61,7,0.1,0.11475409836065574
all_models_common,full,9,CORE_FEEDBACK_R21,81,0.5555555555555556,73,0.589041095890411,66,17,0.2328767123287671,0.25757575757575757
all_models_common,full,9,DAMPED_P95_Q001_R16,81,0.5679012345679012,73,0.6027397260273972,64,14,0.1917808219178082,0.21875
all_models_common,full,9,DUAL_FEEDBACK_R21,81,0.5432098765432098,73,0.5753424657534246,64,16,0.2191780821917808,0.25
all_models_common,full,9,FOOD_FEEDBACK_R21,81,0.5185185185185185,73,0.547945205479452,62,16,0.2191780821917808,0.25806451612903225
all_models_common,full,9,POOL_COMPLETE_R21,81,0.5925925925925926,73,0.6301369863013698,66,14,0.1917808219178082,0.21212121212121213
all_models_common,full,9,POOL_PARTIAL_R21,81,0.5925925925925926,73,0.6301369863013698,65,13,0.1780821917808219,0.2
all_models_common,full,9,POOL_PRIOR_R21,81,0.5555555555555556,73,0.589041095890411,63,14,0.1917808219178082,0.2222222222222222
all_models_common,full,9,STABLE_LOCAL_CORE_R14B,81,0.6172839506172839,73,0.6301369863013698,59,9,0.1232876712328767,0.15254237288135594
all_models_common,full,9,STATE_FAST_R15,81,0.5555555555555556,73,0.5753424657534246,65,18,0.2465753424657534,0.27692307692307694
all_models_common,full,12,CORE_FEEDBACK_R21,78,0.5897435897435898,68,0.6617647058823529,67,13,0.19117647058823528,0.19402985074626866
all_models_common,full,12,DAMPED_P95_Q001_R16,78,0.6153846153846154,68,0.6911764705882353,66,10,0.14705882352941177,0.15151515151515152
all_models_common,full,12,DUAL_FEEDBACK_R21,78,0.6025641025641025,68,0.6764705882352942,69,14,0.20588235294117646,0.2028985507246377
all_models_common,full,12,FOOD_FEEDBACK_R21,78,0.5641025641025641,68,0.6323529411764706,62,10,0.14705882352941177,0.16129032258064516
all_models_common,full,12,POOL_COMPLETE_R21,78,0.5897435897435898,68,0.6470588235294118,63,11,0.16176470588235295,0.1746031746031746
all_models_common,full,12,POOL_PARTIAL_R21,78,0.5897435897435898,68,0.6470588235294118,63,11,0.16176470588235295,0.1746031746031746
all_models_common,full,12,POOL_PRIOR_R21,78,0.5897435897435898,68,0.6470588235294118,60,8,0.11764705882352941,0.13333333333333333
all_models_common,full,12,STABLE_LOCAL_CORE_R14B,78,0.6025641025641025,68,0.6176470588235294,60,13,0.19117647058823528,0.21666666666666667
all_models_common,full,12,STATE_FAST_R15,78,0.5769230769230769,68,0.6470588235294118,63,10,0.14705882352941177,0.15873015873015872
all_models_common,origins_2019_2021,3,CORE_FEEDBACK_R21,35,0.42857142857142855,27,0.48148148148148145,25,6,0.2222222222222222,0.24
all_models_common,origins_2019_2021,3,DAMPED_P95_Q001_R16,35,0.42857142857142855,27,0.48148148148148145,25,6,0.2222222222222222,0.24
all_models_common,origins_2019_2021,3,DUAL_FEEDBACK_R21,35,0.42857142857142855,27,0.48148148148148145,26,7,0.25925925925925924,0.2692307692307692
all_models_common,origins_2019_2021,3,FOOD_FEEDBACK_R21,35,0.42857142857142855,27,0.48148148148148145,25,6,0.2222222222222222,0.24
all_models_common,origins_2019_2021,3,POOL_COMPLETE_R21,35,0.45714285714285713,27,0.5185185185185185,24,4,0.14814814814814814,0.16666666666666666
all_models_common,origins_2019_2021,3,POOL_PARTIAL_R21,35,0.45714285714285713,27,0.5185185185185185,24,4,0.14814814814814814,0.16666666666666666
all_models_common,origins_2019_2021,3,POOL_PRIOR_R21,35,0.42857142857142855,27,0.48148148148148145,25,6,0.2222222222222222,0.24
all_models_common,origins_2019_2021,3,STABLE_LOCAL_CORE_R14B,35,0.5142857142857142,27,0.5185185185185185,21,3,0.1111111111111111,0.14285714285714285
all_models_common,origins_2019_2021,3,STATE_FAST_R15,35,0.42857142857142855,27,0.48148148148148145,25,6,0.2222222222222222,0.24
all_models_common,origins_2019_2021,6,CORE_FEEDBACK_R21,35,0.37142857142857144,27,0.4444444444444444,24,5,0.18518518518518517,0.20833333333333334
all_models_common,origins_2019_2021,6,DAMPED_P95_Q001_R16,35,0.37142857142857144,27,0.4444444444444444,24,5,0.18518518518518517,0.20833333333333334
all_models_common,origins_2019_2021,6,DUAL_FEEDBACK_R21,35,0.37142857142857144,27,0.4444444444444444,24,5,0.18518518518518517,0.20833333333333334
all_models_common,origins_2019_2021,6,FOOD_FEEDBACK_R21,35,0.4,27,0.48148148148148145,25,5,0.18518518518518517,0.2
all_models_common,origins_2019_2021,6,POOL_COMPLETE_R21,35,0.5142857142857142,27,0.5925925925925926,26,4,0.14814814814814814,0.15384615384615385
all_models_common,origins_2019_2021,6,POOL_PARTIAL_R21,35,0.5142857142857142,27,0.5925925925925926,26,4,0.14814814814814814,0.15384615384615385
all_models_common,origins_2019_2021,6,POOL_PRIOR_R21,35,0.45714285714285713,27,0.5185185185185185,24,4,0.14814814814814814,0.16666666666666666
all_models_common,origins_2019_2021,6,STABLE_LOCAL_CORE_R14B,35,0.6571428571428571,27,0.7037037037037037,24,1,0.037037037037037035,0.041666666666666664
all_models_common,origins_2019_2021,6,STATE_FAST_R15,35,0.4,27,0.48148148148148145,25,5,0.18518518518518517,0.2
all_models_common,origins_2019_2021,9,CORE_FEEDBACK_R21,35,0.4,32,0.4375,28,11,0.34375,0.39285714285714285
all_models_common,origins_2019_2021,9,DAMPED_P95_Q001_R16,35,0.42857142857142855,32,0.46875,29,11,0.34375,0.3793103448275862
all_models_common,origins_2019_2021,9,DUAL_FEEDBACK_R21,35,0.37142857142857144,32,0.40625,27,11,0.34375,0.4074074074074074
all_models_common,origins_2019_2021,9,FOOD_FEEDBACK_R21,35,0.37142857142857144,32,0.40625,27,11,0.34375,0.4074074074074074
all_models_common,origins_2019_2021,9,POOL_COMPLETE_R21,35,0.4857142857142857,32,0.53125,28,8,0.25,0.2857142857142857
all_models_common,origins_2019_2021,9,POOL_PARTIAL_R21,35,0.4857142857142857,32,0.53125,28,8,0.25,0.2857142857142857
all_models_common,origins_2019_2021,9,POOL_PRIOR_R21,35,0.42857142857142855,32,0.46875,27,9,0.28125,0.3333333333333333
all_models_common,origins_2019_2021,9,STABLE_LOCAL_CORE_R14B,35,0.5142857142857142,32,0.5625,26,5,0.15625,0.19230769230769232
all_models_common,origins_2019_2021,9,STATE_FAST_R15,35,0.42857142857142855,32,0.46875,29,11,0.34375,0.3793103448275862
all_models_common,origins_2019_2021,12,CORE_FEEDBACK_R21,35,0.45714285714285713,30,0.5333333333333333,28,7,0.23333333333333334,0.25
all_models_common,origins_2019_2021,12,DAMPED_P95_Q001_R16,35,0.45714285714285713,30,0.5333333333333333,27,6,0.2,0.2222222222222222
all_models_common,origins_2019_2021,12,DUAL_FEEDBACK_R21,35,0.45714285714285713,30,0.5333333333333333,29,8,0.26666666666666666,0.27586206896551724
all_models_common,origins_2019_2021,12,FOOD_FEEDBACK_R21,35,0.45714285714285713,30,0.5333333333333333,28,7,0.23333333333333334,0.25
all_models_common,origins_2019_2021,12,POOL_COMPLETE_R21,35,0.42857142857142855,30,0.5,24,4,0.13333333333333333,0.16666666666666666
all_models_common,origins_2019_2021,12,POOL_PARTIAL_R21,35,0.42857142857142855,30,0.5,24,4,0.13333333333333333,0.16666666666666666
all_models_common,origins_2019_2021,12,POOL_PRIOR_R21,35,0.4857142857142857,30,0.5666666666666667,27,5,0.16666666666666666,0.18518518518518517
all_models_common,origins_2019_2021,12,STABLE_LOCAL_CORE_R14B,35,0.4857142857142857,30,0.4666666666666667,25,9,0.3,0.36
all_models_common,origins_2019_2021,12,STATE_FAST_R15,35,0.4857142857142857,30,0.5666666666666667,28,6,0.2,0.21428571428571427
all_models_common,origins_2022_2023,3,CORE_FEEDBACK_R21,24,0.75,24,0.75,22,4,0.16666666666666666,0.18181818181818182
all_models_common,origins_2022_2023,3,DAMPED_P95_Q001_R16,24,0.75,24,0.75,22,4,0.16666666666666666,0.18181818181818182
all_models_common,origins_2022_2023,3,DUAL_FEEDBACK_R21,24,0.75,24,0.75,22,4,0.16666666666666666,0.18181818181818182
all_models_common,origins_2022_2023,3,FOOD_FEEDBACK_R21,24,0.75,24,0.75,22,4,0.16666666666666666,0.18181818181818182
all_models_common,origins_2022_2023,3,POOL_COMPLETE_R21,24,0.75,24,0.75,22,4,0.16666666666666666,0.18181818181818182
all_models_common,origins_2022_2023,3,POOL_PARTIAL_R21,24,0.75,24,0.75,22,4,0.16666666666666666,0.18181818181818182
all_models_common,origins_2022_2023,3,POOL_PRIOR_R21,24,0.75,24,0.75,22,4,0.16666666666666666,0.18181818181818182
all_models_common,origins_2022_2023,3,STABLE_LOCAL_CORE_R14B,24,0.7083333333333334,24,0.7083333333333334,21,4,0.16666666666666666,0.19047619047619047
all_models_common,origins_2022_2023,3,STATE_FAST_R15,24,0.75,24,0.75,22,4,0.16666666666666666,0.18181818181818182
all_models_common,origins_2022_2023,6,CORE_FEEDBACK_R21,24,0.9166666666666666,23,0.9565217391304348,24,1,0.043478260869565216,0.041666666666666664
all_models_common,origins_2022_2023,6,DAMPED_P95_Q001_R16,24,0.9166666666666666,23,0.9565217391304348,24,1,0.043478260869565216,0.041666666666666664
all_models_common,origins_2022_2023,6,DUAL_FEEDBACK_R21,24,0.9166666666666666,23,0.9565217391304348,24,1,0.043478260869565216,0.041666666666666664
all_models_common,origins_2022_2023,6,FOOD_FEEDBACK_R21,24,0.9166666666666666,23,0.9565217391304348,24,1,0.043478260869565216,0.041666666666666664
all_models_common,origins_2022_2023,6,POOL_COMPLETE_R21,24,0.875,23,0.9130434782608695,23,1,0.043478260869565216,0.043478260869565216
all_models_common,origins_2022_2023,6,POOL_PARTIAL_R21,24,0.9166666666666666,23,0.9565217391304348,24,1,0.043478260869565216,0.041666666666666664
all_models_common,origins_2022_2023,6,POOL_PRIOR_R21,24,0.875,23,0.9130434782608695,23,1,0.043478260869565216,0.043478260869565216
all_models_common,origins_2022_2023,6,STABLE_LOCAL_CORE_R14B,24,0.875,23,0.9130434782608695,23,1,0.043478260869565216,0.043478260869565216
all_models_common,origins_2022_2023,6,STATE_FAST_R15,24,0.875,23,0.9130434782608695,23,1,0.043478260869565216,0.043478260869565216
all_models_common,origins_2022_2023,9,CORE_FEEDBACK_R21,24,0.9166666666666666,24,0.9166666666666666,24,2,0.08333333333333333,0.08333333333333333
all_models_common,origins_2022_2023,9,DAMPED_P95_Q001_R16,24,0.9166666666666666,24,0.9166666666666666,23,1,0.041666666666666664,0.043478260869565216
all_models_common,origins_2022_2023,9,DUAL_FEEDBACK_R21,24,0.9166666666666666,24,0.9166666666666666,23,1,0.041666666666666664,0.043478260869565216
all_models_common,origins_2022_2023,9,FOOD_FEEDBACK_R21,24,0.9166666666666666,24,0.9166666666666666,24,2,0.08333333333333333,0.08333333333333333
all_models_common,origins_2022_2023,9,POOL_COMPLETE_R21,24,0.9166666666666666,24,0.9166666666666666,24,2,0.08333333333333333,0.08333333333333333
all_models_common,origins_2022_2023,9,POOL_PARTIAL_R21,24,0.9166666666666666,24,0.9166666666666666,24,2,0.08333333333333333,0.08333333333333333
all_models_common,origins_2022_2023,9,POOL_PRIOR_R21,24,0.9166666666666666,24,0.9166666666666666,24,2,0.08333333333333333,0.08333333333333333
all_models_common,origins_2022_2023,9,STABLE_LOCAL_CORE_R14B,24,0.9166666666666666,24,0.9166666666666666,24,2,0.08333333333333333,0.08333333333333333
all_models_common,origins_2022_2023,9,STATE_FAST_R15,24,0.9166666666666666,24,0.9166666666666666,24,2,0.08333333333333333,0.08333333333333333
all_models_common,origins_2022_2023,12,CORE_FEEDBACK_R21,24,0.875,23,0.9130434782608695,24,2,0.08695652173913043,0.08333333333333333
all_models_common,origins_2022_2023,12,DAMPED_P95_Q001_R16,24,0.875,23,0.9130434782608695,23,1,0.043478260869565216,0.043478260869565216
all_models_common,origins_2022_2023,12,DUAL_FEEDBACK_R21,24,0.875,23,0.9130434782608695,24,2,0.08695652173913043,0.08333333333333333
all_models_common,origins_2022_2023,12,FOOD_FEEDBACK_R21,24,0.875,23,0.9130434782608695,24,2,0.08695652173913043,0.08333333333333333
all_models_common,origins_2022_2023,12,POOL_COMPLETE_R21,24,0.8333333333333334,23,0.8695652173913043,24,3,0.13043478260869565,0.125
all_models_common,origins_2022_2023,12,POOL_PARTIAL_R21,24,0.8333333333333334,23,0.8695652173913043,24,3,0.13043478260869565,0.125
all_models_common,origins_2022_2023,12,POOL_PRIOR_R21,24,0.875,23,0.9130434782608695,24,2,0.08695652173913043,0.08333333333333333
all_models_common,origins_2022_2023,12,STABLE_LOCAL_CORE_R14B,24,0.8333333333333334,23,0.8695652173913043,24,3,0.13043478260869565,0.125
all_models_common,origins_2022_2023,12,STATE_FAST_R15,24,0.875,23,0.9130434782608695,24,2,0.08695652173913043,0.08333333333333333
all_models_common,origins_2024plus,3,CORE_FEEDBACK_R21,28,0.35714285714285715,16,0.375,17,3,0.1875,0.17647058823529413
all_models_common,origins_2024plus,3,DAMPED_P95_Q001_R16,28,0.35714285714285715,16,0.375,18,4,0.25,0.2222222222222222
all_models_common,origins_2024plus,3,DUAL_FEEDBACK_R21,28,0.35714285714285715,16,0.375,18,4,0.25,0.2222222222222222
all_models_common,origins_2024plus,3,FOOD_FEEDBACK_R21,28,0.39285714285714285,16,0.375,16,3,0.1875,0.1875
all_models_common,origins_2024plus,3,POOL_COMPLETE_R21,28,0.35714285714285715,16,0.375,16,2,0.125,0.125
all_models_common,origins_2024plus,3,POOL_PARTIAL_R21,28,0.35714285714285715,16,0.375,16,2,0.125,0.125
all_models_common,origins_2024plus,3,POOL_PRIOR_R21,28,0.42857142857142855,16,0.375,14,2,0.125,0.14285714285714285
all_models_common,origins_2024plus,3,STABLE_LOCAL_CORE_R14B,28,0.4642857142857143,16,0.375,12,1,0.0625,0.08333333333333333
all_models_common,origins_2024plus,3,STATE_FAST_R15,28,0.42857142857142855,16,0.375,13,1,0.0625,0.07692307692307693
all_models_common,origins_2024plus,6,CORE_FEEDBACK_R21,25,0.64,20,0.6,15,2,0.1,0.13333333333333333
all_models_common,origins_2024plus,6,DAMPED_P95_Q001_R16,25,0.64,20,0.6,15,2,0.1,0.13333333333333333
all_models_common,origins_2024plus,6,DUAL_FEEDBACK_R21,25,0.64,20,0.6,15,2,0.1,0.13333333333333333
all_models_common,origins_2024plus,6,FOOD_FEEDBACK_R21,25,0.6,20,0.55,13,1,0.05,0.07692307692307693
all_models_common,origins_2024plus,6,POOL_COMPLETE_R21,25,0.64,20,0.6,14,1,0.05,0.07142857142857142
all_models_common,origins_2024plus,6,POOL_PARTIAL_R21,25,0.64,20,0.6,14,1,0.05,0.07142857142857142
all_models_common,origins_2024plus,6,POOL_PRIOR_R21,25,0.6,20,0.55,13,1,0.05,0.07692307692307693
all_models_common,origins_2024plus,6,STABLE_LOCAL_CORE_R14B,25,0.6,20,0.55,13,1,0.05,0.07692307692307693
all_models_common,origins_2024plus,6,STATE_FAST_R15,25,0.6,20,0.55,13,1,0.05,0.07692307692307693
all_models_common,origins_2024plus,9,CORE_FEEDBACK_R21,22,0.4090909090909091,17,0.4117647058823529,14,4,0.23529411764705882,0.2857142857142857
all_models_common,origins_2024plus,9,DAMPED_P95_Q001_R16,22,0.4090909090909091,17,0.4117647058823529,12,2,0.11764705882352941,0.16666666666666666
all_models_common,origins_2024plus,9,DUAL_FEEDBACK_R21,22,0.4090909090909091,17,0.4117647058823529,14,4,0.23529411764705882,0.2857142857142857
all_models_common,origins_2024plus,9,FOOD_FEEDBACK_R21,22,0.3181818181818182,17,0.29411764705882354,11,3,0.17647058823529413,0.2727272727272727
all_models_common,origins_2024plus,9,POOL_COMPLETE_R21,22,0.4090909090909091,17,0.4117647058823529,14,4,0.23529411764705882,0.2857142857142857
all_models_common,origins_2024plus,9,POOL_PARTIAL_R21,22,0.4090909090909091,17,0.4117647058823529,13,3,0.17647058823529413,0.23076923076923078
all_models_common,origins_2024plus,9,POOL_PRIOR_R21,22,0.36363636363636365,17,0.35294117647058826,12,3,0.17647058823529413,0.25
all_models_common,origins_2024plus,9,STABLE_LOCAL_CORE_R14B,22,0.45454545454545453,17,0.35294117647058826,9,2,0.11764705882352941,0.2222222222222222
all_models_common,origins_2024plus,9,STATE_FAST_R15,22,0.36363636363636365,17,0.29411764705882354,12,5,0.29411764705882354,0.4166666666666667
all_models_common,origins_2024plus,12,CORE_FEEDBACK_R21,19,0.47368421052631576,15,0.5333333333333333,15,4,0.26666666666666666,0.26666666666666666
all_models_common,origins_2024plus,12,DAMPED_P95_Q001_R16,19,0.5789473684210527,15,0.6666666666666666,16,3,0.2,0.1875
all_models_common,origins_2024plus,12,DUAL_FEEDBACK_R21,19,0.5263157894736842,15,0.6,16,4,0.26666666666666666,0.25
all_models_common,origins_2024plus,12,FOOD_FEEDBACK_R21,19,0.3684210526315789,15,0.4,10,1,0.06666666666666667,0.1
all_models_common,origins_2024plus,12,POOL_COMPLETE_R21,19,0.5789473684210527,15,0.6,15,4,0.26666666666666666,0.26666666666666666
all_models_common,origins_2024plus,12,POOL_PARTIAL_R21,19,0.5789473684210527,15,0.6,15,4,0.26666666666666666,0.26666666666666666
all_models_common,origins_2024plus,12,POOL_PRIOR_R21,19,0.42105263157894735,15,0.4,9,1,0.06666666666666667,0.1111111111111111
all_models_common,origins_2024plus,12,STABLE_LOCAL_CORE_R14B,19,0.5263157894736842,15,0.5333333333333333,11,1,0.06666666666666667,0.09090909090909091
all_models_common,origins_2024plus,12,STATE_FAST_R15,19,0.3684210526315789,15,0.4,11,2,0.13333333333333333,0.18181818181818182
all_models_common,recent_targets,3,CORE_FEEDBACK_R21,31,0.41935483870967744,19,0.47368421052631576,20,3,0.15789473684210525,0.15
all_models_common,recent_targets,3,DAMPED_P95_Q001_R16,31,0.41935483870967744,19,0.47368421052631576,21,4,0.21052631578947367,0.19047619047619047
all_models_common,recent_targets,3,DUAL_FEEDBACK_R21,31,0.41935483870967744,19,0.47368421052631576,21,4,0.21052631578947367,0.19047619047619047
all_models_common,recent_targets,3,FOOD_FEEDBACK_R21,31,0.45161290322580644,19,0.47368421052631576,19,3,0.15789473684210525,0.15789473684210525
all_models_common,recent_targets,3,POOL_COMPLETE_R21,31,0.41935483870967744,19,0.47368421052631576,19,2,0.10526315789473684,0.10526315789473684
all_models_common,recent_targets,3,POOL_PARTIAL_R21,31,0.41935483870967744,19,0.47368421052631576,19,2,0.10526315789473684,0.10526315789473684
all_models_common,recent_targets,3,POOL_PRIOR_R21,31,0.4838709677419355,19,0.47368421052631576,17,2,0.10526315789473684,0.11764705882352941
all_models_common,recent_targets,3,STABLE_LOCAL_CORE_R14B,31,0.5161290322580645,19,0.47368421052631576,15,1,0.05263157894736842,0.06666666666666667
all_models_common,recent_targets,3,STATE_FAST_R15,31,0.4838709677419355,19,0.47368421052631576,16,1,0.05263157894736842,0.0625
all_models_common,recent_targets,6,CORE_FEEDBACK_R21,31,0.7096774193548387,26,0.6923076923076923,21,2,0.07692307692307693,0.09523809523809523
all_models_common,recent_targets,6,DAMPED_P95_Q001_R16,31,0.7096774193548387,26,0.6923076923076923,21,2,0.07692307692307693,0.09523809523809523
all_models_common,recent_targets,6,DUAL_FEEDBACK_R21,31,0.7096774193548387,26,0.6923076923076923,21,2,0.07692307692307693,0.09523809523809523
all_models_common,recent_targets,6,FOOD_FEEDBACK_R21,31,0.6774193548387096,26,0.6538461538461539,19,1,0.038461538461538464,0.05263157894736842
