clock,report_date,cutoff_date,quarter,quarters_ahead,origin,as_of_utc,included,actual_complete,missing_models,n_models_available,reason
report,2022-11-10,2022-10-21,2024Q1,6,2022-10,2022-11-09 22:59:00+00:00,False,True,STATE_FAST_R15|STABLE_LOCAL_CORE_R14B|DAMPED_P95_Q001_R16|CORE_FEEDBACK_R21|DUAL_FEEDBACK_R21|FOOD_FEEDBACK_R21|POOL_COMPLETE_R21|POOL_PARTIAL_R21|POOL_PRIOR_R21,0,incomplete_model_quarter
report,2022-11-10,2022-10-21,2024Q2,7,2022-10,2022-11-09 22:59:00+00:00,False,True,STATE_FAST_R15|STABLE_LOCAL_CORE_R14B|DAMPED_P95_Q001_R16|CORE_FEEDBACK_R21|DUAL_FEEDBACK_R21|FOOD_FEEDBACK_R21|POOL_COMPLETE_R21|POOL_PARTIAL_R21|POOL_PRIOR_R21,0,incomplete_model_quarter
report,2022-11-10,2022-10-21,2024Q3,8,2022-10,2022-11-09 22:59:00+00:00,False,True,STATE_FAST_R15|STABLE_LOCAL_CORE_R14B|DAMPED_P95_Q001_R16|CORE_FEEDBACK_R21|DUAL_FEEDBACK_R21|FOOD_FEEDBACK_R21|POOL_COMPLETE_R21|POOL_PARTIAL_R21|POOL_PRIOR_R21,0,incomplete_model_quarter
report,2022-11-10,2022-10-21,2024Q4,9,2022-10,2022-11-09 22:59:00+00:00,False,True,STATE_FAST_R15|STABLE_LOCAL_CORE_R14B|DAMPED_P95_Q001_R16|CORE_FEEDBACK_R21|DUAL_FEEDBACK_R21|FOOD_FEEDBACK_R21|POOL_COMPLETE_R21|POOL_PARTIAL_R21|POOL_PRIOR_R21,0,incomplete_model_quarter
cutoff,2022-11-10,2022-10-21,2022Q4,1,2022-09,2022-10-10 21:59:00+00:00,True,True,,9,included
cutoff,2022-11-10,2022-10-21,2023Q1,2,2022-09,2022-10-10 21:59:00+00:00,True,True,,9,included
cutoff,2022-11-10,2022-10-21,2023Q2,3,2022-09,2022-10-10 21:59:00+00:00,True,True,,9,included
cutoff,2022-11-10,2022-10-21,2023Q3,4,2022-09,2022-10-10 21:59:00+00:00,True,True,,9,included
cutoff,2022-11-10,2022-10-21,2023Q4,5,2022-09,2022-10-10 21:59:00+00:00,False,True,STATE_FAST_R15|STABLE_LOCAL_CORE_R14B|DAMPED_P95_Q001_R16|CORE_FEEDBACK_R21|DUAL_FEEDBACK_R21|FOOD_FEEDBACK_R21|POOL_COMPLETE_R21|POOL_PARTIAL_R21|POOL_PRIOR_R21,0,incomplete_model_quarter
cutoff,2022-11-10,2022-10-21,2024Q1,6,2022-09,2022-10-10 21:59:00+00:00,False,True,STATE_FAST_R15|STABLE_LOCAL_CORE_R14B|DAMPED_P95_Q001_R16|CORE_FEEDBACK_R21|DUAL_FEEDBACK_R21|FOOD_FEEDBACK_R21|POOL_COMPLETE_R21|POOL_PARTIAL_R21|POOL_PRIOR_R21,0,incomplete_model_quarter
cutoff,2022-11-10,2022-10-21,2024Q2,7,2022-09,2022-10-10 21:59:00+00:00,False,True,STATE_FAST_R15|STABLE_LOCAL_CORE_R14B|DAMPED_P95_Q001_R16|CORE_FEEDBACK_R21|DUAL_FEEDBACK_R21|FOOD_FEEDBACK_R21|POOL_COMPLETE_R21|POOL_PARTIAL_R21|POOL_PRIOR_R21,0,incomplete_model_quarter
cutoff,2022-11-10,2022-10-21,2024Q3,8,2022-09,2022-10-10 21:59:00+00:00,False,True,STATE_FAST_R15|STABLE_LOCAL_CORE_R14B|DAMPED_P95_Q001_R16|CORE_FEEDBACK_R21|DUAL_FEEDBACK_R21|FOOD_FEEDBACK_R21|POOL_COMPLETE_R21|POOL_PARTIAL_R21|POOL_PRIOR_R21,0,incomplete_model_quarter
cutoff,2022-11-10,2022-10-21,2024Q4,9,2022-09,2022-10-10 21:59:00+00:00,False,True,STATE_FAST_R15|STABLE_LOCAL_CORE_R14B|DAMPED_P95_Q001_R16|CORE_FEEDBACK_R21|DUAL_FEEDBACK_R21|FOOD_FEEDBACK_R21|POOL_COMPLETE_R21|POOL_PARTIAL_R21|POOL_PRIOR_R21,0,incomplete_model_quarter
report,2023-02-09,2023-01-20,2023Q1,1,2022-12,2023-01-10 22:59:00+00:00,True,True,,9,included
report,2023-02-09,2023-01-20,2023Q2,2,2022-12,2023-01-10 22:59:00+00:00,True,True,,9,included
report,2023-02-09,2023-01-20,2023Q3,3,2022-12,2023-01-10 22:59:00+00:00,True,True,,9,included
report,2023-02-09,2023-01-20,2023Q4,4,2022-12,2023-01-10 22:59:00+00:00,True,True,,9,included
report,2023-02-09,2023-01-20,2024Q1,5,2022-12,2023-01-10 22:59:00+00:00,False,True,STATE_FAST_R15|STABLE_LOCAL_CORE_R14B|DAMPED_P95_Q001_R16|CORE_FEEDBACK_R21|DUAL_FEEDBACK_R21|FOOD_FEEDBACK_R21|POOL_COMPLETE_R21|POOL_PARTIAL_R21|POOL_PRIOR_R21,0,incomplete_model_quarter
report,2023-02-09,2023-01-20,2024Q2,6,2022-12,2023-01-10 22:59:00+00:00,False,True,STATE_FAST_R15|STABLE_LOCAL_CORE_R14B|DAMPED_P95_Q001_R16|CORE_FEEDBACK_R21|DUAL_FEEDBACK_R21|FOOD_FEEDBACK_R21|POOL_COMPLETE_R21|POOL_PARTIAL_R21|POOL_PRIOR_R21,0,incomplete_model_quarter
