metric,model,reference,h,sample,n,block,draws,seed,mean_loss_difference,bootstrap_mean,ci_low,ci_high,bootstrap_probability_improvement,status
headline_yy,FOOD_ECM_R27,STATE_FAST_R15,1,full,88,12.0,2000,1509,-0.0003698273289343589,-0.0006171504349400318,-0.020266876079343007,0.02285337734082559,0.553,ok
headline_yy,CORE_LEVELPHASE_FIXED040_R29B,STATE_FAST_R15,1,full,88,12.0,2000,1509,0.026873971004566042,0.02665719659123367,-0.030141768924236822,0.11919243582816667,0.348,ok
headline_yy,CORE_LEVELPHASE_FIXED060_R29B,STATE_FAST_R15,1,full,88,12.0,2000,1509,0.017031680201356238,0.016797222126578363,-0.02692910545129117,0.08570809016798298,0.3545,ok
headline_yy,CORE_LEVELPHASE_FIXED080_R29B,STATE_FAST_R15,1,full,88,12.0,2000,1509,0.00794970998797104,0.007705061922340648,-0.0239685964879663,0.05323525258764489,0.3965,ok
headline_yy,CORE_LEVELPHASE_PANEL_R29B,STATE_FAST_R15,1,full,88,12.0,2000,1509,0.07178093049990221,0.0723344130325694,-0.018267758901841985,0.2119407991808763,0.112,ok
headline_yy,FOOD_ECM_R27,STATE_FAST_R15,1,origins_2024plus,30,6.0,2000,1509,-0.002162790092658283,-0.0022148209364601106,-0.008304060646280705,0.0039341097749706665,0.765,ok
headline_yy,CORE_LEVELPHASE_FIXED040_R29B,STATE_FAST_R15,1,origins_2024plus,30,6.0,2000,1509,-0.003700676910052243,-0.0036917160934661366,-0.01071618561577231,0.003610752570002729,0.845,ok
headline_yy,CORE_LEVELPHASE_FIXED060_R29B,STATE_FAST_R15,1,origins_2024plus,30,6.0,2000,1509,-0.003280914372257533,-0.0032917159011525508,-0.009964330864117042,0.0034933803223808017,0.8345,ok
headline_yy,CORE_LEVELPHASE_FIXED080_R29B,STATE_FAST_R15,1,origins_2024plus,30,6.0,2000,1509,-0.002768302909143904,-0.002799434853641907,-0.00920564827163778,0.003671896016454929,0.807,ok
headline_yy,CORE_LEVELPHASE_PANEL_R29B,STATE_FAST_R15,1,origins_2024plus,30,6.0,2000,1509,-0.005252036768823965,-0.005252839132937916,-0.010798527492661877,-0.00010075789246885424,0.977,ok
core_cumulative_log,FOOD_ECM_R27,STATE_FAST_R15,1,full,88,12.0,2000,1509,0.0,0.0,0.0,0.0,0.0,ok
core_cumulative_log,CORE_LEVELPHASE_FIXED040_R29B,STATE_FAST_R15,1,full,88,12.0,2000,1509,-0.014517479649644406,-0.014602841959358414,-0.029760132799099767,-0.002956333230909054,0.9975,ok
core_cumulative_log,CORE_LEVELPHASE_FIXED060_R29B,STATE_FAST_R15,1,full,88,12.0,2000,1509,-0.011807181470659246,-0.01187980702505006,-0.024336815639992133,-0.0025425512077259247,0.998,ok
core_cumulative_log,CORE_LEVELPHASE_FIXED080_R29B,STATE_FAST_R15,1,full,88,12.0,2000,1509,-0.006968021587444445,-0.007012193038597253,-0.014481901158645134,-0.0015065341899527566,0.999,ok
core_cumulative_log,CORE_LEVELPHASE_PANEL_R29B,STATE_FAST_R15,1,full,88,12.0,2000,1509,0.03762238041335469,0.03797525051253361,-0.02908377654092709,0.14215343474817432,0.2185,ok
core_cumulative_log,FOOD_ECM_R27,STATE_FAST_R15,1,origins_2024plus,30,6.0,2000,1509,0.0,0.0,0.0,0.0,0.0,ok
core_cumulative_log,CORE_LEVELPHASE_FIXED040_R29B,STATE_FAST_R15,1,origins_2024plus,30,6.0,2000,1509,-0.003768143054709001,-0.003733924662662466,-0.008583228856628218,0.0005592063421937718,0.9525,ok
core_cumulative_log,CORE_LEVELPHASE_FIXED060_R29B,STATE_FAST_R15,1,origins_2024plus,30,6.0,2000,1509,-0.0028216626928475874,-0.0027968964396800854,-0.006145880007436993,0.00012520483971064243,0.968,ok
core_cumulative_log,CORE_LEVELPHASE_FIXED080_R29B,STATE_FAST_R15,1,origins_2024plus,30,6.0,2000,1509,-0.0015656150079445925,-0.0015522548854592685,-0.0032818673262969217,-4.404571992739715e-05,0.978,ok
core_cumulative_log,CORE_LEVELPHASE_PANEL_R29B,STATE_FAST_R15,1,origins_2024plus,30,6.0,2000,1509,-0.004103568552261179,-0.004072517542113422,-0.008325740113682343,-0.0005220041891311318,0.991,ok
headline_yy,FOOD_ECM_R27,STATE_FAST_R15,2,full,86,12.0,2000,1509,-0.004443742354991465,-0.004870579312855125,-0.060042287553214065,0.06050229550683815,0.586,ok
headline_yy,CORE_LEVELPHASE_FIXED040_R29B,STATE_FAST_R15,2,full,86,12.0,2000,1509,0.03798307932324528,0.03732879562832223,-0.09635956906464382,0.23793999415332157,0.3805,ok
headline_yy,CORE_LEVELPHASE_FIXED060_R29B,STATE_FAST_R15,2,full,86,12.0,2000,1509,0.02076796886896449,0.02015432445139318,-0.0858537254152251,0.17252452223867296,0.4145,ok
headline_yy,CORE_LEVELPHASE_FIXED080_R29B,STATE_FAST_R15,2,full,86,12.0,2000,1509,0.00662130939296136,0.006083429855068821,-0.07376113796231754,0.11374717067360464,0.4785,ok
headline_yy,CORE_LEVELPHASE_PANEL_R29B,STATE_FAST_R15,2,full,86,12.0,2000,1509,0.2704343805558292,0.27222161387616994,-0.05424545452827493,0.7523703572126323,0.0965,ok
headline_yy,FOOD_ECM_R27,STATE_FAST_R15,2,origins_2024plus,29,6.0,2000,1509,-0.005960497352267605,-0.006213995095807665,-0.03236996198107361,0.017917222921993638,0.699,ok
headline_yy,CORE_LEVELPHASE_FIXED040_R29B,STATE_FAST_R15,2,origins_2024plus,29,6.0,2000,1509,-0.014825058359926981,-0.015011757138098774,-0.03946847913222052,0.007938308006259186,0.8965,ok
headline_yy,CORE_LEVELPHASE_FIXED060_R29B,STATE_FAST_R15,2,origins_2024plus,29,6.0,2000,1509,-0.012255946442380422,-0.012463892739622878,-0.036938391111142437,0.00950489626752593,0.866,ok
headline_yy,CORE_LEVELPHASE_FIXED080_R29B,STATE_FAST_R15,2,origins_2024plus,29,6.0,2000,1509,-0.009301204283992984,-0.009531416602241702,-0.034631962221997444,0.01274644604901768,0.8025,ok
