threshold,clock,model,sample,n,reports,actual_direction_hits,material_gains,material_losses,mean_abs_gain,median_capture,median_relative_abs_gain,overshoot_beyond_twice
0.5,cutoff,CORE_LEVELPHASE_FIXED040_R29B,full,25,13,17,16,5,0.5186920639818535,0.37377334836247006,0.37377334836247006,0
0.5,cutoff,CORE_LEVELPHASE_FIXED040_R29B,reports_2024plus,8,6,6,5,0,0.17150029352039523,0.34890577884928686,0.34890577884928686,0
0.5,cutoff,CORE_LEVELPHASE_FIXED060_R29B,full,25,13,16,15,6,0.4913988782657136,0.355069868035572,0.355069868035572,0
0.5,cutoff,CORE_LEVELPHASE_FIXED060_R29B,reports_2024plus,8,6,5,5,1,0.15114795271611509,0.3401777591411623,0.3401777591411623,0
0.5,cutoff,CORE_LEVELPHASE_FIXED080_R29B,full,25,13,15,15,6,0.4568719473975679,0.3412545289811598,0.3412545289811598,0
0.5,cutoff,CORE_LEVELPHASE_FIXED080_R29B,reports_2024plus,8,6,5,5,1,0.1307745943631898,0.3257414605943108,0.3257414605943108,0
0.5,cutoff,CORE_LEVELPHASE_PANEL_R29B,full,25,13,15,13,8,-0.25505546274324714,0.11372688495915786,0.11372688495915786,0
0.5,cutoff,CORE_LEVELPHASE_PANEL_R29B,reports_2024plus,8,6,6,5,0,0.1682131111237872,0.35360242325795593,0.35360242325795593,0
0.5,cutoff,FOOD_ECM_R27,full,25,13,15,15,8,0.42099634496767036,0.35722503280083795,0.35722503280083795,0
0.5,cutoff,FOOD_ECM_R27,reports_2024plus,8,6,5,5,2,0.11038019558501427,0.31129562517500053,0.31129562517500053,0
0.5,cutoff,STATE_FAST_R15,full,25,13,16,13,8,0.3378968743428,0.3269106084794735,0.11433610877962301,0
0.5,cutoff,STATE_FAST_R15,reports_2024plus,8,6,5,4,2,0.07187766066004392,0.30116716266160637,0.30116716266160637,0
0.5,report,CORE_LEVELPHASE_FIXED040_R29B,full,25,13,20,17,6,0.6809337566012329,0.3093183964115786,0.25801019091838484,1
0.5,report,CORE_LEVELPHASE_FIXED040_R29B,reports_2024plus,8,6,8,6,0,0.2127118467046385,0.34890577884928686,0.2836642936649817,0
0.5,report,CORE_LEVELPHASE_FIXED060_R29B,full,25,13,19,15,6,0.6515014852092718,0.32528565024675254,0.22089096199842315,1
0.5,report,CORE_LEVELPHASE_FIXED060_R29B,reports_2024plus,8,6,7,6,0,0.19937444822126563,0.3688739281215209,0.27462843878407517,0
0.5,report,CORE_LEVELPHASE_FIXED080_R29B,full,25,13,17,15,6,0.6219854173147017,0.3412545289811598,0.2104747350103021,1
0.5,report,CORE_LEVELPHASE_FIXED080_R29B,reports_2024plus,8,6,7,6,0,0.1860191134291073,0.3888448873677691,0.30778169000124095,0
0.5,report,CORE_LEVELPHASE_PANEL_R29B,full,25,13,18,14,7,0.10265561935772599,0.18912909011094534,0.18912909011094525,0
0.5,report,CORE_LEVELPHASE_PANEL_R29B,reports_2024plus,8,6,8,6,0,0.21017629327977852,0.35790048502429694,0.28397525862217665,0
0.5,report,FOOD_ECM_R27,full,25,13,17,15,8,0.592385232088698,0.35722503280083795,0.21720605741256763,1
0.5,report,FOOD_ECM_R27,reports_2024plus,8,6,7,6,1,0.17264581911214058,0.40208645961531225,0.340944173650479,0
0.5,report,STATE_FAST_R15,full,25,13,17,14,9,0.4608856350119926,0.3411278194696015,0.1658194704814942,1
0.5,report,STATE_FAST_R15,reports_2024plus,8,6,6,5,2,0.10568420012010615,0.45944007034518297,0.3241624248698294,0
1.0,cutoff,CORE_LEVELPHASE_FIXED040_R29B,full,13,4,9,9,4,0.9268432049085298,0.3854947881060355,0.3854947881060355,0
1.0,cutoff,CORE_LEVELPHASE_FIXED040_R29B,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,CORE_LEVELPHASE_FIXED060_R29B,full,13,4,9,9,4,0.9268432049085298,0.3854947881060355,0.3854947881060355,0
1.0,cutoff,CORE_LEVELPHASE_FIXED060_R29B,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,CORE_LEVELPHASE_FIXED080_R29B,full,13,4,9,9,4,0.9268432049085298,0.3854947881060355,0.3854947881060355,0
1.0,cutoff,CORE_LEVELPHASE_FIXED080_R29B,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,CORE_LEVELPHASE_PANEL_R29B,full,13,4,7,7,6,-0.3671722749982751,0.11366671873809216,0.11366671873809216,0
1.0,cutoff,CORE_LEVELPHASE_PANEL_R29B,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,FOOD_ECM_R27,full,13,4,9,9,4,0.9268432049085298,0.3854947881060355,0.3854947881060355,0
1.0,cutoff,FOOD_ECM_R27,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,STATE_FAST_R15,full,13,4,9,8,4,0.8561315431269544,0.36077114860664683,0.3547286527584467,0
1.0,cutoff,STATE_FAST_R15,reports_2024plus,0,0,0,0,0,,,,0
1.0,report,CORE_LEVELPHASE_FIXED040_R29B,full,13,4,9,8,5,1.14574561235796,0.36803295021511323,0.1828230813599389,1
1.0,report,CORE_LEVELPHASE_FIXED040_R29B,reports_2024plus,0,0,0,0,0,,,,0
1.0,report,CORE_LEVELPHASE_FIXED060_R29B,full,13,4,9,8,5,1.14574561235796,0.36803295021511323,0.1828230813599389,1
1.0,report,CORE_LEVELPHASE_FIXED060_R29B,reports_2024plus,0,0,0,0,0,,,,0
1.0,report,CORE_LEVELPHASE_FIXED080_R29B,full,13,4,9,8,5,1.14574561235796,0.36803295021511323,0.1828230813599389,1
1.0,report,CORE_LEVELPHASE_FIXED080_R29B,reports_2024plus,0,0,0,0,0,,,,0
1.0,report,CORE_LEVELPHASE_PANEL_R29B,full,13,4,8,7,5,0.1530756363404214,0.11366671873809216,0.11366671873809216,0
1.0,report,CORE_LEVELPHASE_PANEL_R29B,reports_2024plus,0,0,0,0,0,,,,0
1.0,report,FOOD_ECM_R27,full,13,4,9,8,5,1.14574561235796,0.36803295021511323,0.1828230813599389,1
1.0,report,FOOD_ECM_R27,reports_2024plus,0,0,0,0,0,,,,0
1.0,report,STATE_FAST_R15,full,13,4,10,8,4,1.048216970917306,0.3411278194696015,0.1658194704814942,1
1.0,report,STATE_FAST_R15,reports_2024plus,0,0,0,0,0,,,,0
