model,H,sample,block,n,rms,bias
CORE_LEVELPHASE_FIXED040_R29B,3,full,h0,90,0.41880820829170357,-0.02026752116319163
CORE_LEVELPHASE_FIXED040_R29B,3,full,core,87,0.40459314150694586,-0.08721417801356607
CORE_LEVELPHASE_FIXED040_R29B,3,full,food,87,0.3712900805269812,-0.11065427227378737
CORE_LEVELPHASE_FIXED040_R29B,3,full,fuel,87,0.2880523726038208,-0.04024654359111621
CORE_LEVELPHASE_FIXED040_R29B,3,full,administered,87,1.0115603852936068,-0.1720612797875276
CORE_LEVELPHASE_FIXED040_R29B,3,full,alcohol_tobacco,87,0.11080057720054058,-0.028293262725589675
CORE_LEVELPHASE_FIXED040_R29B,3,full,wedge,87,0.12996229318471006,0.003267327299764437
CORE_LEVELPHASE_FIXED040_R29B,3,full,total,87,1.3126397592520955,-0.4590329272614158
CORE_LEVELPHASE_FIXED060_R29B,3,full,h0,90,0.41880820829170357,-0.02026752116319163
CORE_LEVELPHASE_FIXED060_R29B,3,full,core,87,0.4132270434800671,-0.05993593196425555
CORE_LEVELPHASE_FIXED060_R29B,3,full,food,87,0.3712900805269812,-0.11065427227378737
CORE_LEVELPHASE_FIXED060_R29B,3,full,fuel,87,0.2880523726038208,-0.04024654359111621
CORE_LEVELPHASE_FIXED060_R29B,3,full,administered,87,1.0115603852936068,-0.1720612797875276
CORE_LEVELPHASE_FIXED060_R29B,3,full,alcohol_tobacco,87,0.11080057720054058,-0.028293262725589675
CORE_LEVELPHASE_FIXED060_R29B,3,full,wedge,87,0.12996229318471006,0.003267327299764453
CORE_LEVELPHASE_FIXED060_R29B,3,full,total,87,1.3062743635362015,-0.43175468121210536
CORE_LEVELPHASE_FIXED080_R29B,3,full,h0,90,0.41880820829170357,-0.02026752116319163
CORE_LEVELPHASE_FIXED080_R29B,3,full,core,87,0.4286361206505372,-0.03263972736750739
CORE_LEVELPHASE_FIXED080_R29B,3,full,food,87,0.3712900805269812,-0.11065427227378737
CORE_LEVELPHASE_FIXED080_R29B,3,full,fuel,87,0.2880523726038208,-0.04024654359111621
CORE_LEVELPHASE_FIXED080_R29B,3,full,administered,87,1.0115603852936068,-0.1720612797875276
CORE_LEVELPHASE_FIXED080_R29B,3,full,alcohol_tobacco,87,0.11080057720054058,-0.028293262725589675
CORE_LEVELPHASE_FIXED080_R29B,3,full,wedge,87,0.1299622931847101,0.0032673272997644502
CORE_LEVELPHASE_FIXED080_R29B,3,full,total,87,1.3021356359753897,-0.40445847661535717
CORE_LEVELPHASE_PANEL_R29B,3,full,h0,90,0.41880820829170357,-0.02026752116319163
CORE_LEVELPHASE_PANEL_R29B,3,full,core,87,0.5550783595116836,-0.24217200615615037
CORE_LEVELPHASE_PANEL_R29B,3,full,food,87,0.3712900805269812,-0.11065427227378737
CORE_LEVELPHASE_PANEL_R29B,3,full,fuel,87,0.2880523726038208,-0.04024654359111621
CORE_LEVELPHASE_PANEL_R29B,3,full,administered,87,1.0115603852936068,-0.1720612797875276
CORE_LEVELPHASE_PANEL_R29B,3,full,alcohol_tobacco,87,0.11080057720054058,-0.028293262725589675
CORE_LEVELPHASE_PANEL_R29B,3,full,wedge,87,0.12996229318471003,0.003267327299764436
