date,petrol95,lpg,diesel
2016-01-04,28.42712,13.46,27.90692
2016-01-11,28.208029999999997,13.39,27.520889999999998
2016-01-18,27.91111,13.25,27.10405
2016-01-25,27.631130000000002,13.2,26.59893
2016-02-01,27.32093,13.13,26.02609
2016-02-08,27.167,12.92,25.728930000000002
2016-02-15,26.829900000000002,12.73,25.43911
2016-02-22,26.424,12.53,25.12911
2016-02-29,26.2231,12.42,24.940060000000003
2016-03-07,26.268939999999997,12.25,25.07307
2016-03-14,26.47708,12.22,25.53493
2016-04-04,27.380020000000002,12.13,25.92711
2016-04-11,27.52193,12.1,25.79091
2016-04-18,27.74106,12.11,25.98192
2016-04-25,27.8979,12.09,26.17906
2016-05-02,28.2089,12.06,26.424
2016-05-09,28.41093,11.98,26.6391
2016-05-16,28.40009,11.91,26.73791
2016-05-23,28.61713,11.84,27.071930000000002
2016-05-30,29.14998,11.78,27.65897
2016-06-06,29.55397,11.81,28.02312
2016-06-13,29.677130000000002,11.78,28.2121
2016-06-20,29.71003,11.78,28.27407
2016-06-27,29.720029999999998,11.78,28.322020000000002
2016-07-11,29.603080000000002,11.95,28.318009999999997
2016-07-18,29.40211,11.99,28.11901
2016-07-25,29.33212,11.99,28.063029999999998
2016-08-01,29.212130000000002,11.95,27.955009999999998
2016-08-08,28.90808,11.96,27.53295
2016-08-15,28.731930000000002,11.95,27.388080000000002
2016-08-22,28.90298,11.97,27.630959999999998
2016-08-29,28.97298,11.97,27.705869999999997
2016-09-05,29.06109,12.05,27.763
2016-09-12,29.041880000000003,12.3,27.752029999999998
2016-09-19,29.050009999999997,12.32,27.76813
2016-09-26,29.03812,12.27,27.71598
2016-10-03,29.06811,12.31,27.743
2016-10-10,29.15512,12.36,28.018069999999998
2016-10-17,29.42697,12.51,28.36709
2016-10-31,29.59912,12.66,28.55194
2016-11-07,29.54287,12.67,28.55093
2016-11-14,29.40888,12.96,28.49297
2016-11-21,29.32296,13.04,28.46605
2016-11-28,29.41792,13.19,28.649060000000002
2016-12-05,29.593049999999998,13.25,28.90689
2016-12-12,29.86294,13.46,29.278080000000003
2016-12-19,30.11707,13.52,29.55503
2017-01-02,30.52589,13.7,29.950080000000003
2017-01-09,30.86609,13.71,30.33188
2017-01-16,30.98498,13.87,30.508869999999998
2017-01-23,31.01889,13.8,30.53402
2017-01-30,31.05098,13.92,30.54189
2017-02-06,31.06712,13.95,30.56102
2017-02-13,31.06091,14.1,30.49887
2017-02-20,31.09901,14.29,30.54103
2017-02-27,31.100900000000003,14.39,30.50509
2017-03-06,31.10387,14.4,30.50293
2017-03-13,31.022,14.27,30.385930000000002
2017-03-20,30.876900000000003,14.37,30.2419
2017-03-27,30.73287,14.35,30.11599
2017-04-03,30.63193,14.3,30.01208
2017-04-10,30.83005,14.15,30.0411
2017-04-24,31.050939999999997,14.1,30.13489
2017-05-15,30.46309,14.01,29.568900000000003
2017-05-22,30.38597,14.0,29.492
2017-05-29,30.43012,13.98,29.52102
2017-06-05,30.35398,13.95,29.4399
2017-06-12,30.107,13.91,29.05201
2017-06-19,29.948880000000003,13.74,28.87609
2017-06-26,29.63989,13.65,28.58598
2017-07-10,29.43394,13.56,28.39793
2017-07-17,29.37995,13.4,28.33791
2017-07-24,29.33113,13.36,28.302919999999997
2017-07-31,29.27602,13.28,28.226080000000003
2017-08-07,29.44396,13.29,28.475060000000003
2017-08-14,29.44596,13.36,28.468880000000002
2017-08-21,29.43909,13.33,28.46113
2017-08-28,29.39503,13.32,28.42691
2017-09-04,29.53007,13.36,28.48498
2017-09-11,29.901970000000002,13.68,28.689919999999997
2017-09-18,30.01691,13.72,28.76089
2017-09-25,29.96008,13.83,28.90288
2017-10-02,30.00603,13.9,29.09906
2017-10-09,29.992900000000002,13.91,29.208080000000002
2017-10-16,29.987,13.95,29.18891
2017-10-23,29.997919999999997,14.05,29.23792
2017-10-30,29.98593,14.06,29.21607
2017-11-06,30.19296,13.96,29.47711
2017-11-13,30.508080000000003,14.08,29.7761
2017-11-20,30.60004,14.12,29.857029999999998
2017-11-27,30.49101,14.07,29.869979999999998
2017-12-04,30.46803,14.08,29.73404
2017-12-11,30.43703,14.08,29.704069999999998
2017-12-18,30.41207,14.14,29.669
2018-01-01,30.455080000000002,14.13,29.67397
2018-01-08,30.4001,14.15,29.827090000000002
2018-01-15,30.56112,14.13,29.93306
2018-01-22,30.63907,14.12,30.00104
2018-01-29,30.71992,14.12,30.033099999999997
2018-02-05,30.73811,14.15,30.0611
2018-02-12,30.738970000000002,14.18,29.93892
2018-02-19,30.54411,14.09,29.68603
2018-02-26,30.434919999999998,14.05,29.60895
2018-03-05,30.413919999999997,14.05,29.568990000000003
2018-03-12,30.393060000000002,13.98,29.54793
2018-03-19,30.32105,13.92,29.507990000000003
2018-03-26,30.30211,13.83,29.56596
2018-04-09,30.61198,13.83,29.77292
2018-04-16,30.73588,13.83,30.0229
2018-04-23,30.90807,13.81,30.16489
2018-04-30,31.04809,13.81,30.28387
2018-05-07,31.389950000000002,14.08,30.69203
2018-05-14,31.65992,14.05,31.01507
2018-05-21,32.12594,14.04,31.423080000000002
2018-05-28,32.875980000000006,14.15,32.18691
2018-06-04,33.172,14.14,32.43709
2018-06-11,33.22506,14.31,32.45409
2018-06-18,33.11605,14.33,32.35289
2018-06-25,32.97895,14.36,32.183
2018-07-09,33.16107,14.55,32.44895
2018-07-16,33.12506,14.66,32.42105
2018-07-23,32.97791,14.91,32.23607
2018-07-30,32.93606,14.78,32.20091
2018-08-06,33.073879999999996,15.03,32.2459
2018-08-13,33.05391,14.97,32.22111
2018-08-20,33.05098,14.96,32.14998
2018-08-27,33.06508,14.97,32.23509
2018-09-03,33.210029999999996,14.96,32.28307
2018-09-10,33.26802,14.99,32.46806
2018-09-17,33.2751,15.08,32.51699
2018-09-24,33.27107,15.4,32.5249
2018-10-01,33.280910000000006,15.45,32.6391
2018-10-08,33.405080000000005,15.67,33.0651
2018-10-15,33.50102,15.85,33.351910000000004
2018-10-22,33.43697,15.93,33.489959999999996
2018-10-29,33.42896,15.93,33.53908
2018-11-05,33.32299,16.01,33.68613
2018-11-12,33.15595,15.99,33.67713
2018-11-19,32.956129999999995,15.93,33.49304
2018-11-26,32.794050000000006,15.83,33.36606
