month,cultural_services
2015-01,99.5
2015-02,99.099999999999994
2015-03,100.3
2015-04,99.200000000000003
2015-05,99.5
2015-06,98.599999999999994
2015-07,98.200000000000003
2015-08,97.799999999999997
2015-09,100.40000000000001
2015-10,100.59999999999999
2015-11,100.90000000000001
2015-12,105.8
2016-01,106.40000000000001
2016-02,106.90000000000001
2016-03,107.2
2016-04,105.8
2016-05,106.40000000000001
2016-06,105.8
2016-07,106.3
2016-08,106.5
2016-09,107.90000000000001
2016-10,108.90000000000001
2016-11,109.09999999999999
2016-12,110.59999999999999
2017-01,110.40000000000001
2017-02,111.7
2017-03,111.5
2017-04,111.59999999999999
2017-05,112.3
2017-06,113.2
2017-07,112.8
2017-08,113
2017-09,113.59999999999999
2017-10,114.09999999999999
2017-11,114.09999999999999
2017-12,115
2018-01,114.40000000000001
2018-02,114.09999999999999
2018-03,115.3
2018-04,116.09999999999999
2018-05,118.40000000000001
2018-06,117.40000000000001
2018-07,118.3
2018-08,117.2
2018-09,117.09999999999999
2018-10,119.59999999999999
2018-11,120.2
2018-12,119.90000000000001
2019-01,120.7
2019-02,121.90000000000001
2019-03,121.8
2019-04,121.90000000000001
2019-05,122.8
2019-06,122.8
2019-07,122.5
2019-08,123.3
2019-09,125.3
2019-10,127.90000000000001
2019-11,127.8
2019-12,129.19999999999999
2020-01,130
2020-02,130.80000000000001
2020-03,132.40000000000001
2020-04,132.40000000000001
2020-05,129.90000000000001
2020-06,129
2020-07,130.90000000000001
2020-08,130.40000000000001
2020-09,134
2020-10,135.30000000000001
2020-11,135.30000000000001
2020-12,135.30000000000001
2021-01,135.40000000000001
2021-02,135.40000000000001
2021-03,135.40000000000001
2021-04,135.40000000000001
2021-05,136.19999999999999
2021-06,135.30000000000001
2021-07,137
2021-08,139.69999999999999
2021-09,142.69999999999999
2021-10,144.40000000000001
2021-11,147.69999999999999
2021-12,149
2022-01,150.19999999999999
2022-02,151.40000000000001
2022-03,153.90000000000001
2022-04,155.40000000000001
2022-05,158.40000000000001
2022-06,159.59999999999999
2022-07,161.5
2022-08,162.80000000000001
2022-09,164.40000000000001
2022-10,167
2022-11,169.30000000000001
2022-12,168.5
2023-01,171.19999999999999
2023-02,175.90000000000001
2023-03,179.40000000000001
2023-04,179.90000000000001
2023-05,182.69999999999999
2023-06,185.09999999999999
2023-07,186.40000000000001
2023-08,186.09999999999999
2023-09,190.69999999999999
2023-10,190.80000000000001
2023-11,194
2023-12,192.69999999999999
2024-01,198.80000000000001
2024-02,201.90000000000001
2024-03,203.30000000000001
2024-04,202.30000000000001
2024-05,202.80000000000001
2024-06,201.69999999999999
2024-07,202.19999999999999
2024-08,203.69999999999999
2024-09,205.59999999999999
2024-10,208.5
2024-11,208.90000000000001
2024-12,209.90000000000001
2025-01,209.69999999999999
2025-02,212.30000000000001
2025-03,216.40000000000001
2025-04,215.59999999999999
2025-05,216
2025-06,214.59999999999999
2025-07,216.09999999999999
2025-08,217.5
2025-09,221.90000000000001
2025-10,222.5
2025-11,224.19999999999999
2025-12,221.90000000000001
2026-01,227.5
2026-02,226.59999999999999
2026-03,227.69999999999999
2026-04,231
2026-05,233.5
2026-06,231.59999999999999
2026-07,231.30000000000001
2026-08,233.30000000000001
