month,recreation_services
2015-01,100.3
2015-02,100.40000000000001
2015-03,99.900000000000006
2015-04,99.799999999999997
2015-05,99.700000000000003
2015-06,99.700000000000003
2015-07,99.299999999999997
2015-08,99.299999999999997
2015-09,99.799999999999997
2015-10,100.2
2015-11,100.2
2015-12,101.2
2016-01,101.7
2016-02,102
2016-03,100.7
2016-04,100.09999999999999
2016-05,100
2016-06,100.09999999999999
2016-07,99.599999999999994
2016-08,99.799999999999997
2016-09,100.7
2016-10,101.09999999999999
2016-11,101.40000000000001
2016-12,102.2
2017-01,104
2017-02,104.2
2017-03,103.90000000000001
2017-04,103.59999999999999
2017-05,103.59999999999999
2017-06,103.59999999999999
2017-07,103.40000000000001
2017-08,103.59999999999999
2017-09,104.3
2017-10,105.5
2017-11,105.7
2017-12,106
2018-01,107.90000000000001
2018-02,108.09999999999999
2018-03,108.2
2018-04,108.59999999999999
2018-05,108.59999999999999
2018-06,108.59999999999999
2018-07,108.3
2018-08,108.5
2018-09,110
2018-10,110.5
2018-11,109.90000000000001
2018-12,110
2019-01,112.2
2019-02,112.59999999999999
2019-03,112.3
2019-04,112.40000000000001
2019-05,112.5
2019-06,112.59999999999999
2019-07,112.90000000000001
2019-08,113
2019-09,115
2019-10,115.5
2019-11,115.09999999999999
2019-12,115.59999999999999
2020-01,118.3
2020-02,119
2020-03,118.7
2020-04,118.90000000000001
2020-05,118.7
2020-06,119.09999999999999
2020-07,119.2
2020-08,119.5
2020-09,120.59999999999999
2020-10,121
2020-11,120.7
2020-12,121.09999999999999
2021-01,122.2
2021-02,122.2
2021-03,122.40000000000001
2021-04,122.5
2021-05,123.09999999999999
2021-06,124.7
2021-07,124.59999999999999
2021-08,125.09999999999999
2021-09,126.8
2021-10,127.40000000000001
2021-11,128.19999999999999
2021-12,129.90000000000001
2022-01,135.5
2022-02,137
2022-03,137.5
2022-04,138.30000000000001
2022-05,138.69999999999999
2022-06,139.5
2022-07,140.40000000000001
2022-08,141.19999999999999
2022-09,146.59999999999999
2022-10,148.40000000000001
2022-11,150.40000000000001
2022-12,151.59999999999999
2023-01,156.59999999999999
2023-02,159.69999999999999
2023-03,160.09999999999999
2023-04,160.19999999999999
2023-05,160.30000000000001
2023-06,160.80000000000001
2023-07,162.30000000000001
2023-08,163.09999999999999
2023-09,166.40000000000001
2023-10,167.59999999999999
2023-11,167
2023-12,166.90000000000001
2024-01,170.40000000000001
2024-02,171.80000000000001
2024-03,172
2024-04,171.30000000000001
2024-05,172.19999999999999
2024-06,172.30000000000001
2024-07,172.69999999999999
2024-08,172.59999999999999
2024-09,173.5
2024-10,174.30000000000001
2024-11,172.69999999999999
2024-12,173
2025-01,175.09999999999999
2025-02,177.90000000000001
2025-03,177.69999999999999
2025-04,177.69999999999999
2025-05,178.90000000000001
2025-06,179.09999999999999
2025-07,179.19999999999999
2025-08,179.19999999999999
2025-09,181.69999999999999
2025-10,182.80000000000001
2025-11,183.59999999999999
2025-12,184.90000000000001
2026-01,187
2026-02,186.59999999999999
2026-03,187.5
2026-04,188.40000000000001
2026-05,188.90000000000001
2026-06,188.5
2026-07,189.19999999999999
2026-08,189.40000000000001
