model,origin,target,h,block,annual_forecast,annual_actual,annual_oracle,annual_error,annual_block_error,annual_other_error,block_squared_error,other_squared_error,cross_term,headline_squared_error,oracle_mse_gain
STABLE_LOCAL_CORE_R14B,2019-02,2019-03,1,noncore,2.979369105854547,2.969348659003822,3.1905152531521384,0.010020446850725229,-0.2111461472975913,0.22116659414831652,0.04458269551861612,0.048914662367166156,-0.09339694853069407,0.00010040935508820916,-0.048814253012077945
STABLE_LOCAL_CORE_R14B,2019-02,2019-04,2,noncore,2.9826335955546885,2.769818529130848,3.0166634373729044,0.21281506642384063,-0.03402984181821589,0.24684490824205652,0.0011580301341727948,0.0609324087250293,-0.0168001863622184,0.0452902524969837,-0.0156421562280456
STABLE_LOCAL_CORE_R14B,2019-02,2019-05,3,noncore,2.7289521708334927,2.946768060836498,3.308001241329321,-0.21781589000300539,-0.5790490704958282,0.3612331804928228,0.33529782604208264,0.1304894106889603,-0.4183434747932416,0.047443761937801344,-0.08304564875115897
STABLE_LOCAL_CORE_R14B,2019-02,2019-06,4,noncore,2.5033518148264973,2.7462121212121224,3.1168386639914414,-0.24286030638562517,-0.6134868491649441,0.37062654277931895,0.3763661140983309,0.13736403421255033,-0.4547490198931615,0.05898112841771973,-0.0783829057948306
STABLE_LOCAL_CORE_R14B,2019-02,2019-07,5,noncore,2.643809686096246,2.9300567107750517,3.0503355554901463,-0.2862470246788056,-0.40652586939390023,0.12027884471509465,0.16526328248646643,0.014467000485997852,-0.09779292383499555,0.08193735913746873,0.06747035865147089
STABLE_LOCAL_CORE_R14B,2019-02,2019-08,6,noncore,2.587246837545605,2.927289896128419,3.123051831661433,-0.34004305858281425,-0.535804994115828,0.1957619355330138,0.2870869917194625,0.03832273540363185,-0.20978044543273913,0.11562928169035525,0.0773065462867234
STABLE_LOCAL_CORE_R14B,2019-02,2019-09,7,noncore,2.7798883257706986,2.6515151515151705,3.155264051311747,0.12837317425552808,-0.3753757255410486,0.5037488997965767,0.14090693532546864,0.2537629540462614,-0.3781902175032899,0.016479671868440175,-0.23728328217782124
STABLE_LOCAL_CORE_R14B,2019-02,2019-10,8,noncore,2.7144274788601357,2.735849056603792,3.1653080701238485,-0.02142157774365616,-0.4508805912637128,0.42945901352005666,0.20329330757831526,0.1844350442936202,-0.387269467878908,0.000458883993027505,-0.1839761603005927
STABLE_LOCAL_CORE_R14B,2019-02,2019-11,9,noncore,2.8869686345563856,3.116147308781873,3.59483206292871,-0.22917867422548754,-0.7078634283723244,0.47868475414683687,0.5010706332270208,0.22913909385261766,-0.6776868623598864,0.05252286471975215,-0.1766162291328655
STABLE_LOCAL_CORE_R14B,2019-02,2019-12,10,noncore,2.9422084798102044,3.207547169811327,3.73504161265219,-0.26533869000112276,-0.7928331328419858,0.527494442840863,0.6285843765320378,0.2782503872279925,-0.8364301433485184,0.07040462041151192,-0.2078457668164806
