sample,scope,model,block,h,n,n_roster,headline_rmse,oracle_rmse,block_marginal_rmse,annual_error_mean,annual_block_error_mean,annual_other_error_mean,block_squared_error_mean,other_squared_error_mean,cross_term_mean,headline_squared_error_mean,oracle_mse_gain_mean
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,1,88,88,0.869151903298607,0.6797429317820778,0.6682954425064004,-0.10604580144084003,-0.0496539400688235,-0.05639186137201652,0.44661879847482555,0.4620504533076945,-0.15324422077492889,0.7554250310075912,0.29337457769989667
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,2,86,86,1.2569098112525512,0.9716959561568264,0.9160105079154903,-0.1951888273117278,-0.10204675073999663,-0.09314207657173117,0.8390752506115945,0.9441930312115291,-0.20344600820019945,1.5798222736229237,0.6356292424113951
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,3,84,84,1.537322537940186,1.2557697500185065,1.149720146462029,-0.3310553165293108,-0.19228460218578575,-0.1387707143435251,1.3218564151806693,1.5769576650615424,-0.5354534945833578,2.3633605856588544,0.7864029205973114
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,4,83,83,1.8686376080881502,1.5642720334599884,1.2162317519189008,-0.4673265350366649,-0.2813299589826028,-0.1859965760540622,1.4792196743757187,2.4469469946650473,-0.43436015867936345,3.491806510361403,1.044859515696355
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,5,82,82,2.2378312645355964,1.915947778343384,1.3199827878809038,-0.6131363398693163,-0.37303484473306897,-0.24010149513624712,1.742354560301843,3.6708558893389487,-0.4053216811078059,5.007888768532986,1.3370328791940371
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,6,81,81,2.6242515250668412,2.2987282033929306,1.4358735922393013,-0.7498792446195658,-0.4695611848653154,-0.2803180597542502,2.061732972890195,5.28415135307409,-0.45918825914864336,6.886696066815642,1.602544713741552
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,7,80,80,3.052817189329517,2.688088532583431,1.5459453126817677,-0.8902761758196899,-0.5671466876645712,-0.32312948815511877,2.3899469098027284,7.225819959006545,-0.2960740773434991,9.319692791465773,2.093872832459229
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,8,79,79,3.5032957744050406,3.081510443513097,1.663656359233501,-1.0345410499008982,-0.6709984756202445,-0.3635425742806536,2.767752481618068,9.495706613480285,0.00962218786586046,12.273081282964213,2.777374669483928
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,9,78,78,4.005802450518569,3.4947120318197316,1.759408941964961,-1.1835488170351998,-0.7722720916140964,-0.41127672542110344,3.0955198250662637,12.213012185345596,0.737921262168715,16.046453272580575,3.8334410872349785
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,10,77,77,4.506367426616955,3.9100824976901554,1.886263158621151,-1.3346043063038602,-0.8787826993448612,-0.45582160695899915,3.5579887035714415,15.288745138742883,1.4606135413599923,20.30734738367432,5.018602244931434
