month,model_input,mm_2015base,mm_bbg_2025base,official_1dp,band_2015base,band_2025base,level_2015base,level_2025base,gap_bbg_vs_model,within_rounding_band,series
2015-02,0.2010050251256334,0.20100502512563345,0.0,0.2,0.10045213551603563,0.1558846453624318,99.7,64.2,-0.2010050251256334,True,Headline
2015-03,0.1003009027081169,0.10030090270811698,0.15576323987538387,0.1,0.10030092793448749,0.15576333435436765,99.8,64.3,0.05546233716726698,True,Headline
2015-04,0.3006012024048043,0.30060120240480437,0.4665629860031162,0.3,0.10010032577696115,0.15528034552288067,100.1,64.6,0.16596178359831187,True,Headline
2015-05,0.2997002997003006,0.29970029970030065,0.1547987616099311,0.3,0.09980062285748006,0.1547988543447018,100.4,64.7,-0.14490153809036949,True,Headline
2015-06,0.0996015936254979,0.09960159362549792,0.1545595054095683,0.1,0.09960161832788822,0.15455959771505015,100.5,64.8,0.054957911784070404,True,Headline
2015-07,-0.0995024875621863,-0.09950248756218638,-0.15432098765431057,-0.1,0.09960161832788822,0.15455959771505015,100.4,64.7,-0.05481850009212427,True,Headline
2015-08,-0.1992031872509958,-0.19920318725099584,-0.15455950540959051,-0.2,0.09975072269522968,0.1547988543447018,100.2,64.6,0.0446436818414053,True,Headline
2015-09,-0.1996007984031989,-0.1996007984031989,-0.1547987616098978,-0.2,0.09995012483775587,0.15503885285671104,100.0,64.5,0.04480203679330108,True,Headline
2015-10,0.0,0.0,0.0,0.0,0.10005002501250625,0.1551590380139643,100.0,64.5,0.0,True,Headline
2015-11,-0.4000000000000003,-0.40000000000000036,-0.46511627906976605,-0.4,0.10025102958309895,0.15552184168819805,99.6,64.2,-0.06511627906976575,True,Headline
2015-12,-0.1004016064256929,-0.10040160642569296,0.0,-0.1,0.10050253794160197,0.1558846453624318,99.5,64.2,0.1004016064256929,True,Headline
2016-01,0.6030150753768782,0.6030150753768782,0.4672897196261738,0.6,0.10025153335850928,0.15552184168819805,100.1,64.5,-0.13572535575070432,True,Headline
2016-02,0.0999000999001076,0.09990009990010762,0.15503875968991832,0.1,0.09990012482525587,0.15503885285671104,100.2,64.6,0.05513865978981071,True,Headline
2016-03,-0.0998003992016105,-0.09980039920161055,-0.1547987616098978,-0.1,0.09990012482525587,0.15503885285671104,100.1,64.5,-0.0549983624082873,True,Headline
2016-04,0.5994005994006013,0.5994005994006013,0.6201550387596955,0.6,0.09965211135117985,0.15468052132001223,100.7,64.9,0.020754439359094157,True,Headline
2016-05,-0.1986097318768642,-0.19860973187686426,-0.1540832049306773,-0.2,0.099453106821588,0.15432107953310728,100.5,64.8,0.04452652694618692,True,Headline
2016-06,0.0995024875621863,0.09950248756218638,0.0,0.1,0.09950251219091412,0.15444015444015444,100.6,64.8,-0.0995024875621863,True,Headline
2016-07,0.2982107355864904,0.29821073558649047,0.4629629629629539,0.3,0.09930508627930615,0.1540840280271487,100.9,65.1,0.1647522273764635,True,Headline
2016-08,-0.0991080277502609,-0.09910802775026095,-0.3072196620583556,-0.2,0.09920637361582872,0.15396495312010153,100.8,64.9,-0.2081116343080947,True,Headline
2016-09,-0.2976190476190465,-0.29761904761904656,-0.1540832049306773,-0.2,0.09940379952743672,0.15432107953310728,100.5,64.8,0.14353584268836922,True,Headline
2016-10,0.2985074626865591,0.29850746268655914,0.30864197530864335,0.3,0.09940379952743672,0.15420237129244058,100.8,65.0,0.010134512622084257,True,Headline
2016-11,0.3968253968253954,0.3968253968253954,0.3076923076923199,0.3,0.0990593288840861,0.15372826490889444,101.2,65.2,-0.0891330891330755,True,Headline
2016-12,0.2964426877470227,0.29644268774702276,0.30674846625766694,0.3,0.09871689956822319,0.15325706494517682,101.5,65.4,0.010305778510644237,True,Headline
2017-01,0.7881773399014858,0.7881773399014858,0.7645259938837912,0.8,0.09818511774863502,0.15244123837591983,102.3,65.9,-0.023651346017694586,True,Headline
2017-02,0.3910068426197455,0.3910068426197455,0.4552352048558417,0.4,0.09760896154116405,0.15151593413877826,102.7,66.2,0.06422836223609618,True,Headline
2017-03,0.0,0.0,0.0,0.0,0.0974184120798831,0.1511715797430083,102.7,66.2,0.0,True,Headline
2017-04,0.0,0.0,0.0,0.0,0.0974184120798831,0.1511715797430083,102.7,66.2,0.0,True,Headline
2017-05,0.1947419668938632,0.19474196689386325,0.1510574018126709,0.2,0.09732369315710246,0.1510574879847117,102.9,66.3,-0.043684565081192284,True,Headline
2017-06,0.0,0.0,0.0,0.0,0.09722897423432181,0.1509433962264151,102.9,66.3,0.0,True,Headline
2017-07,0.4859086491739495,0.4859086491739495,0.4524886877828038,0.5,0.09699378077947343,0.15060317820336533,103.4,66.6,-0.03341996139114567,True,Headline
2017-08,-0.0967117988394661,-0.09671179883946612,0.0,-0.1,0.09680544378337791,0.15026296018031554,103.3,66.6,0.0967117988394661,True,Headline
2017-09,-0.096805421103574,-0.09680542110357404,-0.15015015015014122,-0.1,0.09689924755199121,0.15037602486066193,103.2,66.5,-0.053344729046567216,True,Headline
2017-10,0.4844961240310086,0.4844961240310086,0.601503759398514,0.5,0.09671236419407103,0.15003886040251607,103.7,66.9,0.11700763536750536,True,Headline
2017-11,0.0964320154291265,0.0964320154291265,0.0,0.1,0.09643203784748255,0.1495886312640239,103.8,66.9,-0.0964320154291265,True,Headline
2017-12,0.0963391136801661,0.09633911368016612,0.0,0.1,0.09633913603378366,0.1495886312640239,103.9,66.9,-0.0963391136801661,True,Headline
2018-01,0.5774783445620768,0.5774783445620768,0.7473841554558991,0.6,0.09601615910933142,0.14903336537217526,104.5,67.4,0.16990581089382228,True,Headline
2018-02,0.0,0.0,-0.14836795252226587,0.0,0.09573958831977022,0.14858849211934547,104.5,67.3,-0.14836795252226587,True,Headline
