coicop,ticker,n,first,last,bloomberg_last,exact_share,max_gap
0,CZCPI Index,139,2015-01,2026-07,2026-08,1.0,0.0
01,CZCPF Index,139,2015-01,2026-07,2026-08,1.0,0.0
02,CZCPA Index,139,2015-01,2026-07,2026-08,1.0,0.0
03,CZCPC Index,139,2015-01,2026-07,2026-08,1.0,0.0
04,CZCPH Index,139,2015-01,2026-07,2026-08,1.0,0.0
05,CZCPN Index,139,2015-01,2026-07,2026-08,1.0,0.0
06,CZCPHE Index,139,2015-01,2026-07,2026-08,1.0,0.0
07,CZCPTR Index,139,2015-01,2026-07,2026-08,1.0,0.0
08,CZCPP Index,139,2015-01,2026-07,2026-08,1.0,0.0
09,CZCPR Index,139,2015-01,2026-07,2026-08,1.0,0.0
10,CZCPE Index,139,2015-01,2026-07,2026-08,1.0,0.0
11,CZCPSH Index,139,2015-01,2026-07,2026-08,1.0,0.0
12,CZCP12 Index,139,2015-01,2026-07,2026-08,1.0,0.0
13,CZCP13 Index,139,2015-01,2026-07,2026-08,1.0,0.0
