clock,model,report_date,squared_error_gain_sum
cutoff,BLEND_LINEAR_RF_R15,2022-02-10,101.55312840659266
cutoff,BLEND_LINEAR_RF_R15,2022-05-12,-2.1147065834651606
cutoff,BLEND_LINEAR_RF_R15,2022-08-11,-3.6230027058319365
cutoff,BLEND_LINEAR_RF_R15,2022-11-10,-4.489741786900167
cutoff,BLEND_LINEAR_RF_R15,2023-02-09,-37.84318454395558
cutoff,BLEND_LINEAR_RF_R15,2023-05-11,-61.162953018609585
cutoff,BLEND_LINEAR_RF_R15,2023-08-10,-5.579669306805158
cutoff,BLEND_LINEAR_RF_R15,2023-11-09,-10.654543792318293
cutoff,BLEND_LINEAR_RF_R15,2024-02-15,-0.01406136678689851
cutoff,BLEND_LINEAR_RF_R15,2024-05-09,-1.8050704659716907
cutoff,BLEND_LINEAR_RF_R15,2024-08-08,0.7583146780499079
cutoff,BLEND_LINEAR_RF_R15,2024-11-14,-1.3047220606958323
cutoff,BLEND_LINEAR_RF_R15,2025-02-13,-1.1536405672292487
cutoff,BLEND_LINEAR_RF_R15,2025-05-15,-3.094897942688154
cutoff,BLEND_LINEAR_RF_R15,2025-08-14,-1.630408414516432
cutoff,BLEND_LINEAR_RF_R15,2025-11-13,-1.4087380614676195
cutoff,BLEND_LINEAR_RF_R15,2026-02-12,0.18240713873653078
cutoff,BLEND_LINEAR_RF_R15,2026-05-14,-0.0568723607384057
cutoff,BLEND_WIDE_STATE_R15,2022-02-10,120.68571887390951
cutoff,BLEND_WIDE_STATE_R15,2022-05-12,3.271504702730663
cutoff,BLEND_WIDE_STATE_R15,2022-08-11,4.015819305763521
cutoff,BLEND_WIDE_STATE_R15,2022-11-10,-94.69926270957275
cutoff,BLEND_WIDE_STATE_R15,2023-02-09,-38.53252194121411
cutoff,BLEND_WIDE_STATE_R15,2023-05-11,-45.14830671804563
cutoff,BLEND_WIDE_STATE_R15,2023-08-10,-4.503009369070863
cutoff,BLEND_WIDE_STATE_R15,2023-11-09,-10.556581562469608
cutoff,BLEND_WIDE_STATE_R15,2024-02-15,-0.02947593201351173
cutoff,BLEND_WIDE_STATE_R15,2024-05-09,-0.956031493456352
cutoff,BLEND_WIDE_STATE_R15,2024-08-08,0.908819258791862
cutoff,BLEND_WIDE_STATE_R15,2024-11-14,-1.3957657182450642
cutoff,BLEND_WIDE_STATE_R15,2025-02-13,-0.8732096643689438
cutoff,BLEND_WIDE_STATE_R15,2025-05-15,-2.409949380273501
cutoff,BLEND_WIDE_STATE_R15,2025-08-14,-1.4312553497614235
cutoff,BLEND_WIDE_STATE_R15,2025-11-13,-1.5912851188109398
cutoff,BLEND_WIDE_STATE_R15,2026-02-12,0.1160789960719754
cutoff,BLEND_WIDE_STATE_R15,2026-05-14,-0.1203240468887675
cutoff,ENET_BOTH_R15,2022-02-10,75.4402959301676
cutoff,ENET_BOTH_R15,2022-05-12,-12.83245583919986
cutoff,ENET_BOTH_R15,2022-08-11,-37.36538679989153
cutoff,ENET_BOTH_R15,2022-11-10,-8.449635163500952
cutoff,ENET_BOTH_R15,2023-02-09,-41.01241565666425
cutoff,ENET_BOTH_R15,2023-05-11,-57.58101691234617
cutoff,ENET_BOTH_R15,2023-08-10,-4.503009369070863
cutoff,ENET_BOTH_R15,2023-11-09,-10.556581562469608
cutoff,ENET_BOTH_R15,2024-02-15,-0.02947593201351173
cutoff,ENET_BOTH_R15,2024-05-09,-0.956031493456352
cutoff,ENET_BOTH_R15,2024-08-08,0.908819258791862
cutoff,ENET_BOTH_R15,2024-11-14,-1.3957657182450642
