clock,model,omitted_report,n,model_rmse,cnb_rmse,model_mae,cnb_mae
cutoff,BLEND_LINEAR_RF_R15,2022-02-10,62,2.0872958842482063,1.4762985730425087,1.4054103414119703,0.7040305251471131
cutoff,BLEND_LINEAR_RF_R15,2022-05-12,62,2.1334883939595795,2.011588414712717,1.4015462795514466,0.8639058580347869
cutoff,BLEND_LINEAR_RF_R15,2022-08-11,62,2.4033476180592106,2.3011132855836207,1.58408158024186,1.0257824526304777
cutoff,BLEND_LINEAR_RF_R15,2022-11-10,62,2.4259385378753495,2.3277027370360734,1.5829747797932507,1.0273077011297564
cutoff,BLEND_LINEAR_RF_R15,2023-02-09,62,2.352940830478435,2.3679762558638635,1.5230494961600007,1.1198213144271685
cutoff,BLEND_LINEAR_RF_R15,2023-05-11,62,2.268194579130077,2.364701449100045,1.4740725071967786,1.0977174807353174
cutoff,BLEND_LINEAR_RF_R15,2023-08-10,62,2.459302559718265,2.3661721828347044,1.6339977717872078,1.1073596899799842
cutoff,BLEND_LINEAR_RF_R15,2023-11-09,62,2.443260132179498,2.366849088210777,1.5996910291555182,1.1139947860587203
cutoff,BLEND_LINEAR_RF_R15,2024-02-15,62,2.477375256014645,2.366056213976598,1.6816109089590323,1.1097687047272502
cutoff,BLEND_LINEAR_RF_R15,2024-05-09,62,2.472686968006572,2.367256203681473,1.6638452430579145,1.113370885039828
cutoff,BLEND_LINEAR_RF_R15,2024-08-08,62,2.4785263813366147,2.364628764398905,1.6892820485554827,1.0964902903161784
cutoff,BLEND_LINEAR_RF_R15,2024-11-14,62,2.474984167091414,2.3679521920645064,1.6716255151382802,1.1182254788429142
cutoff,BLEND_LINEAR_RF_R15,2025-02-13,62,2.4755751864976325,2.3680554601341135,1.6742533256042667,1.1197032768029378
cutoff,BLEND_LINEAR_RF_R15,2025-05-15,62,2.467873345424828,2.366627053457412,1.6536713890707295,1.114398377625608
cutoff,BLEND_LINEAR_RF_R15,2025-08-14,62,2.4701288478578154,2.3639882587009775,1.6560689427932143,1.0970690968318144
cutoff,BLEND_LINEAR_RF_R15,2025-11-13,63,2.4542210397826536,2.3483463711487516,1.6424029041626846,1.0994653920351358
cutoff,BLEND_LINEAR_RF_R15,2026-02-12,64,2.4402143279479143,2.330077023778161,1.6443651646594546,1.0845651369983422
cutoff,BLEND_LINEAR_RF_R15,2026-05-14,65,2.4214704176885755,2.3129842313782727,1.6207391230007933,1.0748168156019648
cutoff,BLEND_WIDE_STATE_R15,2022-02-10,62,2.303787625672155,1.4762985730425087,1.4721499333134025,0.7040305251471131
cutoff,BLEND_WIDE_STATE_R15,2022-05-12,62,2.2979752500227195,2.011588414712717,1.4534896402714506,0.8639058580347869
cutoff,BLEND_WIDE_STATE_R15,2022-08-11,62,2.5576023394661003,2.3011132855836207,1.642069434005829,1.0257824526304777
cutoff,BLEND_WIDE_STATE_R15,2022-11-10,62,2.2521608875867214,2.3277027370360734,1.4814919617148956,1.0273077011297564
cutoff,BLEND_WIDE_STATE_R15,2023-02-09,62,2.4833959317008687,2.3679762558638635,1.5696921481330206,1.1198213144271685
cutoff,BLEND_WIDE_STATE_R15,2023-05-11,62,2.4586684490901387,2.364701449100045,1.5433118018326388,1.0977174807353174
cutoff,BLEND_WIDE_STATE_R15,2023-08-10,62,2.589899169866743,2.3661721828347044,1.6813949595869526,1.1073596899799842
cutoff,BLEND_WIDE_STATE_R15,2023-11-09,62,2.571603246310758,2.366849088210777,1.64120589512272,1.1139947860587203
cutoff,BLEND_WIDE_STATE_R15,2024-02-15,62,2.6036863643816233,2.366056213976598,1.725240880297665,1.1097687047272502
cutoff,BLEND_WIDE_STATE_R15,2024-05-09,62,2.601906640465514,2.367256203681473,1.7148649779985508,1.113370885039828
cutoff,BLEND_WIDE_STATE_R15,2024-08-08,62,2.605295312088881,2.364628764398905,1.7349209104661198,1.0964902903161784
cutoff,BLEND_WIDE_STATE_R15,2024-11-14,62,2.601176912137394,2.3679521920645064,1.7116438766134938,1.1182254788429142
cutoff,BLEND_WIDE_STATE_R15,2025-02-13,62,2.60289045679109,2.3680554601341135,1.7198772849133739,1.1197032768029378
cutoff,BLEND_WIDE_STATE_R15,2025-05-15,62,2.596822973074904,2.366627053457412,1.7004559560673544,1.114398377625608
cutoff,BLEND_WIDE_STATE_R15,2025-08-14,62,2.5974587230980317,2.3639882587009775,1.6998773879164286,1.0970690968318144
cutoff,BLEND_WIDE_STATE_R15,2025-11-13,63,2.5791772575150693,2.3483463711487516,1.6820729473835407,1.0994653920351358
cutoff,BLEND_WIDE_STATE_R15,2026-02-12,64,2.5642911082252735,2.330077023778161,1.683425499731594,1.0845651369983422
cutoff,BLEND_WIDE_STATE_R15,2026-05-14,65,2.5445929321401066,2.3129842313782727,1.6594980367647352,1.0748168156019648
cutoff,ENET_BOTH_R15,2022-02-10,62,2.2550383661678297,1.4762985730425087,1.5038618010960125,0.7040305251471131
cutoff,ENET_BOTH_R15,2022-05-12,62,2.351270815012958,2.011588414712717,1.5166634070453087,0.8639058580347869
cutoff,ENET_BOTH_R15,2022-08-11,62,2.5261465542531094,2.3011132855836207,1.6317601927669765,1.0257824526304777
cutoff,ENET_BOTH_R15,2022-11-10,62,2.640241879712949,2.3277027370360734,1.6988631380418284,1.0273077011297564
cutoff,ENET_BOTH_R15,2023-02-09,62,2.575807167226125,2.3679762558638635,1.6421565186895237,1.1198213144271685
cutoff,ENET_BOTH_R15,2023-05-11,62,2.520327052914043,2.364701449100045,1.613297282244786,1.0977174807353174
cutoff,ENET_BOTH_R15,2023-08-10,62,2.686094414750636,2.3661721828347044,1.7704381262942408,1.1073596899799842
cutoff,ENET_BOTH_R15,2023-11-09,62,2.6684581224583885,2.366849088210777,1.7302490618300086,1.1139947860587203
cutoff,ENET_BOTH_R15,2024-02-15,62,2.6993903346765005,2.366056213976598,1.814284047004954,1.1097687047272502
cutoff,ENET_BOTH_R15,2024-05-09,62,2.697673749840157,2.367256203681473,1.8039081447058394,1.113370885039828
cutoff,ENET_BOTH_R15,2024-08-08,62,2.7009422722580383,2.364628764398905,1.8239640771734085,1.0964902903161784
cutoff,ENET_BOTH_R15,2024-11-14,62,2.696969933669033,2.3679521920645064,1.8006870433207824,1.1182254788429142
cutoff,ENET_BOTH_R15,2025-02-13,62,2.6986435563477085,2.3680554601341135,1.8090503298153655,1.1197032768029378
cutoff,ENET_BOTH_R15,2025-05-15,62,2.6923809074034732,2.366627053457412,1.7881125412063283,1.114398377625608
cutoff,ENET_BOTH_R15,2025-08-14,62,2.6932490613101296,2.3639882587009775,1.788449270850467,1.0970690968318144
cutoff,ENET_BOTH_R15,2025-11-13,63,2.674252205818462,2.3483463711487516,1.7697027304923005,1.0994653920351358
cutoff,ENET_BOTH_R15,2026-02-12,64,2.658512918234615,2.330077023778161,1.7705032836772565,1.0845651369983422
cutoff,ENET_BOTH_R15,2026-05-14,65,2.6381982376746116,2.3129842313782727,1.7460557491267028,1.0748168156019648
cutoff,ENET_DOMESTIC_R15,2022-02-10,62,2.2283462024342375,1.4762985730425087,1.412655077310976,0.7040305251471131
cutoff,ENET_DOMESTIC_R15,2022-05-12,62,2.2609447109574803,2.011588414712717,1.3994994876410647,0.8639058580347869
cutoff,ENET_DOMESTIC_R15,2022-08-11,62,2.759807229003139,2.3011132855836207,1.7090953647836538,1.0257824526304777
cutoff,ENET_DOMESTIC_R15,2022-11-10,62,2.7411489085892247,2.3277027370360734,1.6688734469975697,1.0273077011297564
cutoff,ENET_DOMESTIC_R15,2023-02-09,62,2.6634927825604207,2.3679762558638635,1.5910701942139103,1.1198213144271685
cutoff,ENET_DOMESTIC_R15,2023-05-11,62,2.6378562725680763,2.364701449100045,1.5749553594641055,1.0977174807353174
cutoff,ENET_DOMESTIC_R15,2023-08-10,62,2.765478983775733,2.3661721828347044,1.7124706631340787,1.1073596899799842
cutoff,ENET_DOMESTIC_R15,2023-11-09,62,2.748630198610091,2.366849088210777,1.673603995025911,1.1139947860587203
cutoff,ENET_DOMESTIC_R15,2024-02-15,62,2.782082956017978,2.366056213976598,1.7618156288215747,1.1097687047272502
cutoff,ENET_DOMESTIC_R15,2024-05-09,62,2.780417424739939,2.367256203681473,1.7514397265224606,1.113370885039828
cutoff,ENET_DOMESTIC_R15,2024-08-08,62,2.7835887902654077,2.364628764398905,1.7714956589900295,1.0964902903161784
cutoff,ENET_DOMESTIC_R15,2024-11-14,62,2.7797345589706164,2.3679521920645064,1.7482186251374037,1.1182254788429142
cutoff,ENET_DOMESTIC_R15,2025-02-13,62,2.781338098856928,2.3680554601341135,1.7564520334372835,1.1197032768029378
cutoff,ENET_DOMESTIC_R15,2025-05-15,62,2.77592848856858,2.366627053457412,1.7380374612243557,1.114398377625608
cutoff,ENET_DOMESTIC_R15,2025-08-14,62,2.7754154627450487,2.3639882587009775,1.7335033241635922,1.0970690968318144
cutoff,ENET_DOMESTIC_R15,2025-11-13,63,2.7563939080357347,2.3483463711487516,1.7180671443435789,1.0994653920351358
cutoff,ENET_DOMESTIC_R15,2026-02-12,64,2.7397970696806024,2.330077023778161,1.7190761041450102,1.0845651369983422
cutoff,ENET_DOMESTIC_R15,2026-05-14,65,2.718755813600031,2.3129842313782727,1.694691481983001,1.0748168156019648
cutoff,ENET_IMPORTED_R15,2022-02-10,62,2.3212306077173577,1.4762985730425087,1.5231597328807822,0.7040305251471131
cutoff,ENET_IMPORTED_R15,2022-05-12,62,2.4005359409822296,2.011588414712717,1.5290601536674364,0.8639058580347869
cutoff,ENET_IMPORTED_R15,2022-08-11,62,2.5906900806391113,2.3011132855836207,1.6783095032552313,1.0257824526304777
cutoff,ENET_IMPORTED_R15,2022-11-10,62,2.516235075780788,2.3277027370360734,1.6243752990147735,1.0273077011297564
cutoff,ENET_IMPORTED_R15,2023-02-09,62,2.535677947999829,2.3679762558638635,1.6263727729239235,1.1198213144271685
cutoff,ENET_IMPORTED_R15,2023-05-11,62,2.5661789219469386,2.364701449100045,1.6310807046282643,1.0977174807353174
cutoff,ENET_IMPORTED_R15,2023-08-10,62,2.6955268463350923,2.3661721828347044,1.7710735386945895,1.1073596899799842
cutoff,ENET_IMPORTED_R15,2023-11-09,62,2.677952674278019,2.366849088210777,1.7308844742303573,1.1139947860587203
cutoff,ENET_IMPORTED_R15,2024-02-15,62,2.708776467947025,2.366056213976598,1.8149194594053024,1.1097687047272502
cutoff,ENET_IMPORTED_R15,2024-05-09,62,2.7070658349835717,2.367256203681473,1.8045435571061879,1.113370885039828
cutoff,ENET_IMPORTED_R15,2024-08-08,62,2.7103230310110753,2.364628764398905,1.824599489573757,1.0964902903161784
cutoff,ENET_IMPORTED_R15,2024-11-14,62,2.706364461315843,2.3679521920645064,1.8013224557211311,1.1182254788429142
cutoff,ENET_IMPORTED_R15,2025-02-13,62,2.708011447407654,2.3680554601341135,1.8095558640210112,1.1197032768029378
cutoff,ENET_IMPORTED_R15,2025-05-15,62,2.7014622895989238,2.366627053457412,1.7876042520072681,1.114398377625608
cutoff,ENET_IMPORTED_R15,2025-08-14,62,2.702799239173564,2.3639882587009775,1.7895850628900087,1.0970690968318144
