h,food_max,food_mean,yy_max,yy_mean
0,,,0.0,0.0
1,0.042930618471723525,0.011450880789184896,0.008271285966777953,0.002131229995479061
2,0.0331525433137303,0.00869956869244509,0.014521716535051077,0.0037379068982897642
3,0.02601146177955939,0.0066905514642102305,0.019809760230932838,0.0049753001922738
4,0.0196988452556835,0.005067063336789524,0.023374487549224554,0.005898870473229853
5,0.015314038769225186,0.0038786252380499636,0.026337281931550827,0.006602749550445836
6,0.011832981061622005,0.002935198615286363,0.027261556141872312,0.007125241534103419
7,0.005756591079714102,0.0009257252619444025,0.02770196784548684,0.007198311568640156
8,0.0051863791946722415,0.000737225881931571,0.028087621962641585,0.0072466201860381585
9,0.004430120997207965,0.000583367393309671,0.028519417094646116,0.007285302812105356
10,0.003829258800965102,0.0004630526396617517,0.028768364628566356,0.007317445507774985
11,0.0033107616080007007,0.0003652119092272581,0.028941152560272076,0.007340478480876326
12,0.0028358244096068908,0.00028794733734347535,0.02908485561048746,0.00735501093204339
