h,sample,n,rmse_recorded,rmse_lane,rmse_lane_bbg_truth,rmse_variant,rmse_variant_bbg_truth,max_abs_change_vs_recorded_variant,max_abs_change_vs_lane
3,full,84,1.4483370973482854,1.4393326804299056,1.4491979669966593,1.439530883124798,1.4496444582562125,0.1899462042014224,0.019809760230932838
3,origins_2024plus,28,0.5071741605110427,0.524071644162852,0.5256551328319,0.5225319330170363,0.5254778491254511,0.1899462042014224,0.01750681385699515
6,full,81,2.244603126926088,2.243869573565149,2.2452644906541366,2.2426832987214143,2.244329935624061,0.1688587199083908,0.027261556141872312
6,origins_2024plus,25,0.4629079450005251,0.4862682023507492,0.4632697347400528,0.48057958148384,0.4595367806532818,0.1401892420678696,0.02518919855861812
12,full,75,4.768932868864873,4.768148188502962,4.774629952908423,4.766787823016924,4.773378632511627,0.0242064423081713,0.02908485561048746
12,origins_2024plus,19,0.659033837640918,0.6602987163854671,0.6323720490534097,0.6550956997447843,0.627954626729891,0.0242064423081713,0.026066809689665682
