scope,sample,h,horizon_label,metric,model,n_intended,n_scored,n_missing_forecast,n_fallback,rmse,mae,bias
primary_control_calendar,full,1,h1,cumulative_pct,STATE_FAST_R15,89,89,0,0,1.01601890111908,0.7953060956516942,-0.07882850440796231
common,full,1,h1,cumulative_pct,FOOD_H0_FAST_R18,89,89,0,24,1.016738188095188,0.8016431350037324,-0.07280185620290665
common,full,1,h1,cumulative_pct,FOOD_H0_SELECT_R18,89,89,0,24,1.022269030882818,0.8007531689446309,-0.08013330781928629
common,full,1,h1,cumulative_pct,FOOD_H0_SLOW_R18,89,89,0,24,1.0176394813685077,0.8022393071352233,-0.0796066871199683
common,full,1,h1,cumulative_pct,STATE_FAST_R15,89,89,0,0,1.01601890111908,0.7953060956516942,-0.07882850440796231
primary_control_calendar,full,2,h2,mm,FOOD_H0_FAST_R18,88,88,0,24,1.0423449871596013,0.8201939076850845,-0.06868353262341235
primary_control_calendar,full,2,h2,mm,FOOD_H0_SELECT_R18,88,88,0,24,1.0492080380846995,0.8205590835616693,-0.0756187725414196
primary_control_calendar,full,2,h2,mm,FOOD_H0_SLOW_R18,88,88,0,24,1.042035804601931,0.8193318737982845,-0.07244068375610566
primary_control_calendar,full,2,h2,mm,STATE_FAST_R15,88,88,0,0,1.055233534224197,0.8266459658612129,-0.07161425870847817
common,full,2,h2,mm,FOOD_H0_FAST_R18,88,88,0,24,1.0423449871596013,0.8201939076850845,-0.06868353262341235
common,full,2,h2,mm,FOOD_H0_SELECT_R18,88,88,0,24,1.0492080380846995,0.8205590835616693,-0.0756187725414196
common,full,2,h2,mm,FOOD_H0_SLOW_R18,88,88,0,24,1.042035804601931,0.8193318737982845,-0.07244068375610566
common,full,2,h2,mm,STATE_FAST_R15,88,88,0,0,1.055233534224197,0.8266459658612129,-0.07161425870847817
primary_control_calendar,full,2,h2,cumulative_log,FOOD_H0_FAST_R18,88,88,0,24,1.5570905176462975,1.1613638707090594,-0.12497305441802159
primary_control_calendar,full,2,h2,cumulative_log,FOOD_H0_SELECT_R18,88,88,0,24,1.5807736731928987,1.169615485267262,-0.13913201732791813
primary_control_calendar,full,2,h2,cumulative_log,FOOD_H0_SLOW_R18,88,88,0,24,1.5654365712090899,1.169501466006819,-0.1354871394869285
primary_control_calendar,full,2,h2,cumulative_log,STATE_FAST_R15,88,88,0,0,1.5812978443769878,1.1783589952178068,-0.13356012294739641
common,full,2,h2,cumulative_log,FOOD_H0_FAST_R18,88,88,0,24,1.5570905176462975,1.1613638707090594,-0.12497305441802159
common,full,2,h2,cumulative_log,FOOD_H0_SELECT_R18,88,88,0,24,1.5807736731928987,1.169615485267262,-0.13913201732791813
common,full,2,h2,cumulative_log,FOOD_H0_SLOW_R18,88,88,0,24,1.5654365712090899,1.169501466006819,-0.1354871394869285
common,full,2,h2,cumulative_log,STATE_FAST_R15,88,88,0,0,1.5812978443769878,1.1783589952178068,-0.13356012294739641
primary_control_calendar,full,2,h2,cumulative_pct,FOOD_H0_FAST_R18,88,88,0,24,1.5840458263560129,1.174052306159091,-0.1400965682479331
primary_control_calendar,full,2,h2,cumulative_pct,FOOD_H0_SELECT_R18,88,88,0,24,1.6089117640667938,1.1825407558427363,-0.154533537758352
