origin,model,rho,as_of,beta,beta_unbounded,theta,scale,ridge,n_origins,n_rows,status,reason,training_rmse
2019-12,FOOD_H0_FAST_R18,0.5,2020-01-12T23:59:00+01:00,0.0,0.0,0.0,0.0,1.0,0,0,fallback,fallback_insufficient_mature_origins,
2019-12,FOOD_H0_SLOW_R18,0.9,2020-01-12T23:59:00+01:00,0.0,0.0,0.0,0.0,1.0,0,0,fallback,fallback_insufficient_mature_origins,
2020-01,FOOD_H0_FAST_R18,0.5,2020-02-13T23:59:00+01:00,0.0,0.0,0.0,0.0,1.0,0,0,fallback,fallback_insufficient_mature_origins,
2020-01,FOOD_H0_SLOW_R18,0.9,2020-02-13T23:59:00+01:00,0.0,0.0,0.0,0.0,1.0,0,0,fallback,fallback_insufficient_mature_origins,
2020-02,FOOD_H0_FAST_R18,0.5,2020-03-09T23:59:00+01:00,0.0,0.0,0.0,0.0,1.0,0,0,fallback,fallback_insufficient_mature_origins,
2020-02,FOOD_H0_SLOW_R18,0.9,2020-03-09T23:59:00+01:00,0.0,0.0,0.0,0.0,1.0,0,0,fallback,fallback_insufficient_mature_origins,
2020-03,FOOD_H0_FAST_R18,0.5,2020-04-13T23:59:00+02:00,0.0,0.0,0.0,0.0,1.0,1,12,fallback,fallback_insufficient_mature_origins,
2020-03,FOOD_H0_SLOW_R18,0.9,2020-04-13T23:59:00+02:00,0.0,0.0,0.0,0.0,1.0,1,12,fallback,fallback_insufficient_mature_origins,
2020-04,FOOD_H0_FAST_R18,0.5,2020-05-12T23:59:00+02:00,0.0,0.0,0.0,0.0,1.0,2,24,fallback,fallback_insufficient_mature_origins,
2020-04,FOOD_H0_SLOW_R18,0.9,2020-05-12T23:59:00+02:00,0.0,0.0,0.0,0.0,1.0,2,24,fallback,fallback_insufficient_mature_origins,
2020-05,FOOD_H0_FAST_R18,0.5,2020-06-09T23:59:00+02:00,0.0,0.0,0.0,0.0,1.0,3,36,fallback,fallback_insufficient_mature_origins,
2020-05,FOOD_H0_SLOW_R18,0.9,2020-06-09T23:59:00+02:00,0.0,0.0,0.0,0.0,1.0,3,36,fallback,fallback_insufficient_mature_origins,
2020-06,FOOD_H0_FAST_R18,0.5,2020-07-09T23:59:00+02:00,0.0,0.0,0.0,0.0,1.0,4,48,fallback,fallback_insufficient_mature_origins,
2020-06,FOOD_H0_SLOW_R18,0.9,2020-07-09T23:59:00+02:00,0.0,0.0,0.0,0.0,1.0,4,48,fallback,fallback_insufficient_mature_origins,
2020-07,FOOD_H0_FAST_R18,0.5,2020-08-12T23:59:00+02:00,0.0,0.0,0.0,0.0,1.0,5,60,fallback,fallback_insufficient_mature_origins,
2020-07,FOOD_H0_SLOW_R18,0.9,2020-08-12T23:59:00+02:00,0.0,0.0,0.0,0.0,1.0,5,60,fallback,fallback_insufficient_mature_origins,
2020-08,FOOD_H0_FAST_R18,0.5,2020-09-09T23:59:00+02:00,0.0,0.0,0.0,0.0,1.0,6,72,fallback,fallback_insufficient_mature_origins,
2020-08,FOOD_H0_SLOW_R18,0.9,2020-09-09T23:59:00+02:00,0.0,0.0,0.0,0.0,1.0,6,72,fallback,fallback_insufficient_mature_origins,
2020-09,FOOD_H0_FAST_R18,0.5,2020-10-11T23:59:00+02:00,0.0,0.0,0.0,0.0,1.0,7,84,fallback,fallback_insufficient_mature_origins,
2020-09,FOOD_H0_SLOW_R18,0.9,2020-10-11T23:59:00+02:00,0.0,0.0,0.0,0.0,1.0,7,84,fallback,fallback_insufficient_mature_origins,
2020-10,FOOD_H0_FAST_R18,0.5,2020-11-09T23:59:00+01:00,0.0,0.0,0.0,0.0,1.0,8,96,fallback,fallback_insufficient_mature_origins,
2020-10,FOOD_H0_SLOW_R18,0.9,2020-11-09T23:59:00+01:00,0.0,0.0,0.0,0.0,1.0,8,96,fallback,fallback_insufficient_mature_origins,
2020-11,FOOD_H0_FAST_R18,0.5,2020-12-09T23:59:00+01:00,0.0,0.0,0.0,0.0,1.0,9,108,fallback,fallback_insufficient_mature_origins,
2020-11,FOOD_H0_SLOW_R18,0.9,2020-12-09T23:59:00+01:00,0.0,0.0,0.0,0.0,1.0,9,108,fallback,fallback_insufficient_mature_origins,
2020-12,FOOD_H0_FAST_R18,0.5,2021-01-12T23:59:00+01:00,0.0,0.0,0.0,0.0,1.0,10,120,fallback,fallback_insufficient_mature_origins,
2020-12,FOOD_H0_SLOW_R18,0.9,2021-01-12T23:59:00+01:00,0.0,0.0,0.0,0.0,1.0,10,120,fallback,fallback_insufficient_mature_origins,
2021-01,FOOD_H0_FAST_R18,0.5,2021-02-11T23:59:00+01:00,0.0,0.0,0.0,0.0,1.0,11,132,fallback,fallback_insufficient_mature_origins,
2021-01,FOOD_H0_SLOW_R18,0.9,2021-02-11T23:59:00+01:00,0.0,0.0,0.0,0.0,1.0,11,132,fallback,fallback_insufficient_mature_origins,
2021-02,FOOD_H0_FAST_R18,0.5,2021-03-09T23:59:00+01:00,0.44020439947004725,0.44020439947004725,0.02262595885202019,0.05139875675767689,1.0,12,144,estimated,,0.8539769157088108
2021-02,FOOD_H0_SLOW_R18,0.9,2021-03-09T23:59:00+01:00,0.24090774668690046,0.24090774668690046,0.042479437970209054,0.1763307264063124,1.0,12,144,estimated,,0.8517035086546603
