origin,raw_h0_source,raw_h0_column,pipeline_source,pipeline_h0_index,as_of_eve,as_of_local,as_of_utc,first_release_date,detail_release_date,first_release_source,detail_release_source,first_release_eve_match,detail_release_eve_match,eligible_history_end,pipeline_fast_max_abs,raw_h0_mm,state_h0_log,signal,headline_archive_serialization_abs,vintage_status,cleanup_replay_h0_abs_difference
2020-01,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2020-02-13T23:59:00,2020-02-13T23:59:00+01:00,2020-02-13T22:59:00+00:00,2020-02-14,2020-02-14,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2019-12,0.0,1.2712559042691496,1.2014293125077287,0.06181396972206765,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,1.0599965349911145e-11
2020-02,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2020-03-09T23:59:00,2020-03-09T23:59:00+01:00,2020-03-09T22:59:00+00:00,2020-03-10,2020-03-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2020-01,0.0,0.6371664122871077,0.517382495963468,0.11776259272537437,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,3.4001062299005014e-08
2020-03,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2020-04-13T23:59:00,2020-04-13T23:59:00+02:00,2020-04-13T21:59:00+00:00,2020-04-14,2020-04-14,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2020-02,0.0,-0.5890111324530037,-0.28638329348660496,-0.30436935137232535,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,3.4341544052907125e-09
2020-04,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2020-05-12T23:59:00,2020-05-12T23:59:00+02:00,2020-05-12T21:59:00+00:00,2020-05-13,2020-05-13,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2020-03,0.0,-0.18894216047407264,-0.25916015075195176,0.07003926942301195,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,3.890675170925562e-09
2020-05,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2020-06-09T23:59:00,2020-06-09T23:59:00+02:00,2020-06-09T21:59:00+00:00,2020-06-10,2020-06-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2020-04,0.0,0.41824810503304966,0.6496190122701402,-0.23224313342335867,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,1.933409876642145e-09
2020-06,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2020-07-09T23:59:00,2020-07-09T23:59:00+02:00,2020-07-09T21:59:00+00:00,2020-07-10,2020-07-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2020-05,0.0,-0.2512205307393582,-0.0232035713326115,-0.22833304767880383,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,4.606135473039785e-10
2020-07,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2020-08-12T23:59:00,2020-08-12T23:59:00+02:00,2020-08-12T21:59:00+00:00,2020-08-13,2020-08-13,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2020-06,0.0,-0.5648545722996579,-0.44912917425829246,-0.11732673447569564,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,6.52756404484478e-09
2020-08,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2020-09-09T23:59:00,2020-09-09T23:59:00+02:00,2020-09-09T21:59:00+00:00,2020-09-10,2020-09-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2020-07,0.0,-0.6492657320323523,-0.6630919256762946,0.011709295853846724,4.85722573273506e-17,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,2.3933225401506775e-09
2020-09,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2020-10-11T23:59:00,2020-10-11T23:59:00+02:00,2020-10-11T21:59:00+00:00,2020-10-12,2020-10-12,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2020-08,0.0,0.14640002418527184,0.12082231746026462,0.025470646367787952,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,1.0729167554401897e-11
2020-10,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2020-11-09T23:59:00,2020-11-09T23:59:00+01:00,2020-11-09T22:59:00+00:00,2020-11-10,2020-11-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2020-09,0.0,0.17933138985568114,0.28612848679493674,-0.10695770369264551,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,1.5270105457876326e-09
